"original_path","new_archive_path","artifact_group","action","status","reason","file_count","total_bytes"
"_legacy(260512)","_archive\legacy_snapshots\legacy_260512","legacy_snapshots","move","moved","legacy folder standardized under archive","902","422791009"
"handoff","_archive\handoff_snapshots\handoff_260515","handoff_snapshots","move","moved","handoff snapshot standardized under archive","613","87025095"
"notebook\05_column_role_leakage_timing_audit_260513","_archive\pre13b_conservative_safe_22_reference\notebook\05_column_role_leakage_timing_audit_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b notebook removed from active and preserved as reference","1","105067"
"notebook\05b_column_role_dictionary_patch_260513","_archive\pre13b_conservative_safe_22_reference\notebook\05b_column_role_dictionary_patch_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b notebook removed from active and preserved as reference","1","116964"
"notebook\06_common_preprocessing_and_final_cohort_260513","_archive\pre13b_conservative_safe_22_reference\notebook\06_common_preprocessing_and_final_cohort_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b notebook removed from active and preserved as reference","1","56361"
"notebook\07_AARRR_feature_mapping_260513","_archive\pre13b_conservative_safe_22_reference\notebook\07_AARRR_feature_mapping_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b notebook removed from active and preserved as reference","1","58349"
"notebook\08_promotion_vs_nonpromotion_eda_260513","_archive\pre13b_conservative_safe_22_reference\notebook\08_promotion_vs_nonpromotion_eda_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b notebook removed from active and preserved as reference","1","55603"
"notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","_archive\pre13b_conservative_safe_22_reference\notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b notebook removed from active and preserved as reference","3","40306"
"notebook\09_promotion_repurchase_2x2_eda_260513","_archive\pre13b_conservative_safe_22_reference\notebook\09_promotion_repurchase_2x2_eda_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b notebook removed from active and preserved as reference","3","40541"
"notebook\09b_raw_view_window_validation_260514","_archive\pre13b_conservative_safe_22_reference\notebook\09b_raw_view_window_validation_260514","pre13b_conservative_safe_22_reference","move","moved","pre-13b notebook removed from active and preserved as reference","1","61677"
"notebook\10_feature_eda_260513","_archive\pre13b_conservative_safe_22_reference\notebook\10_feature_eda_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b notebook removed from active and preserved as reference","3","80051"
"reports\audits\05_column_role_leakage_timing_audit_260513","_archive\pre13b_conservative_safe_22_reference\reports\audits\05_column_role_leakage_timing_audit_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b report removed from active and preserved as reference","16","387082"
"reports\audits\05b_column_role_dictionary_patch_260513","_archive\pre13b_conservative_safe_22_reference\reports\audits\05b_column_role_dictionary_patch_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b report removed from active and preserved as reference","18","380763"
