dataset_scope,feature_name,included,reason,feature_family,AARRR_stage,from_conservative_safe,is_review_column,is_forbidden_column,caution
overall_without_promotion,avg_gap_w1_watch_days,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_without_promotion,avg_gap_w2_watch_days,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_without_promotion,avg_gap_w3_watch_days,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_without_promotion,is_cold_start_3d,yes,11b canonical conservative feature,activation_onboarding,activation,yes,no,no,standard conservative feature
overall_without_promotion,is_cold_start_7d,yes,11b canonical conservative feature,activation_onboarding,activation,yes,no,no,standard conservative feature
overall_without_promotion,watch_time(min)_w1,yes,11b canonical conservative feature,usage_observation,activation,yes,no,no,standard conservative feature
overall_without_promotion,watch_time(min)_w2,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_without_promotion,watch_time(min)_w3,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_without_promotion,watch_session_w1,yes,11b canonical conservative feature,usage_observation,activation,yes,no,no,standard conservative feature
overall_without_promotion,watch_session_w2,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_without_promotion,watch_session_w3,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_without_promotion,retention_w2_ratio,yes,11b canonical conservative feature,retention_ratio,retention,yes,no,no,standard conservative feature
overall_without_promotion,retention_w3_ratio,yes,11b canonical conservative feature,retention_ratio,retention,yes,no,no,standard conservative feature
overall_without_promotion,diff_between_w2_w1,yes,11b canonical conservative feature,retention_change,retention,yes,no,no,standard conservative feature
overall_without_promotion,diff_between_w3_w1,yes,11b canonical conservative feature,retention_change,retention,yes,no,no,standard conservative feature
overall_without_promotion,diff_between_w3_w2,yes,11b canonical conservative feature,retention_change,retention,yes,no,no,standard conservative feature
overall_without_promotion,is_w1_over_50pct,yes,11b canonical conservative feature,usage_observation,activation,yes,no,no,standard conservative feature
overall_without_promotion,is_w2_over_50pct,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_without_promotion,is_w3_over_50pct,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_without_promotion,is_only_w1,yes,11b canonical conservative feature,usage_observation,activation,yes,no,no,standard conservative feature
overall_without_promotion,is_only_w2,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_without_promotion,is_only_w3,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_with_promotion,avg_gap_w1_watch_days,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_with_promotion,avg_gap_w2_watch_days,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_with_promotion,avg_gap_w3_watch_days,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_with_promotion,is_cold_start_3d,yes,11b canonical conservative feature,activation_onboarding,activation,yes,no,no,standard conservative feature
overall_with_promotion,is_cold_start_7d,yes,11b canonical conservative feature,activation_onboarding,activation,yes,no,no,standard conservative feature
overall_with_promotion,watch_time(min)_w1,yes,11b canonical conservative feature,usage_observation,activation,yes,no,no,standard conservative feature
overall_with_promotion,watch_time(min)_w2,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_with_promotion,watch_time(min)_w3,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_with_promotion,watch_session_w1,yes,11b canonical conservative feature,usage_observation,activation,yes,no,no,standard conservative feature
overall_with_promotion,watch_session_w2,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_with_promotion,watch_session_w3,yes,11b canonical conservative feature,usage_observation,retention,yes,no,no,standard conservative feature
overall_with_promotion,retention_w2_ratio,yes,11b canonical conservative feature,retention_ratio,retention,yes,no,no,standard conservative feature
overall_with_promotion,retention_w3_ratio,yes,11b canonical conservative feature,retention_ratio,retention,yes,no,no,standard conservative feature
overall_with_promotion,diff_between_w2_w1,yes,11b canonical conservative feature,retention_change,retention,yes,no,no,standard conservative feature
overall_with_promotion,diff_between_w3_w1,yes,11b canonical conservative feature,retention_change,retention,yes,no,no,standard conservative feature
overall_with_promotion,diff_between_w3_w2,yes,11b canonical conservative feature,retention_change,retention,yes,no,no,standard conservative feature
