is_promotion,feature_name,AARRR_stage_primary,feature_family,n,missing_count,mean,std,min,q10,q25,median,q75,q90,max,zero_count,zero_rate,positive_count,positive_rate
0,avg_gap_w1_watch_days,retention,usage_observation,11175,0,0.6710633851454139,1.235655501802304,0.0,0.0,0.0,0.0,1.0,2.0,6.0,7569,0.6773154362416107,3606,0.3226845637583893
1,avg_gap_w1_watch_days,retention,usage_observation,11904,0,0.6763356859038979,1.2331755886314308,0.0,0.0,0.0,0.0,1.0,2.0,6.0,8039,0.6753192204301075,3865,0.3246807795698925
0,avg_gap_w2_watch_days,retention,usage_observation,11175,0,0.638010439821029,1.1577919808962955,0.0,0.0,0.0,0.0,1.0,2.0,6.0,7540,0.6747203579418345,3635,0.32527964205816556
1,avg_gap_w2_watch_days,retention,usage_observation,11904,0,0.6610677082493279,1.2003735412134953,0.0,0.0,0.0,0.0,1.0,2.0,6.0,8012,0.6730510752688172,3892,0.3269489247311828
0,avg_gap_w3_watch_days,retention,usage_observation,11175,0,0.6616584643400447,1.2141075787520168,0.0,0.0,0.0,0.0,1.0,2.0,6.0,7579,0.6782102908277405,3596,0.3217897091722595
1,avg_gap_w3_watch_days,retention,usage_observation,11904,0,0.694142025033602,1.2401716962532512,0.0,0.0,0.0,0.0,1.0,2.5,6.0,7906,0.6641465053763441,3998,0.33585349462365593
0,is_cold_start_3d,activation,activation_onboarding,11175,0,0.4664876957494407,0.49889798388320655,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5962,0.5335123042505593,5213,0.4664876957494407
1,is_cold_start_3d,activation,activation_onboarding,11904,0,0.46060147849462363,0.49846627689734074,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6421,0.5393985215053764,5483,0.46060147849462363
0,is_cold_start_7d,activation,activation_onboarding,11175,0,0.6823266219239373,0.46559252708080495,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3550,0.31767337807606266,7625,0.6823266219239373
1,is_cold_start_7d,activation,activation_onboarding,11904,0,0.6764112903225806,0.4678647723530675,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3852,0.3235887096774194,8052,0.6764112903225806
0,watch_time(min)_w1,activation,usage_observation,11175,0,99.88348993288591,166.24832422406837,0.0,0.0,0.0,29.0,139.0,280.0,4766.0,4011,0.35892617449664427,7164,0.6410738255033557
1,watch_time(min)_w1,activation,usage_observation,11904,0,100.42330309139786,161.49133536127383,0.0,0.0,0.0,26.0,143.25,284.0,2865.0,4347,0.36517137096774194,7557,0.6348286290322581
0,watch_time(min)_w2,retention,usage_observation,11175,0,97.61834451901566,154.2881380287149,0.0,0.0,0.0,24.0,137.0,279.0,2024.0,4139,0.37038031319910514,7036,0.6296196868008949
1,watch_time(min)_w2,retention,usage_observation,11904,0,98.10173051075269,154.95775355096816,0.0,0.0,0.0,22.0,139.0,283.0,2957.0,4424,0.37163978494623656,7480,0.6283602150537635
0,watch_time(min)_w3,retention,usage_observation,11175,0,98.52635346756152,163.07122727375872,0.0,0.0,0.0,23.0,139.0,277.0,2691.0,4121,0.3687695749440716,7054,0.6312304250559284
1,watch_time(min)_w3,retention,usage_observation,11904,0,99.10559475806451,153.72570177425052,0.0,0.0,0.0,29.0,144.0,276.0,2499.0,4254,0.35735887096774194,7650,0.6426411290322581
0,watch_session_w1,activation,usage_observation,11175,0,2.247248322147651,3.1565820851872317,0.0,0.0,0.0,1.0,3.0,6.0,70.0,4011,0.35892617449664427,7164,0.6410738255033557
1,watch_session_w1,activation,usage_observation,11904,0,2.23807123655914,3.062091021037749,0.0,0.0,0.0,1.0,3.0,6.0,49.0,4347,0.36517137096774194,7557,0.6348286290322581
0,watch_session_w2,retention,usage_observation,11175,0,2.204921700223714,3.0751684403756276,0.0,0.0,0.0,1.0,3.0,6.0,55.0,4139,0.37038031319910514,7036,0.6296196868008949
1,watch_session_w2,retention,usage_observation,11904,0,2.2053931451612905,3.034274701744338,0.0,0.0,0.0,1.0,3.0,6.0,40.0,4424,0.37163978494623656,7480,0.6283602150537635
0,watch_session_w3,retention,usage_observation,11175,0,2.188903803131991,2.9752908819863966,0.0,0.0,0.0,1.0,3.0,6.0,41.0,4121,0.3687695749440716,7054,0.6312304250559284
1,watch_session_w3,retention,usage_observation,11904,0,2.221438172043011,2.9526819312483426,0.0,0.0,0.0,1.0,3.0,6.0,35.0,4254,0.35735887096774194,7650,0.6426411290322581
0,retention_w2_ratio,retention,retention_ratio,11175,0,29.41738015991051,89.60525401805918,0.000681,0.009709,0.205142,1.0,3.707642,105.0,2025.0,0,0.0,11175,1.0
1,retention_w2_ratio,retention,retention_ratio,11904,0,29.26623676033266,92.33355351634081,0.000922,0.009804,0.2270305,1.0,3.62589275,102.0,2958.0,0,0.0,11904,1.0
0,retention_w3_ratio,retention,retention_ratio,11175,0,31.33263265172259,101.61581710320083,0.000894,0.009615,0.23399199999999998,1.0,4.2255295,108.0,2692.0,0,0.0,11175,1.0
1,retention_w3_ratio,retention,retention_ratio,11904,0,31.58756242237903,90.73500165212772,0.000889,0.010101,0.27124775,1.0,4.36890825,114.0,2500.0,0,0.0,11904,1.0
0,diff_between_w2_w1,retention,retention_change,11175,0,-2.265145413870246,189.24724589810964,-3444.0,-183.0,-75.0,0.0,66.0,182.0,2024.0,1813,0.1622371364653244,4552,0.407337807606264
1,diff_between_w2_w1,retention,retention_change,11904,0,-2.3215725806451615,186.65349653248714,-2442.0,-189.0,-76.0,0.0,67.0,185.0,2957.0,2023,0.16994287634408603,4809,0.4039818548387097
0,diff_between_w3_w1,retention,retention_change,11175,0,-1.3571364653243847,218.14509937323612,-4380.0,-199.0,-83.0,0.0,71.0,201.0,2691.0,1659,0.14845637583892618,4610,0.41252796420581656
1,diff_between_w3_w1,retention,retention_change,11904,0,-1.3177083333333333,203.03899859743154,-2854.0,-202.0,-78.0,0.0,80.0,198.0,2499.0,1717,0.1442372311827957,5070,0.4259072580645161
0,diff_between_w3_w2,retention,retention_change,11175,0,0.9080089485458613,196.53645665122647,-1483.0,-194.0,-75.0,0.0,73.0,194.0,2691.0,1851,0.16563758389261746,4642,0.4153914988814318
1,diff_between_w3_w2,retention,retention_change,11904,0,1.003864247311828,186.35699792282665,-1824.0,-188.0,-70.0,0.0,74.25,192.0,2499.0,1952,0.1639784946236559,4961,0.41675067204301075
0,is_w1_over_50pct,activation,usage_observation,11175,0,0.29261744966442954,0.45498461764195114,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7905,0.7073825503355705,3270,0.29261744966442954
1,is_w1_over_50pct,activation,usage_observation,11904,0,0.2914986559139785,0.4544717156943519,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8434,0.7085013440860215,3470,0.2914986559139785
0,is_w2_over_50pct,retention,usage_observation,11175,0,0.26496644295302013,0.4413350844203297,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8214,0.7350335570469798,2961,0.26496644295302013
1,is_w2_over_50pct,retention,usage_observation,11904,0,0.26226478494623656,0.43988432844821457,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8782,0.7377352150537635,3122,0.26226478494623656
0,is_w3_over_50pct,retention,usage_observation,11175,0,0.2833109619686801,0.45062626651705423,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8009,0.7166890380313199,3166,0.2833109619686801
1,is_w3_over_50pct,retention,usage_observation,11904,0,0.28410618279569894,0.4510065930450319,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8522,0.7158938172043011,3382,0.28410618279569894
0,is_only_w1,activation,usage_observation,11175,0,0.10129753914988815,0.3017358030967533,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10043,0.8987024608501119,1132,0.10129753914988815
1,is_only_w1,activation,usage_observation,11904,0,0.09652217741935484,0.2953184265233107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10755,0.9034778225806451,1149,0.09652217741935484
0,is_only_w2,retention,usage_observation,11175,0,0.08286353467561522,0.2756881762913294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10249,0.9171364653243848,926,0.08286353467561522
1,is_only_w2,retention,usage_observation,11904,0,0.07669690860215053,0.2661211042193315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10991,0.9233030913978495,913,0.07669690860215053
0,is_only_w3,retention,usage_observation,11175,0,0.09718120805369128,0.29621761045740513,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10089,0.9028187919463088,1086,0.09718120805369128
1,is_only_w3,retention,usage_observation,11904,0,0.10315860215053764,0.3041786934077422,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10676,0.8968413978494624,1228,0.10315860215053764
