feature_name,AARRR_stage_primary,feature_family,standardized_mean_difference,absolute_standardized_mean_difference,descriptive_effect_size_bucket_from_08,recomputed_bucket_using_thresholds,bucket_match_status,nonpromotion_mean,promotion_mean,mean_difference_promotion_minus_nonpromotion,interpretation_strength,allowed_claim,forbidden_claim,next_analysis_need
avg_gap_w1_watch_days,retention,usage_observation,0.0042710885479735,0.0042710885479735,negligible,negligible,match,0.6710633851454139,0.6763356859038979,0.005272300758484,negligible,Descriptive effect size only; negligible values must not be overclaimed.,Do not claim promotion caused this or that promotion rows have a strongly different profile.,09 promotion x repurchase 2x2 within-group target comparison.
avg_gap_w2_watch_days,retention,usage_observation,0.0195520714133298,0.0195520714133298,negligible,negligible,match,0.638010439821029,0.6610677082493279,0.0230572684282989,negligible,Descriptive effect size only; negligible values must not be overclaimed.,Do not claim promotion caused this or that promotion rows have a strongly different profile.,09 promotion x repurchase 2x2 within-group target comparison.
avg_gap_w3_watch_days,retention,usage_observation,0.0264694645030762,0.0264694645030762,negligible,negligible,match,0.6616584643400447,0.694142025033602,0.0324835606935572,negligible,Descriptive effect size only; negligible values must not be overclaimed.,Do not claim promotion caused this or that promotion rows have a strongly different profile.,09 promotion x repurchase 2x2 within-group target comparison.
is_cold_start_3d,activation,activation_onboarding,-0.0118035444719018,0.0118035444719018,negligible,negligible,match,0.4664876957494407,0.4606014784946236,-0.005886217254817,negligible,Descriptive effect size only; negligible values must not be overclaimed.,Do not claim promotion caused this or that promotion rows have a strongly different profile.,09 promotion x repurchase 2x2 within-group target comparison.
is_cold_start_7d,activation,activation_onboarding,-0.0126739896501202,0.0126739896501202,negligible,negligible,match,0.6823266219239373,0.6764112903225806,-0.0059153316013567,negligible,Descriptive effect size only; negligible values must not be overclaimed.,Do not claim promotion caused this or that promotion rows have a strongly different profile.,09 promotion x repurchase 2x2 within-group target comparison.
watch_time(min)_w1,activation,usage_observation,0.0032938113531343,0.0032938113531343,negligible,negligible,match,99.88348993288592,100.42330309139786,0.5398131585119472,negligible,Descriptive effect size only; negligible values must not be overclaimed.,Do not claim promotion caused this or that promotion rows have a strongly different profile.,09 promotion x repurchase 2x2 within-group target comparison.
watch_time(min)_w2,retention,usage_observation,0.0031262168500936,0.0031262168500936,negligible,negligible,match,97.61834451901566,98.10173051075267,0.4833859917370233,negligible,Descriptive effect size only; negligible values must not be overclaimed.,Do not claim promotion caused this or that promotion rows have a strongly different profile.,09 promotion x repurchase 2x2 within-group target comparison.
watch_time(min)_w3,retention,usage_observation,0.0036552716176584,0.0036552716176584,negligible,negligible,match,98.52635346756152,99.10559475806453,0.579241290502992,negligible,Descriptive effect size only; negligible values must not be overclaimed.,Do not claim promotion caused this or that promotion rows have a strongly different profile.,09 promotion x repurchase 2x2 within-group target comparison.
watch_session_w1,activation,usage_observation,-0.0029511203477421,0.0029511203477421,negligible,negligible,match,2.247248322147651,2.23807123655914,-0.0091770855885111,negligible,Descriptive effect size only; negligible values must not be overclaimed.,Do not claim promotion caused this or that promotion rows have a strongly different profile.,09 promotion x repurchase 2x2 within-group target comparison.
watch_session_w2,retention,usage_observation,0.0001543297370353,0.0001543297370353,negligible,negligible,match,2.204921700223714,2.2053931451612905,0.0004714449375766,negligible,Descriptive effect size only; negligible values must not be overclaimed.,Do not claim promotion caused this or that promotion rows have a strongly different profile.,09 promotion x repurchase 2x2 within-group target comparison.
