feature_name,AARRR_stage_primary,feature_family,promotion_SMD_repurchase_vs_nonrepurchase,nonpromotion_SMD_repurchase_vs_nonrepurchase,abs_promotion_SMD,abs_nonpromotion_SMD,SMD_difference_promotion_minus_nonpromotion,stronger_group,same_direction,direction_description,signal_pattern_label,safe_interpretation,caution
avg_gap_w1_watch_days,retention,usage_observation,0.040341345527741074,0.07119698779225124,0.040341345527741074,0.07119698779225124,-0.030855642264510166,similar,yes,"promotion SMD 0.0403, nonpromotion SMD 0.0712",weak_signal,Descriptive comparison of target-separating signal strength by promotion split.,"SMD is descriptive only; no p-value, causal effect, or model validation is implied."
avg_gap_w2_watch_days,retention,usage_observation,0.22750159424911742,0.28547342294532324,0.22750159424911742,0.28547342294532324,-0.05797182869620582,nonpromotion,yes,"promotion SMD 0.2275, nonpromotion SMD 0.2855",nonpromotion_stronger_signal,Descriptive comparison of target-separating signal strength by promotion split.,"SMD is descriptive only; no p-value, causal effect, or model validation is implied."
avg_gap_w3_watch_days,retention,usage_observation,0.4756795703580846,0.5432113520993123,0.4756795703580846,0.5432113520993123,-0.06753178174122765,nonpromotion,yes,"promotion SMD 0.4757, nonpromotion SMD 0.5432",nonpromotion_stronger_signal,Descriptive comparison of target-separating signal strength by promotion split.,"SMD is descriptive only; no p-value, causal effect, or model validation is implied."
is_cold_start_3d,activation,activation_onboarding,0.10724575857511606,0.020331123993626837,0.10724575857511606,0.020331123993626837,0.08691463458148922,promotion,yes,"promotion SMD 0.1072, nonpromotion SMD 0.0203",promotion_stronger_signal,Descriptive comparison of target-separating signal strength by promotion split.,"SMD is descriptive only; no p-value, causal effect, or model validation is implied."
is_cold_start_7d,activation,activation_onboarding,-0.043784855771949745,-0.10248246461133356,0.043784855771949745,0.10248246461133356,0.05869760883938382,nonpromotion,yes,"promotion SMD -0.0438, nonpromotion SMD -0.1025",nonpromotion_stronger_signal,Descriptive comparison of target-separating signal strength by promotion split.,"SMD is descriptive only; no p-value, causal effect, or model validation is implied."
watch_time(min)_w1,activation,usage_observation,0.06699148989422397,0.08804995457633281,0.06699148989422397,0.08804995457633281,-0.02105846468210884,similar,yes,"promotion SMD 0.0670, nonpromotion SMD 0.0880",weak_signal,Descriptive comparison of target-separating signal strength by promotion split.,"SMD is descriptive only; no p-value, causal effect, or model validation is implied."
watch_time(min)_w2,retention,usage_observation,0.42662425147130806,0.5042875788643602,0.42662425147130806,0.5042875788643602,-0.0776633273930521,nonpromotion,yes,"promotion SMD 0.4266, nonpromotion SMD 0.5043",nonpromotion_stronger_signal,Descriptive comparison of target-separating signal strength by promotion split.,"SMD is descriptive only; no p-value, causal effect, or model validation is implied."
watch_time(min)_w3,retention,usage_observation,0.6913420634313308,0.7434059086896082,0.6913420634313308,0.7434059086896082,-0.05206384525827745,nonpromotion,yes,"promotion SMD 0.6913, nonpromotion SMD 0.7434",nonpromotion_stronger_signal,Descriptive comparison of target-separating signal strength by promotion split.,"SMD is descriptive only; no p-value, causal effect, or model validation is implied."
watch_session_w1,activation,usage_observation,-0.00042570755534786995,0.007919539689057323,0.00042570755534786995,0.007919539689057323,-0.008345247244405192,similar,no,"promotion SMD -0.0004, nonpromotion SMD 0.0079",weak_signal,Descriptive comparison of target-separating signal strength by promotion split.,"SMD is descriptive only; no p-value, causal effect, or model validation is implied."
watch_session_w2,retention,usage_observation,0.3318420630210599,0.4264872592382039,0.3318420630210599,0.4264872592382039,-0.09464519621714401,nonpromotion,yes,"promotion SMD 0.3318, nonpromotion SMD 0.4265",nonpromotion_stronger_signal,Descriptive comparison of target-separating signal strength by promotion split.,"SMD is descriptive only; no p-value, causal effect, or model validation is implied."
