feature_name,within_promotion_shape_label,within_nonpromotion_shape_label,common_or_different_shape,evidence,safe_interpretation,caution
watch_time(min)_w3,descriptive shape review,descriptive shape review,nonpromotion_stronger_signal,"promotion SMD=0.6913420634313308, nonpromotion SMD=0.7434059086896082",descriptive separation shape only,"no causality, no p-value, no final threshold"
watch_session_w3,descriptive shape review,descriptive shape review,nonpromotion_stronger_signal,"promotion SMD=0.6626744684571563, nonpromotion SMD=0.7500986291124194",descriptive separation shape only,"no causality, no p-value, no final threshold"
is_only_w1,descriptive shape review,descriptive shape review,nonpromotion_stronger_signal,"promotion SMD=-0.5487347215544293, nonpromotion SMD=-0.6688643867741991",descriptive separation shape only,"no causality, no p-value, no final threshold"
is_w1_over_50pct,descriptive shape review,descriptive shape review,nonpromotion_stronger_signal,"promotion SMD=-0.5091198494649657, nonpromotion SMD=-0.6529073920253156",descriptive separation shape only,"no causality, no p-value, no final threshold"
retention_w3_ratio,descriptive shape review,descriptive shape review,common_signal,"promotion SMD=0.3579795070777067, nonpromotion SMD=0.3927066063621658",descriptive separation shape only,"no causality, no p-value, no final threshold"
retention_w2_ratio,descriptive shape review,descriptive shape review,nonpromotion_stronger_signal,"promotion SMD=0.3122295533349219, nonpromotion SMD=0.3660803567023025",descriptive separation shape only,"no causality, no p-value, no final threshold"
diff_between_w3_w1,descriptive shape review,descriptive shape review,common_signal,"promotion SMD=0.432806403008426, nonpromotion SMD=0.4443914059565071",descriptive separation shape only,"no causality, no p-value, no final threshold"
diff_between_w3_w2,descriptive shape review,descriptive shape review,common_signal,"promotion SMD=0.188312830227524, nonpromotion SMD=0.1870891917389487",descriptive separation shape only,"no causality, no p-value, no final threshold"
diff_between_w2_w1,descriptive shape review,descriptive shape review,common_signal,"promotion SMD=0.2853608109943327, nonpromotion SMD=0.3171132669501669",descriptive separation shape only,"no causality, no p-value, no final threshold"
watch_time(min)_w2,descriptive shape review,descriptive shape review,nonpromotion_stronger_signal,"promotion SMD=0.426624251471308, nonpromotion SMD=0.5042875788643602",descriptive separation shape only,"no causality, no p-value, no final threshold"
watch_session_w2,descriptive shape review,descriptive shape review,nonpromotion_stronger_signal,"promotion SMD=0.3318420630210599, nonpromotion SMD=0.4264872592382039",descriptive separation shape only,"no causality, no p-value, no final threshold"
is_cold_start_3d,descriptive shape review,descriptive shape review,promotion_stronger_signal,"promotion SMD=0.107245758575116, nonpromotion SMD=0.0203311239936268",descriptive separation shape only,"no causality, no p-value, no final threshold"
is_cold_start_7d,descriptive shape review,descriptive shape review,nonpromotion_stronger_signal,"promotion SMD=-0.0437848557719497, nonpromotion SMD=-0.1024824646113335",descriptive separation shape only,"no causality, no p-value, no final threshold"
