feature_name,overall_mean,overall_median,mean_median_gap,q99,max,max_to_q99_ratio,top_1pct_share_of_total,top_5pct_share_of_total,promotion_target_cell_with_highest_top1pct_share,whether_mean_may_be_outlier_sensitive,recommended_summary_metric,interpretation
avg_gap_w1_watch_days,0.6737828040209715,0.0,0.6737828040209715,6.0,6.0,1.0,0.08913049535852065,0.347583208811547,nonpromotion_nonrepurchase,no,mean,descriptive outlier influence audit; no winsorization or transformation applied
avg_gap_w2_watch_days,0.6499032308158932,0.0,0.6499032308158932,6.0,6.0,1.0,0.09240544167021489,0.3396866704976514,nonpromotion_nonrepurchase,no,mean,descriptive outlier influence audit; no winsorization or transformation applied
avg_gap_w3_watch_days,0.678413276355128,0.0,0.678413276355128,6.0,6.0,1.0,0.08852214008707802,0.34150640912381397,nonpromotion_nonrepurchase,no,mean,descriptive outlier influence audit; no winsorization or transformation applied
watch_time(min)_w1,100.16192209367824,27.0,73.16192209367824,703.2200000000012,4766.0,6.777395409686858,0.09920156149083961,0.3023999875412965,nonpromotion_repurchase,yes,both,descriptive outlier influence audit; no winsorization or transformation applied
watch_time(min)_w2,97.86767190952814,23.0,74.86767190952814,697.6600000000035,2957.0,4.238454261388047,0.09520261319845857,0.2986229173750425,nonpromotion_nonrepurchase,yes,both,descriptive outlier influence audit; no winsorization or transformation applied
watch_time(min)_w3,98.82512240565016,26.0,72.82512240565016,691.0,2691.0,3.894356005788712,0.10048601687576865,0.2996862922195648,nonpromotion_nonrepurchase,yes,both,descriptive outlier influence audit; no winsorization or transformation applied
watch_session_w1,2.2425148403310367,1.0,1.2425148403310367,14.0,70.0,5.0,0.08433967732586224,0.2620616365568544,nonpromotion_repurchase,yes,both,descriptive outlier influence audit; no winsorization or transformation applied
watch_session_w2,2.2051648684951686,1.0,1.2051648684951686,14.0,55.0,3.9285714285714284,0.0855323914880239,0.2647711866071955,nonpromotion_nonrepurchase,yes,both,descriptive outlier influence audit; no winsorization or transformation applied
watch_session_w3,2.2056848216993803,1.0,1.2056848216993803,13.0,41.0,3.1538461538461537,0.08060111973283568,0.25614379726942343,nonpromotion_nonrepurchase,yes,both,descriptive outlier influence audit; no winsorization or transformation applied
retention_w2_ratio,29.339421364963822,1.0,28.339421364963822,415.0,2958.0,7.127710843373494,0.21594182277117213,0.5809815329852381,nonpromotion_nonrepurchase,yes,both,descriptive outlier influence audit; no winsorization or transformation applied
retention_w3_ratio,31.464123790415528,1.0,30.464123790415528,420.22000000000116,2692.0,6.406168197610757,0.20670705349751647,0.5529989483505184,nonpromotion_nonrepurchase,yes,both,descriptive outlier influence audit; no winsorization or transformation applied
diff_between_w2_w1,-2.2942501841500933,0.0,-2.2942501841500933,530.2200000000012,2957.0,5.576930330806068,,,nonpromotion_repurchase,yes,both,descriptive outlier influence audit; no winsorization or transformation applied
diff_between_w3_w1,-1.3367996880280775,0.0,-1.3367996880280775,588.2200000000012,2691.0,4.574818945292568,,,nonpromotion_repurchase,yes,both,descriptive outlier influence audit; no winsorization or transformation applied
diff_between_w3_w2,0.9574504961220157,0.0,0.9574504961220157,556.2200000000012,2691.0,4.838013735572246,,,nonpromotion_repurchase,yes,both,descriptive outlier influence audit; no winsorization or transformation applied
