source_row_number,MOVIE_NUM,movie_title,ott_release_month,genre,duplicate_MOVIE_NUM_flag,duplicate_group_size,conflicting_columns_within_MOVIE_NUM,policy_note
2,0,걸어서하늘까지(1992),202103,Romance,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
3,1,너와극장에서,201807,Drama,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
4,2,가려진시간[가치봄],202010,SF/Fantasy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
5,3,그링고,202003,Comedy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
6,4,스위치(2010),202010,Other,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
7,5,국도극장,202005,Drama,Y,2,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
8,5,국도극장,202005,Drama,Y,2,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
9,6,맨인블랙2,201205,SF/Fantasy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
10,8,곤조는못말려,201612,Comedy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
11,9,손오공:색즉시공,201901,SF/Fantasy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
12,10,13이어리,201501,Horror,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
13,11,앵그리버드더무비,201606,Animation/Family,Y,2,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
14,11,앵그리버드더무비,201606,Animation/Family,Y,2,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
15,12,백조공주:왕실결혼식,202008,Animation/Family,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
16,13,"좀비들의도시,베가스",201407,Horror,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
17,14,크레이지리치아시안,201811,Comedy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
18,15,신정무문2-뇌전영웅,201301,Action/Adventure,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
19,16,벌룬,202001,Drama,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
20,17,뤽베송의마지막전투,201608,Historical/War,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
21,18,프리댄스,202001,Romance,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
22,19,미키의크리스마스선물,201712,Animation/Family,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
23,20,보글보글스폰지밥,201202,Animation/Family,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
24,21,오버로드(2018),202005,Drama,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
25,22,철권:블러드벤젠스,201309,Animation/Family,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
26,23,연애의목적,201906,Romance,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
27,24,블랙클랜스맨,201811,Comedy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
28,25,나이트메어비긴즈,201808,Horror,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
29,26,올드마린보이,201712,Documentary,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
30,27,마법에걸린사랑,201202,Romance,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
31,28,바이더씨,201611,Romance,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
32,29,디즈니네이쳐:베어,201612,Romance,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
33,30,윙오브스틸,202009,Drama,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
34,31,전설의파이터,202006,Action/Adventure,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
35,32,포레스트로빈후드,201605,SF/Fantasy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
36,33,영화로운나날,202001,SF/Fantasy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
37,34,소시민,201701,Comedy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
38,36,촉산(1983),201905,Horror,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
39,37,슈퍼에이트,201112,SF/Fantasy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
40,38,지워야산다,201711,Thriller/Crime,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
41,39,얼굴없는보스:못다한이야기[감독판],202005,Thriller/Crime,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
42,40,그대이름은장미,201901,Comedy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
43,41,약지의표본,201304,Drama,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
44,42,천장지구(1990),201610,Action/Adventure,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
45,43,그남자그여자,201901,Drama,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
46,44,"로만J이스라엘,에스콰이어",201802,Thriller/Crime,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
47,45,하우스오브다크,201506,Horror,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
48,46,분노의전차군단,201705,Historical/War,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
49,47,패션왕[가치봄],202009,Comedy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
50,48,퍼펙트크라임(2015),201703,Thriller/Crime,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
51,49,배드키즈아카데미,201810,Comedy,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
52,50,익스트랙션데이,201902,Action/Adventure,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
53,51,살인의뢰[요약판],201505,Thriller/Crime,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
54,52,완벽한망상,201802,Horror,N,1,,Do not join Movie_Master to View_History in Stage 02; final content dedupe deferred to Stage 04.
