membership_row_id,is_repurchase,target_repurchase,repurchase_score,churn_risk_score,risk_band,final_segment_key,final_segment_name_ko,use_in_stage09_simulation,modifier_low_or_no_early_engagement,modifier_delayed_start,modifier_late_week3_intensity,modifier_genre_affinity_any,modifier_price_promotion_context,modifier_week2_surge_small_sample,modifier_early_routine_review
1,Y,1,0.8395806616795892,0.1604193383204107,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
2,N,0,0.1352903657893169,0.864709634210683,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,0,0,1,1,0,0
3,N,0,0.4010593183367304,0.5989406816632696,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,1,0,1,1,1,0
4,Y,1,0.8984577916107955,0.1015422083892044,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,0,0
5,Y,1,0.7564528015385467,0.2435471984614533,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,1,0,0
6,Y,1,0.8833886190816382,0.1166113809183617,risk_30_60,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,1,0
7,N,0,0.1665772149949402,0.8334227850050597,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,0,0,1,1,0,1
8,N,0,0.7282407154620013,0.2717592845379987,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,0,0,0
9,Y,1,0.9761379605814932,0.0238620394185068,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
10,Y,1,0.8632271127765494,0.1367728872234506,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,1,0,0,0,1,0
11,Y,1,0.9820244982415508,0.0179755017584491,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
12,Y,1,0.9457429727886364,0.0542570272113634,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
13,Y,1,0.4564831712959699,0.5435168287040301,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,0
14,Y,1,0.686993523583991,0.313006476416009,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,1,0,0,1,1,0
15,N,0,0.2090351711370636,0.7909648288629364,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,0,0,0,1,1,1,0
16,Y,1,0.9102682086330924,0.0897317913669076,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,1,0,0,1,1,0,0
17,Y,1,0.9673935965783318,0.0326064034216682,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,0,0,0
18,Y,1,0.9735395325002354,0.0264604674997646,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
19,Y,1,0.3596685465595751,0.6403314534404249,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,0
20,Y,1,0.9357914701269676,0.0642085298730323,bottom_40_lowest_risk,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,0,0,0,1,0,1
21,Y,1,0.7150496924353572,0.2849503075646428,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,1,0,0
22,Y,1,0.924046617019444,0.0759533829805559,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
23,N,0,0.1862639162707319,0.8137360837292681,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,1,0,0,1,0,0
24,Y,1,0.8296372595786939,0.170362740421306,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,1,0,1,0,1,0
25,N,0,0.6889367024289341,0.3110632975710659,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,0,0,0
26,N,0,0.9024033951275484,0.0975966048724514,bottom_40_lowest_risk,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,1,0,0,0,0,0
27,Y,1,0.907670152903062,0.0923298470969381,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,1,1,0,1,0,0,0
28,Y,1,0.940800297883476,0.0591997021165239,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
29,Y,1,0.9649371963099,0.0350628036900999,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,0,1,0
30,N,0,0.1902263737813284,0.8097736262186715,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,0,0,1,1,0,1
31,N,0,0.7326981034832822,0.2673018965167177,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,1,0,0
32,N,0,0.6907843910260063,0.3092156089739937,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,0,1,0
33,N,0,0.252608644124899,0.7473913558751011,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,0,0,0,1,0,1
34,Y,1,0.5969022917591867,0.4030977082408132,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,1,1,0,1,1,0,0
35,N,0,0.6661555534864194,0.3338444465135806,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,1,0,0
36,Y,1,0.9463966283099022,0.0536033716900977,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,0,0,0
37,Y,1,0.9494588024044462,0.0505411975955537,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
38,N,0,0.4020116693284514,0.5979883306715486,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,1,0
39,Y,1,0.5651322027419271,0.4348677972580729,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,0,1,0,0
40,Y,1,0.2647363224270772,0.7352636775729228,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,0,0,1,0,0,1
41,Y,1,0.8734468868412991,0.1265531131587008,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,0,1
42,Y,1,0.857856981834792,0.142143018165208,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,1,1,0
43,N,0,0.6661555534864194,0.3338444465135806,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,1,0,0
44,Y,1,0.975058534203941,0.024941465796059,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
45,Y,1,0.965360129163628,0.0346398708363721,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,1,1,0,1,0,1,0
46,N,0,0.5734428013764044,0.4265571986235956,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,0,1,0,0
47,N,0,0.6546058931618077,0.3453941068381922,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,1,0,0,0,0,0
48,Y,1,0.9811545607642936,0.0188454392357063,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,1,0
50,Y,1,0.8962005560570232,0.1037994439429768,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
51,N,0,0.1983257919476052,0.8016742080523948,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,0,0,0,0,1,0,1
52,Y,1,0.9561790133677586,0.0438209866322414,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,1,1,1,1,1,0
53,Y,1,0.5463061600252778,0.4536938399747222,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,0
54,N,0,0.6700147184737384,0.3299852815262616,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,0,0,0,0,0,1
55,Y,1,0.8634070526044656,0.1365929473955344,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,0,0,1
56,N,0,0.4383087230872823,0.5616912769127176,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,1
57,Y,1,0.5357274391930517,0.4642725608069483,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,1
58,Y,1,0.7409096062817148,0.2590903937182852,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,1,0,0
59,Y,1,0.588436576343157,0.4115634236568429,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,1
60,Y,1,0.7338830180572625,0.2661169819427375,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,1,0,0
61,N,0,0.5794330462204693,0.4205669537795307,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,0,0,0,0
62,Y,1,0.5142230772795439,0.4857769227204561,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,1,1,0,1
63,N,0,0.2996344794236437,0.7003655205763563,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,0,1,0,1
64,Y,1,0.9053634551749428,0.0946365448250573,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,1,1,0,1,0,0
