feature_set_name,window,model,top_10pct_n,overall_churn_rate,top_10pct_churn_rate,top_decile_lift,captured_churners,total_churners,churner_capture_rate
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,LogisticRegression,478,0.2870002093364036,0.7322175732217573,2.551278882042549,350,1371,0.2552881108679796
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,478,0.2870002093364036,0.7907949790794979,2.7553811926059533,378,1371,0.27571115973741794
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,LogisticRegression,478,0.2870002093364036,0.5753138075313807,2.004576264462003,275,1371,0.20058351568198396
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,478,0.2870002093364036,0.7594142259414226,2.646040669089844,363,1371,0.2647702407002188
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,LogisticRegression,478,0.2870002093364036,0.7280334728033473,2.5367001455737346,348,1371,0.2538293216630197
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,478,0.2870002093364036,0.7782426778242678,2.7116449831995095,372,1371,0.2713347921225383
pruned_w1_3_timing_sensitive_all_weeks_reference,w1_3,LogisticRegression,478,0.2870002093364036,0.7322175732217573,2.551278882042549,350,1371,0.2552881108679796
pruned_w1_3_timing_sensitive_all_weeks_reference,w1_3,HistGradientBoostingClassifier,478,0.2870002093364036,0.7907949790794979,2.7553811926059533,378,1371,0.27571115973741794
pruned_w1_3_early_safer_week1_2_reference,w1_3,LogisticRegression,478,0.2870002093364036,0.5125523012552301,1.7858952174297844,245,1371,0.1787016776075857
pruned_w1_3_early_safer_week1_2_reference,w1_3,HistGradientBoostingClassifier,478,0.2870002093364036,0.7447698744769874,2.595015091448993,356,1371,0.25966447848285923
pruned_w1_4_late_period_comparison,w1_4,LogisticRegression,478,0.2870002093364036,0.7677824267782427,2.6751981420274733,367,1371,0.26768781911013856
pruned_w1_4_late_period_comparison,w1_4,HistGradientBoostingClassifier,478,0.2870002093364036,0.8347280334728033,2.908457925528506,399,1371,0.2910284463894967
