model_role,feature,feature_family,feature_bin,feature_value_mean_or_count,repurchase_score_mean,churn_risk_score_mean,target_repurchase_rate,row_count,direction_summary,interpretation_note_ko,explanation_method
primary_conservative,w1_3_week3_watch_time,usage,low,0.0,0.5460192216008259,0.4539807783991741,0.5549278091650973,1593,increase_repurchase,"w1_3_week3_watch_time: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_week3_watch_time,usage,mid,36.3285175879397,0.7007069945008098,0.2992930054991902,0.6771356783919598,1592,increase_repurchase,"w1_3_week3_watch_time: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_week3_watch_time,usage,high,250.98052763819095,0.9045768192235852,0.09542318077641475,0.907035175879397,1592,increase_repurchase,"w1_3_week3_watch_time: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_w2_minus_w1_watch_time,usage,low,-165.0376647834275,0.6748871969256751,0.3251128030743248,0.6685499058380414,1593,increase_repurchase,"w1_3_w2_minus_w1_watch_time: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_w2_minus_w1_watch_time,usage,mid,-1.3957286432160805,0.6382135546867642,0.3617864453132357,0.6375628140703518,1592,increase_repurchase,"w1_3_w2_minus_w1_watch_time: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_w2_minus_w1_watch_time,usage,high,162.74057788944722,0.8381213364921,0.16187866350790003,0.8329145728643216,1592,increase_repurchase,"w1_3_w2_minus_w1_watch_time: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_week1_ratio,usage,low,0.0,0.7373273005015298,0.2626726994984701,0.7275580665411174,1593,increase_churn_risk,"w1_3_week1_ratio: 값이 높을수록 재구독 점수가 낮아져 이탈 위험 쪽 신호로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_week1_ratio,usage,mid,0.19472589321608041,0.8453235430348498,0.15467645696515028,0.8461055276381909,1592,increase_churn_risk,"w1_3_week1_ratio: 값이 높을수록 재구독 점수가 낮아져 이탈 위험 쪽 신호로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_week1_ratio,usage,high,0.7711456369346733,0.568532023397572,0.431467976602428,0.5653266331658291,1592,increase_churn_risk,"w1_3_week1_ratio: 값이 높을수록 재구독 점수가 낮아져 이탈 위험 쪽 신호로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_first_watch_rel_day,usage,low,0.4389261744966443,0.730605734910378,0.269394265089622,0.7389261744966443,1490,increase_repurchase,"w1_3_first_watch_rel_day: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_first_watch_rel_day,usage,mid,3.785762256548019,0.6788933346805622,0.3211066653194378,0.6668905305574211,1489,increase_repurchase,"w1_3_first_watch_rel_day: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_first_watch_rel_day,usage,high,11.869127516778523,0.7520142643388775,0.24798573566112245,0.7342281879194631,1490,increase_repurchase,"w1_3_first_watch_rel_day: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_thriller_crime,genre,low,0.0,0.7118108789659838,0.2881891210340162,0.7106089139987445,1593,ambiguous_or_nonlinear,"w1_3_genre_ratio_thriller_crime: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_thriller_crime,genre,mid,0.0006343096733668342,0.7150255663135198,0.28497443368648023,0.7217336683417085,1592,ambiguous_or_nonlinear,"w1_3_genre_ratio_thriller_crime: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_thriller_crime,genre,high,0.3706416268844221,0.7243624495574227,0.2756375504425774,0.7066582914572864,1592,ambiguous_or_nonlinear,"w1_3_genre_ratio_thriller_crime: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_animation_family,genre,low,0.0,0.6874915019722161,0.3125084980277839,0.6704331450094162,1593,increase_repurchase,"w1_3_genre_ratio_animation_family: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_animation_family,genre,mid,0.0,0.6801120014342504,0.3198879985657496,0.6777638190954773,1592,increase_repurchase,"w1_3_genre_ratio_animation_family: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_animation_family,genre,high,0.33455262562814075,0.7836106674210337,0.21638933257896634,0.7908291457286433,1592,increase_repurchase,"w1_3_genre_ratio_animation_family: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_max_day_share,usage,low,0.247076762084118,0.8079291615726562,0.19207083842734377,0.8097928436911488,1593,increase_churn_risk,"w1_3_max_day_share: 값이 높을수록 재구독 점수가 낮아져 이탈 위험 쪽 신호로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_max_day_share,usage,mid,0.556164779522613,0.7571877974990936,0.24281220250090638,0.7569095477386935,1592,increase_churn_risk,"w1_3_max_day_share: 값이 높을수록 재구독 점수가 낮아져 이탈 위험 쪽 신호로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_max_day_share,usage,high,0.9507398881909548,0.5860215599595189,0.4139784400404811,0.5722361809045227,1592,increase_churn_risk,"w1_3_max_day_share: 값이 높을수록 재구독 점수가 낮아져 이탈 위험 쪽 신호로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,price,membership,low,53.883816698053984,0.7270190539525377,0.27298094604746237,0.71939736346516,1593,ambiguous_or_nonlinear,"price: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
