conflict_level,conflict_id,source_row_number,group_size,target_values_in_group,USER_KEY,product_code,price,billing_method,max_screen,is_promotion,is_churn_prevented,payment_device,is_user_verified,gender,age,reg_date,reg_hour,end_date,is_repurchase
strict,1,710,2,N|Y,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,pk_1487,7900,180,1,,,pc,N,M,40,21-03-04,13,21-03-07,N
strict,1,711,2,N|Y,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,pk_1487,7900,180,1,,,pc,N,M,40,21-03-04,13,21-03-07,Y
strict,2,1363,2,N|Y,a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee26f98deca7a33e5a3f56218df401f2763754e1ede70abac7e3dc74b49244a80854017dd,pk_1489,100,132,4,O,,pc,Y,M,25,21-03-12,1,21-04-12,Y
strict,2,1364,2,N|Y,a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee26f98deca7a33e5a3f56218df401f2763754e1ede70abac7e3dc74b49244a80854017dd,pk_1489,100,132,4,O,,pc,Y,M,25,21-03-12,1,21-04-12,N
strict,3,3219,2,N|Y,a6e6e6128f41e37c3fab8276d6861b58a12e2f99976df1f55bc736bdb52db94c58487e29a9cef71c7045834409303e02f24127af76d1d08091312406fcfa3bd5,pk_1136,10.99,140,1,,,ios,Y,F,35,21-03-02,19,21-03-02,Y
strict,3,3220,2,N|Y,a6e6e6128f41e37c3fab8276d6861b58a12e2f99976df1f55bc736bdb52db94c58487e29a9cef71c7045834409303e02f24127af76d1d08091312406fcfa3bd5,pk_1136,10.99,140,1,,,ios,Y,F,35,21-03-02,19,21-03-02,N
strict,4,3415,2,N|Y,7fde7d15ef62456f67f8323066203ec3090257e53d48a8d88b6c4462e105099b85e499e0efccd162e5789c765e85912cf42eba356b5b22e46c68df7749793bb0,pk_2025,7900,151,1,,,android,N,N,40,21-03-01,16,21-03-01,N
strict,4,3416,2,N|Y,7fde7d15ef62456f67f8323066203ec3090257e53d48a8d88b6c4462e105099b85e499e0efccd162e5789c765e85912cf42eba356b5b22e46c68df7749793bb0,pk_2025,7900,151,1,,,android,N,N,40,21-03-01,16,21-03-01,Y
strict,5,4102,2,N|Y,b4ef3e6518e866e89b69393c18b42f3770a1868d7496e70ea97aae3db2db13cef627f6b5fdc7ebf6e3c7cdb439e91905e8885298e01a8c6beaa98aad0d5715c0,pk_2026,10900,151,2,,,android,Y,M,30,21-03-07,17,21-04-07,Y
strict,5,4103,2,N|Y,b4ef3e6518e866e89b69393c18b42f3770a1868d7496e70ea97aae3db2db13cef627f6b5fdc7ebf6e3c7cdb439e91905e8885298e01a8c6beaa98aad0d5715c0,pk_2026,10900,151,2,,,android,Y,M,30,21-03-07,17,21-04-07,N
strict,6,4475,2,N|Y,e7607ee4e1a48b7147ad4807c099fbca1627cce1c30ab25a639cc2f2a05d8df6df46ac106d95d84d0e827213b85ee7c53b4f3283a2f362e025ec51451ced55b0,pk_1508,9.99,140,1,,,ios,,,,21-03-06,0,21-04-07,Y
strict,6,4476,2,N|Y,e7607ee4e1a48b7147ad4807c099fbca1627cce1c30ab25a639cc2f2a05d8df6df46ac106d95d84d0e827213b85ee7c53b4f3283a2f362e025ec51451ced55b0,pk_1508,9.99,140,1,,,ios,,,,21-03-06,0,21-04-07,N
strict,7,4730,2,N|Y,b4ef3e6518e866e89b69393c18b42f3770a1868d7496e70ea97aae3db2db13cef627f6b5fdc7ebf6e3c7cdb439e91905e8885298e01a8c6beaa98aad0d5715c0,pk_1488,10900,190,2,,,sstv,Y,M,30,21-03-06,23,21-03-07,Y
strict,7,4731,2,N|Y,b4ef3e6518e866e89b69393c18b42f3770a1868d7496e70ea97aae3db2db13cef627f6b5fdc7ebf6e3c7cdb439e91905e8885298e01a8c6beaa98aad0d5715c0,pk_1488,10900,190,2,,,sstv,Y,M,30,21-03-06,23,21-03-07,N
strict,8,5864,2,N|Y,a6e6e6128f41e37c3fab8276d6861b58a12e2f99976df1f55bc736bdb52db94c58487e29a9cef71c7045834409303e02f24127af76d1d08091312406fcfa3bd5,pk_844,10.99,140,,,,ios,Y,F,35,21-03-02,19,21-04-03,Y
strict,8,5865,2,N|Y,a6e6e6128f41e37c3fab8276d6861b58a12e2f99976df1f55bc736bdb52db94c58487e29a9cef71c7045834409303e02f24127af76d1d08091312406fcfa3bd5,pk_844,10.99,140,,,,ios,Y,F,35,21-03-02,19,21-04-03,N
strict,9,6069,2,N|Y,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,pk_1487,7900,180,1,,,pc,N,M,40,21-03-08,20,21-03-10,N
