threshold_name,feature,quantile,threshold_value,threshold_source,target_used
holdout_q90,churn_risk_score,90,0.7133680863551195,risk_band_relative_population,N
holdout_q70,churn_risk_score,70,0.407576059567159,risk_band_relative_population,N
holdout_q40,churn_risk_score,40,0.11635951738703658,risk_band_relative_population,N
full_q90,churn_risk_score,90,0.7126418026558146,risk_band_relative_population,N
full_q70,churn_risk_score,70,0.40974459558035103,risk_band_relative_population,N
full_q40,churn_risk_score,40,0.10675805444864608,risk_band_relative_population,N
w1_3_week3_watch_time_q75,w1_3_week3_watch_time,0.75,141.0,holdout_primary_eval,N
w1_3_w2_minus_w1_watch_time_q75,w1_3_w2_minus_w1_watch_time,0.75,62.0,holdout_primary_eval,N
w1_3_week1_ratio_q75,w1_3_week1_ratio,0.75,0.559783,holdout_primary_eval,N
w1_3_first_watch_rel_day_q75,w1_3_first_watch_rel_day,0.75,8.0,holdout_primary_eval,N
w1_3_first_watch_rel_day_q50,w1_3_first_watch_rel_day,0.5,4.0,holdout_primary_eval,N
w1_3_total_watch_time_q25,w1_3_total_watch_time,0.25,69.0,holdout_primary_eval,N
w1_3_total_sessions_q25,w1_3_total_sessions,0.25,2.0,holdout_primary_eval,N
w1_3_genre_ratio_thriller_crime_q75,w1_3_genre_ratio_thriller_crime,0.75,0.147059,holdout_primary_eval,N
w1_3_genre_ratio_animation_family_q75,w1_3_genre_ratio_animation_family,0.75,0.0,holdout_primary_eval,N
w1_3_genre_ratio_drama_q75,w1_3_genre_ratio_drama,0.75,0.25,holdout_primary_eval,N
w1_3_genre_ratio_action_adventure_q75,w1_3_genre_ratio_action_adventure,0.75,0.060606,holdout_primary_eval,N
price_q75,price,0.75,7900.0,holdout_primary_eval,N
