column_name,dtype,missing_count,missing_rate,nunique
USER_KEY,object,0,0.0,23134
product_code,object,0,0.0,46
price,float64,0,0.0,32
billing_method,int64,0,0.0,9
max_screen,float64,0,0.0,3
is_promotion,int64,0,0.0,2
is_churn_prevented,int64,0,0.0,2
payment_device,object,0,0.0,6
is_user_verified,int64,0,0.0,2
gender,object,0,0.0,3
age,float64,0,0.0,12
reg_date,object,0,0.0,15
reg_hour,int64,0,0.0,24
end_date,object,0,0.0,38
is_repurchase,int64,0,0.0,2
is_standard,int64,0,0.0,2
is_premium,int64,0,0.0,2
age_group,int64,0,0.0,7
is_female,int64,0,0.0,2
is_male,int64,0,0.0,2
reg_is_weekend,int64,0,0.0,2
reg_hour_morning,int64,0,0.0,2
reg_hour_afternoon,int64,0,0.0,2
reg_hour_evening,int64,0,0.0,2
reg_hour_night,int64,0,0.0,2
payment_is_mobile,int64,0,0.0,2
payment_is_pc,int64,0,0.0,2
payment_is_android,int64,0,0.0,2
payment_is_ios,int64,0,0.0,2
total_watch_count,int64,0,0.0,60
unique_movie,int64,0,0.0,42
watch_days,int64,0,0.0,20
active_ratio,float64,0,0.0,20
total_watch_time(min),int64,0,0.0,1547
watch_per_day,float64,0,0.0,239
avg_watch_time(min),float64,0,0.0,5290
median_watch_time(min),float64,0,0.0,331
std_watch_time(min),float64,0,0.0,15547
avg_daily_watch_time(min),float64,0,0.0,3896
max_watch_time(min),int64,0,0.0,201
max_daily_watch_time(min),int64,0,0.0,634
max_daily_sessions,int64,0,0.0,27
recency,int64,0,0.0,22
avg_gap_between_watch_days,float64,0,0.0,118
avg_gap_w1_watch_days,float64,0,0.0,13
avg_gap_w2_watch_days,float64,0,0.0,13
avg_gap_w3_watch_days,float64,0,0.0,13
max_inactive_gap_days,int64,0,0.0,21
avg_rewatch_ratio,float64,0,0.0,169
weekend_watch_ratio,float64,0,0.0,319
watch_ratio_under_1m,float64,0,0.0,289
watch_ratio_under_5m,float64,0,0.0,311
is_cold_start_3d,int64,0,0.0,2
is_cold_start_7d,int64,0,0.0,2
movie_per_active_day,float64,0,0.0,226
max_day_share,float64,0,0.0,12004
day_count_over_3times,int64,0,0.0,12
watch_time(min)_w1,int64,0,0.0,857
watch_time(min)_w2,int64,0,0.0,851
watch_time(min)_w3,int64,0,0.0,842
watch_session_w1,int64,0,0.0,36
watch_session_w2,int64,0,0.0,36
watch_session_w3,int64,0,0.0,37
retention_w2_ratio,float64,0,0.0,8635
retention_w3_ratio,float64,0,0.0,8540
diff_between_w2_w1,int64,0,0.0,1385
diff_between_w3_w1,int64,0,0.0,1486
diff_between_w3_w2,int64,0,0.0,1409
is_w1_over_50pct,int64,0,0.0,2
is_w2_over_50pct,int64,0,0.0,2
is_w3_over_50pct,int64,0,0.0,2
is_only_w1,int64,0,0.0,2
is_only_w2,int64,0,0.0,2
is_only_w3,int64,0,0.0,2
new_movie_in_90d_ratio,float64,0,0.0,234
new_movie_in_180d_ratio,float64,0,0.0,250
new_movie_in_365d_ratio,float64,0,0.0,275
old_movie_ratio(5y),float64,0,0.0,225
avg_ott_release_year,float64,0,0.0,15059
genre_diversity_count,int64,0,0.0,12
action_adventure_ratio,float64,0,0.0,6052
family_animation_ratio,float64,0,0.0,4103
drama_ratio,float64,0,0.0,8057
thriller_crime_ratio,float64,0,0.0,6632
sf_fantasy_ratio,float64,0,0.0,5247
comedy_ratio,float64,0,0.0,5466
romance_ratio,float64,0,0.0,5414
horror_ratio,float64,0,0.0,2335
documentary_ratio,float64,0,0.0,1945
historical_war_ratio,float64,0,0.0,4233
other_ratio,float64,0,0.0,1923
