grouping,group_value,metric,row_count,count,rate_within_group
is_promotion|is_repurchase,is_promotion=0|is_repurchase=0,duration_lt_21,2746,89,0.03241077931536781
is_promotion|is_repurchase,is_promotion=0|is_repurchase=0,duration_eq_0,2746,69,0.025127458120903133
is_promotion|is_repurchase,is_promotion=0|is_repurchase=0,duration_1_20,2746,20,0.007283321194464676
is_promotion|is_repurchase,is_promotion=0|is_repurchase=0,duration_21_30,2746,0,0.0
is_promotion|is_repurchase,is_promotion=0|is_repurchase=0,duration_gte_21,2746,2657,0.9675892206846322
is_promotion|is_repurchase,is_promotion=0|is_repurchase=1,duration_lt_21,8642,98,0.01133996760009257
is_promotion|is_repurchase,is_promotion=0|is_repurchase=1,duration_eq_0,8642,0,0.0
is_promotion|is_repurchase,is_promotion=0|is_repurchase=1,duration_1_20,8642,98,0.01133996760009257
is_promotion|is_repurchase,is_promotion=0|is_repurchase=1,duration_21_30,8642,0,0.0
is_promotion|is_repurchase,is_promotion=0|is_repurchase=1,duration_gte_21,8642,8544,0.9886600323999074
is_promotion|is_repurchase,is_promotion=1|is_repurchase=0,duration_lt_21,3895,28,0.007188703465982028
is_promotion|is_repurchase,is_promotion=1|is_repurchase=0,duration_eq_0,3895,21,0.005391527599486521
is_promotion|is_repurchase,is_promotion=1|is_repurchase=0,duration_1_20,3895,7,0.001797175866495507
is_promotion|is_repurchase,is_promotion=1|is_repurchase=0,duration_21_30,3895,0,0.0
is_promotion|is_repurchase,is_promotion=1|is_repurchase=0,duration_gte_21,3895,3867,0.992811296534018
is_promotion|is_repurchase,is_promotion=1|is_repurchase=1,duration_lt_21,8060,23,0.0028535980148883377
is_promotion|is_repurchase,is_promotion=1|is_repurchase=1,duration_eq_0,8060,0,0.0
is_promotion|is_repurchase,is_promotion=1|is_repurchase=1,duration_1_20,8060,23,0.0028535980148883377
is_promotion|is_repurchase,is_promotion=1|is_repurchase=1,duration_21_30,8060,0,0.0
is_promotion|is_repurchase,is_promotion=1|is_repurchase=1,duration_gte_21,8060,8037,0.9971464019851116
