"zip_member","file_size","compress_size"
"notebook/06x_dataset_generation_260515/06x_dataset_generation_260515.ipynb","42782","9561"
"reports/audits/06x_dataset_generation_260515/06x_caveat_register.csv","778","432"
"reports/audits/06x_dataset_generation_260515/06x_cold_start_hotfix_diff_summary.csv","1091","356"
"reports/audits/06x_dataset_generation_260515/06x_cold_start_hotfix_print_summary.txt","554","306"
"reports/audits/06x_dataset_generation_260515/06x_cold_start_hotfix_validation.csv","400","216"
"reports/audits/06x_dataset_generation_260515/06x_cold_start_mismatch_cause_analysis.csv","1384","538"
"reports/audits/06x_dataset_generation_260515/06x_conservative_dataset.csv","4611991","2197691"
"reports/audits/06x_dataset_generation_260515/06x_dataset_comparison_summary.csv","286","167"
"reports/audits/06x_dataset_generation_260515/06x_dataset_schema_conservative.csv","1524","398"
"reports/audits/06x_dataset_generation_260515/06x_dataset_schema_expanded.csv","8035","1630"
"reports/audits/06x_dataset_generation_260515/06x_excluded_columns_audit.csv","1392","227"
"reports/audits/06x_dataset_generation_260515/06x_expanded_dataset.csv","9983123","3771679"
"reports/audits/06x_dataset_generation_260515/06x_feature_name_mapping.csv","5490","1062"
"reports/audits/06x_dataset_generation_260515/06x_final_checks.csv","1539","696"
"reports/audits/06x_dataset_generation_260515/06x_fixed_feature_validation.csv","868","345"
"reports/audits/06x_dataset_generation_260515/06x_model_feature_lists.csv","12902","1514"
"reports/audits/06x_dataset_generation_260515/06x_preflight_input_validation.csv","2538","559"
"reports/audits/06x_dataset_generation_260515/06x_retry_deleted_failed_artifacts_manifest.csv","615","224"
"reports/audits/06x_dataset_generation_260515/06x_review_zip_inventory.csv","2255","589"
"reports/audits/06x_dataset_generation_260515/06x_row_policy_audit.csv","215","146"
"reports/audits/06x_dataset_generation_260515/06x_scope_feature_policy.csv","757","344"
"reports/audits/06x_dataset_generation_260515/06x_source_master_profile.csv","218","163"
"reports/audits/06x_dataset_generation_260515/note_tail_copy.md","10514","4233"
"reports/audits/06x_dataset_generation_260515/README.md","1861","902"
