required_item,expected_path_in_zip,exists,size_bytes,status
notebook,notebook/08x_promotion_nonpromotion_EDA_260516/08x_promotion_nonpromotion_EDA_260516.ipynb,True,55058,PASS
README,reports/audits/08x_promotion_nonpromotion_EDA_260516/README.md,True,3221,PASS
execution_log,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_execution_log.txt,True,411,PASS
note_tail_copy,reports/audits/08x_promotion_nonpromotion_EDA_260516/note_tail_copy.md,True,726,PASS
08x_AARRR_stage_summary.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_AARRR_stage_summary.csv,True,2728,PASS
08x_binary_feature_group_comparison.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_binary_feature_group_comparison.csv,True,11734,PASS
08x_caveat_and_claim_guardrail.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_caveat_and_claim_guardrail.csv,True,2408,PASS
08x_dataset_scope_summary.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_dataset_scope_summary.csv,True,1077,PASS
08x_downstream_handoff.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_downstream_handoff.csv,True,3933,PASS
08x_feature_family_summary.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_feature_family_summary.csv,True,2964,PASS
08x_final_checks.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_final_checks.csv,True,2114,PASS
08x_numeric_feature_group_comparison.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_numeric_feature_group_comparison.csv,True,29697,PASS
08x_preflight_input_validation.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_preflight_input_validation.csv,True,916,PASS
08x_promotion_target_summary.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_promotion_target_summary.csv,True,1119,PASS
08x_redundancy_audit_handoff.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_redundancy_audit_handoff.csv,True,1886,PASS
08x_source_fingerprint_before_after.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_source_fingerprint_before_after.csv,True,2209,PASS
08x_top_observed_differences_for_review.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_top_observed_differences_for_review.csv,True,13231,PASS
08x_review_zip_inventory.csv,reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_review_zip_inventory.csv,True,2372,PASS
