feature_set_name,AARRR_stage,feature_family,feature_count,compared_feature_count,avg_abs_standardized_difference,max_abs_standardized_difference,top_diff_features,caveat_count,needs_user_review_count,summary_note
conservative_safe_22,Activation,early_week1_watch_behavior,4,4,0.006175193330472021,0.015995484742904603,"is_only_w1, watch_time_min_w1, watch_session_w1, is_w1_over_50pct",0,0,"Descriptive family summary only; not removal, importance, or approval evidence."
conservative_safe_22,Activation,onboarding_cold_start_fixed,2,2,0.010508134326146421,0.012994487609611652,"is_cold_start_7d_fixed, is_cold_start_3d_fixed",2,0,"Descriptive family summary only; not removal, importance, or approval evidence."
conservative_safe_22,Retention,usage_retention_behavior,16,16,0.007754084762564392,0.026469464503076266,"avg_gap_w3_watch_days, is_only_w2, is_only_w3, avg_gap_w2_watch_days, watch_session_w3",0,0,"Descriptive family summary only; not removal, importance, or approval evidence."
expanded_feature_set,Acquisition,acquisition_split_key,1,0,,,,0,0,"Descriptive family summary only; not removal, importance, or approval evidence."
expanded_feature_set,Acquisition_context,membership_context,12,12,0.26299932722869684,1.0187395091217883,"payment_is_ios, payment_is_mobile, is_premium, payment_is_pc, reg_hour_morning",0,0,"Descriptive family summary only; not removal, importance, or approval evidence."
expanded_feature_set,Activation,early_week1_watch_behavior,4,4,0.006175193330472021,0.015995484742904603,"is_only_w1, watch_time_min_w1, watch_session_w1, is_w1_over_50pct",0,0,"Descriptive family summary only; not removal, importance, or approval evidence."
expanded_feature_set,Activation,onboarding_cold_start_fixed,2,2,0.010508134326146421,0.012994487609611652,"is_cold_start_7d_fixed, is_cold_start_3d_fixed",2,0,"Descriptive family summary only; not removal, importance, or approval evidence."
expanded_feature_set,Needs_user_review,profile_context_needs_review,4,4,0.6040587816696585,1.322578681085832,"is_user_verified, age_group, is_female, is_male",0,4,"Descriptive family summary only; not removal, importance, or approval evidence."
expanded_feature_set,Retention,usage_retention_behavior,39,39,0.008302551446905842,0.02653392861180279,"recency, avg_gap_w3_watch_days, is_only_w2, is_only_w3, avg_gap_w2_watch_days",2,0,"Descriptive family summary only; not removal, importance, or approval evidence."
expanded_feature_set,Retention_context,content_preference_context,17,17,0.009324653586210947,0.021867853104492428,"new_movie_in_90d_ratio, romance_ratio, historical_war_ratio, new_movie_in_180d_ratio, drama_ratio",13,0,"Descriptive family summary only; not removal, importance, or approval evidence."
expanded_feature_set,Retention_context,historical_churn_prevention_context,1,1,0.1265347109374024,0.1265347109374024,is_churn_prevented,1,0,"Descriptive family summary only; not removal, importance, or approval evidence."
