dataset_scope,feature_name,included_as_feature,reason,removed_payment_feature
overall_without_promotion,is_churn_prevented,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,is_user_verified,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,is_standard,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,is_premium,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,age_group,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,is_female,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,is_male,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,reg_is_weekend,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,reg_hour_morning,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,reg_hour_afternoon,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,reg_hour_evening,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,reg_hour_night,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,payment_is_mobile,no,removed only for 15x payment-device sensitivity audit,yes
overall_without_promotion,payment_is_pc,no,removed only for 15x payment-device sensitivity audit,yes
overall_without_promotion,payment_is_android,no,removed only for 15x payment-device sensitivity audit,yes
overall_without_promotion,payment_is_ios,no,removed only for 15x payment-device sensitivity audit,yes
overall_without_promotion,total_watch_count,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,unique_movie,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,watch_days,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,active_ratio,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,total_watch_time_min,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,watch_per_day,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,avg_watch_time_min,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,median_watch_time_min,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,std_watch_time_min,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,avg_daily_watch_time_min,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,max_watch_time_min,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,max_daily_watch_time_min,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,max_daily_sessions,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,recency,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,avg_gap_between_watch_days,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,avg_gap_w1_watch_days,yes,retained from expanded_feature_set for same scope,no
overall_without_promotion,avg_gap_w2_watch_days,yes,retained from expanded_feature_set for same scope,no
