audit_group,row_count,share_of_total,promotion_rate,repurchase_rate,mean_churn_risk_original_reference,mean_churn_risk_no_payment,top5_share_original_reference,top5_share_no_payment,top10_share_original_reference,top10_share_no_payment,top20_share_original_reference,top20_share_no_payment,interpretation_caution
flag_age40_unverified_ios|all_rows|overall_without_promotion|LightGBM,2723,0.11798604792235365,0.0,0.7803892765332354,0.22477156035235782,0.23003667386387017,0.024263431542461005,0.04592720970537262,0.043760831889081454,0.05675909878682842,0.0779896013864818,0.08535528596187175,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|promotion_rows|overall_without_promotion|LightGBM,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|nonpromotion_rows|overall_without_promotion|LightGBM,2723,0.243668903803132,0.0,0.7803892765332354,0.22477156035235782,0.23003667386387017,0.07871198568872988,0.1073345259391771,0.12432915921288014,0.15295169946332737,0.17941834451901567,0.18926174496644296,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|all_rows|overall_without_promotion|CatBoost,2723,0.11798604792235365,0.0,0.7803892765332354,0.23884779074050705,0.23768381998933555,0.05979202772963605,0.058925476603119586,0.07235701906412478,0.07279029462738301,0.09380415944540728,0.09228769497400346,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|promotion_rows|overall_without_promotion|CatBoost,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|nonpromotion_rows|overall_without_promotion|CatBoost,2723,0.243668903803132,0.0,0.7803892765332354,0.23884779074050705,0.23768381998933555,0.1413237924865832,0.1413237924865832,0.16010733452593917,0.16815742397137745,0.20268456375838925,0.203579418344519,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|all_rows|overall_without_promotion|HistGradientBoosting,2723,0.11798604792235365,0.0,0.7803892765332354,0.22449033438758748,0.23164221550268907,0.02772963604852686,0.04679376083188908,0.047660311958405546,0.05849220103986135,0.07972270363951472,0.08578856152512998,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|promotion_rows|overall_without_promotion|HistGradientBoosting,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|nonpromotion_rows|overall_without_promotion|HistGradientBoosting,2723,0.243668903803132,0.0,0.7803892765332354,0.22449033438758748,0.23164221550268907,0.08228980322003578,0.12164579606440072,0.12432915921288014,0.14579606440071557,0.18299776286353467,0.18881431767337808,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|all_rows|overall_with_promotion|LightGBM,2723,0.11798604792235365,0.0,0.7803892765332354,0.23044612733762027,0.22942063101298818,0.05025996533795494,0.05545927209705372,0.06629116117850953,0.06932409012131716,0.08708838821490468,0.08882149046793761,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|promotion_rows|overall_with_promotion|LightGBM,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|nonpromotion_rows|overall_with_promotion|LightGBM,2723,0.243668903803132,0.0,0.7803892765332354,0.23044612733762027,0.22942063101298818,0.1771019677996422,0.18425760286225404,0.20304114490161002,0.2039355992844365,0.22371364653243847,0.22774049217002237,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|all_rows|overall_with_promotion|CatBoost,2723,0.11798604792235365,0.0,0.7803892765332354,0.24299610058368734,0.23411562009771503,0.06672443674176777,0.060658578856152515,0.07712305025996534,0.07495667244367418,0.09618717504332755,0.09207105719237435,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|promotion_rows|overall_with_promotion|CatBoost,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|nonpromotion_rows|overall_with_promotion|CatBoost,2723,0.243668903803132,0.0,0.7803892765332354,0.24299610058368734,0.23411562009771503,0.20930232558139536,0.18962432915921287,0.20930232558139536,0.2075134168157424,0.23400447427293064,0.22774049217002237,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|all_rows|overall_with_promotion|HistGradientBoosting,2723,0.11798604792235365,0.0,0.7803892765332354,0.23002521552725144,0.22804476281788838,0.053726169844020795,0.05719237435008666,0.067157712305026,0.07019064124783363,0.0860051993067591,0.0860051993067591,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|promotion_rows|overall_with_promotion|HistGradientBoosting,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|nonpromotion_rows|overall_with_promotion|HistGradientBoosting,2723,0.243668903803132,0.0,0.7803892765332354,0.23002521552725144,0.22804476281788838,0.16994633273703041,0.17531305903398928,0.20483005366726298,0.20304114490161002,0.21700223713646533,0.2214765100671141,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|all_rows|promotion_only|LightGBM,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|promotion_rows|promotion_only|LightGBM,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|all_rows|promotion_only|CatBoost,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|promotion_rows|promotion_only|CatBoost,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|all_rows|promotion_only|HistGradientBoosting,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|promotion_rows|promotion_only|HistGradientBoosting,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|all_rows|nonpromotion_only|LightGBM,2723,0.243668903803132,0.0,0.7803892765332354,0.22121900889204732,0.2194080822462063,0.1806797853309481,0.19856887298747763,0.21377459749552774,0.21556350626118068,0.22774049217002237,0.22550335570469798,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|nonpromotion_rows|nonpromotion_only|LightGBM,2723,0.243668903803132,0.0,0.7803892765332354,0.22121900889204732,0.2194080822462063,0.1806797853309481,0.19856887298747763,0.21377459749552774,0.21556350626118068,0.22774049217002237,0.22550335570469798,Artifact/proxy audit only. Do not call this group a causal or representative segment.
flag_age40_unverified_ios|all_rows|nonpromotion_only|CatBoost,2723,0.243668903803132,0.0,0.7803892765332354,0.23055223710625497,0.2271153914649389,0.2039355992844365,0.20572450805008943,0.22003577817531306,0.21377459749552774,0.23176733780760628,0.22774049217002237,Artifact/proxy audit only. Do not call this group a causal or representative segment.
