side,stage,file_role,file_count,size_bytes_total
park,unclassified,zip,1,120870
park,unclassified,other,40,2939494
park,12,csv,70,84310655
park,12r,csv,52,23487802
park,05b,csv,51,1136862
park,05b,md,3,5427
park,21,csv,16,571604
park,06,csv,198,126853765
park,11,csv,77,68109652
park,06,md,7,9963
park,07,csv,116,2082198
park,07,md,8,7751
park,08,csv,69,6872261
park,08b,csv,66,8937337
park,09,csv,64,265248
park,08b,md,8,18297
park,09,md,6,13369
park,09b,csv,76,375556
park,09b,md,4,4448
park,10,csv,76,421321
park,10,md,8,22694
park,01,figure,25,2380507
park,02,figure,16,1650863
park,09,figure,13,1174658
park,04,figure,25,2727477
park,05,figure,24,2641305
park,06,figure,21,1778036
park,07,figure,20,1946886
park,08,figure,19,1524386
park,10,figure,7,450402
park,11b,csv,102,23282160
park,16,csv,25,26774
park,11b,md,12,14604
park,03,figure,22,2104295
park,12c,csv,202,178369725
park,14,csv,12,16789
park,12,md,12,14927
park,11b,figure,9,481326
park,unclassified,md,17,614548
park,unclassified,csv,41,70527661
park,01,html,1,47381
park,02,html,1,58186
park,03,html,1,55497
park,04,html,1,42243
park,05,html,1,45143
park,06,html,1,56996
park,01,notebook,3,247010
park,02,notebook,4,213860
park,02b,notebook,1,335802
park,02b,other,2,39351
park,02c,notebook,1,8167
park,02c,other,2,57769
park,03,notebook,3,199028
park,03c,notebook,1,2620
park,03c,other,2,54573
park,04,notebook,3,187617
park,04c,notebook,1,758
park,04c,other,2,24117
park,05,notebook,2,129641
park,05c,notebook,1,733
park,05c,other,3,37285
park,05d,notebook,1,16251
park,05d,other,3,163342
park,05e,notebook,1,678
park,05e,other,3,41739
park,05f,notebook,1,1947
park,05f,other,3,60580
park,06,notebook,2,62802
park,06,other,5,67107
park,06b,notebook,1,5905
park,06b,other,2,32454
park,unclassified,notebook,2,1496
park,06c,notebook,1,18209
park,06c,other,2,66682
park,06d,notebook,1,16563
park,06d,other,2,44446
park,06e,notebook,1,824
park,06e,other,2,52631
park,06f,notebook,1,756
park,06f,other,2,41614
park,06g,notebook,1,661
park,06g,other,2,30408
park,06h,notebook,1,1466749
park,06h,other,2,61172
park,07,notebook,2,64253
park,07,other,4,56395
park,07c,notebook,1,3379
park,07c,other,2,46167
park,07r,notebook,1,3901
park,07r,other,2,54441
park,08,notebook,3,1591605
park,08,other,4,116874
park,08b,notebook,3,808721
park,08b,other,4,124482
park,08c,notebook,2,17032
park,08c,other,4,150266
park,09,notebook,2,328838
park,09,other,2,61700
park,09c,notebook,1,5301
park,09c,other,2,80495
park,10,notebook,2,641438
park,10,other,2,63207
park,08c,zip,1,7206268
park,01,other,2,6423
park,01,md,3,7558
park,02,md,4,9342
park,02,other,4,7582
park,02,csv,65,41565902
park,02b,md,2,4796
park,02c,md,1,5044
park,02c,csv,27,21065481
park,03,md,3,3481
park,03,other,2,9531
