feature_name,in_park,in_PUBLIC,overlap_status
05x_conservative_safe_22,True,False,park_only
05x_conservative_safe_22_with_patch2_fixed_policy,True,False,park_only
06x_conservative_dataset,True,True,both
06x_expanded_dataset,True,True,both
GradientBoosting,False,True,PUBLIC_only
LogisticRegression,False,True,PUBLIC_only
MOVIE_NUM,True,False,park_only
USER_KEY,True,True,both
USER_NUM,True,False,park_only
action_adventure_ratio,True,True,both
active_ratio,True,True,both
age,True,False,park_only
age_band,True,False,park_only
age_group,True,True,both
age_num,True,False,park_only
alloc_dur_코미디,True,False,park_only
alloc_ratio_SF_판타지,True,False,park_only
alloc_ratio_가족,True,False,park_only
alloc_ratio_공포,True,False,park_only
alloc_ratio_기타,True,False,park_only
alloc_ratio_다큐_교양,True,False,park_only
alloc_ratio_드라마,True,False,park_only
alloc_ratio_로맨스,True,False,park_only
alloc_ratio_모험_어드벤처,True,False,park_only
alloc_ratio_스릴러_범죄,True,False,park_only
alloc_ratio_애니메이션_키즈,True,False,park_only
alloc_ratio_액션,True,False,park_only
alloc_ratio_전쟁_재난,True,False,park_only
alloc_ratio_코미디,True,False,park_only
auc,True,False,park_only
avg_content_age_from_2021_weighted,True,False,park_only
avg_daily_watch_time(min),True,False,park_only
avg_daily_watch_time_min,True,True,both
avg_gap_between_watch_days,True,True,both
avg_gap_w1_watch_days,True,True,both
avg_gap_w2_watch_days,True,True,both
avg_gap_w3_watch_days,True,True,both
avg_ott_release_year,True,True,both
avg_release_year_weighted,True,False,park_only
avg_rewatch_ratio,True,True,both
avg_runtime_weighted,True,False,park_only
avg_watch_time(min),True,False,park_only
avg_watch_time_min,True,True,both
billing_method,True,False,park_only
billing_method_clean,True,False,park_only
comedy_ratio,True,True,both
content_w1_3_only,True,False,park_only
content_w1_4_only,True,False,park_only
country_entropy_norm,True,False,park_only
country_ratio_chinese,True,False,park_only
country_ratio_french,True,False,park_only
country_ratio_hongkong,True,False,park_only
country_ratio_japanese,True,False,park_only
country_ratio_korean,True,False,park_only
country_ratio_other_foreign,True,False,park_only
country_ratio_uk,True,False,park_only
country_ratio_us,True,False,park_only
daily_watch_slope,True,False,park_only
day_count_over_3times,True,True,both
days_since_last_watch_to_obs_end,True,False,park_only
diff_between_w2_w1,True,True,both
diff_between_w3_w1,True,True,both
diff_between_w3_w2,True,True,both
discount_sensitive_risk,True,False,park_only
documentary_ratio,True,True,both
drama_ratio,True,True,both
duration_days,True,False,park_only
duration_days_recomputed,True,False,park_only
duration_days_stage02,True,False,park_only
end_date,True,False,park_only
end_date_parsed,True,False,park_only
family_2screen_lifestyle,True,False,park_only
family_animation_ratio,True,True,both
front_loaded_ratio,True,False,park_only
gender,True,False,park_only
gender_clean,True,False,park_only
genre_diversity_count,True,True,both
genre_tag_entropy_norm,True,False,park_only
has_watch_obs,True,False,park_only
historical_war_ratio,True,True,both
horror_ratio,True,True,both
is_adult_content_ratio,True,False,park_only
is_basic,True,True,both
is_churn_prevented,True,True,both
is_churn_prevented_bin,True,False,park_only
is_cold_start_3d_fixed,True,True,both
is_cold_start_7d_fixed,True,True,both
is_family_content_ratio,True,False,park_only
is_female,True,True,both
is_japanese_content_ratio,True,False,park_only
is_kids_animation_ratio,True,False,park_only
is_korean_content_ratio,True,False,park_only
is_long_movie_ratio,True,False,park_only
is_male,True,True,both
is_old_content_ratio,True,False,park_only
is_only_w1,True,True,both
is_only_w2,True,True,both
is_only_w3,True,True,both
is_premium,True,True,both
is_promotion,True,True,both
is_promotion_bin,True,False,park_only
is_recent_content_ratio,True,False,park_only
is_repurchase,True,True,both
is_repurchase_label,True,False,park_only
is_repurchase_raw,True,False,park_only
is_short_content_ratio,True,False,park_only
is_standard,True,True,both
is_us_content_ratio,True,False,park_only
is_user_verified,True,True,both
is_user_verified_bin,True,False,park_only
is_w1_over_50pct,True,True,both
is_w2_over_50pct,True,True,both
is_w3_over_50pct,True,True,both
late_ratio,True,False,park_only
log_retention_w2_ratio,False,True,PUBLIC_only
log_retention_w3_ratio,False,True,PUBLIC_only
lower_target_adjacent_timing_risk,True,False,park_only
max_daily_sessions,True,True,both
max_daily_watch_time(min),True,False,park_only
max_daily_watch_time_min,True,True,both
max_day_share,True,True,both
max_inactive_gap_days,True,True,both
max_screen,True,False,park_only
max_screen_num,True,False,park_only
max_watch_time(min),True,False,park_only
max_watch_time_min,True,True,both
median_watch_time(min),True,False,park_only
median_watch_time_min,True,True,both
membership_only_with_churn_prevented,True,False,park_only
membership_only_without_churn_prevented,True,False,park_only
membership_plus_usage_content_w1_3_with_churn_prevented,True,False,park_only
membership_plus_usage_content_w1_3_without_churn_prevented,True,False,park_only
membership_plus_usage_content_w1_4_with_churn_prevented,True,False,park_only
membership_plus_usage_content_w1_4_without_churn_prevented,True,False,park_only
membership_plus_usage_w1_3_with_churn_prevented,True,False,park_only
membership_plus_usage_w1_3_without_churn_prevented,True,False,park_only
membership_plus_usage_w1_4_with_churn_prevented,True,False,park_only
membership_plus_usage_w1_4_without_churn_prevented,True,False,park_only
membership_row_id,True,False,park_only
metadata_covered_watch_ratio,True,False,park_only
movie_per_active_day,True,True,both
movie_title,True,False,park_only
new_movie_in_180d_ratio,True,True,both
new_movie_in_365d_ratio,True,True,both
new_movie_in_90d_ratio,True,True,both
no_forbidden_features,True,False,park_only
old_movie_ratio(5y),True,False,park_only
old_movie_ratio_5y,True,True,both
only_week1_flag,True,False,park_only
other_ratio,True,True,both
payment_device,True,False,park_only
payment_device_clean,True,False,park_only
payment_is_android,True,True,both
payment_is_ios,True,True,both
payment_is_mobile,True,True,both
payment_is_pc,True,True,both
premium_action_trial_risk,True,False,park_only
price,True,False,park_only
price_num,True,False,park_only
product_code,True,False,park_only
promo0,False,True,PUBLIC_only
promo1,False,True,PUBLIC_only
promo2_family_lifestyle_candidate,True,False,park_only
promo_x_1screen,True,False,park_only
promo_x_2screen,True,False,park_only
promo_x_4screen,True,False,park_only
rating_dur_국민학생관람불가,True,False,park_only
rating_ratio_12세,True,False,park_only
rating_ratio_15세,True,False,park_only
rating_ratio_7세,True,False,park_only
rating_ratio_국민학생관람불가,True,False,park_only
rating_ratio_전체,True,False,park_only
rating_ratio_청불,True,False,park_only
recency,True,True,both
reduced_structural_redundancy,True,False,park_only
reg_date,True,False,park_only
reg_date_parsed,True,False,park_only
reg_hour,True,False,park_only
reg_hour_afternoon,True,True,both
reg_hour_evening,True,True,both
reg_hour_morning,True,True,both
reg_hour_night,True,True,both
reg_is_weekend,True,True,both
retention_w2_ratio,True,True,both
retention_w3_ratio,True,True,both
romance_ratio,True,True,both
screen_1_flag,True,False,park_only
screen_2_flag,True,False,park_only
screen_4_flag,True,False,park_only
sf_fantasy_ratio,True,True,both
stable_2screen_active,True,False,park_only
std_watch_time(min),True,False,park_only
std_watch_time_min,True,True,both
subscription_days,True,False,park_only
tag_dur_코미디,True,False,park_only
tag_ratio_SF_판타지,True,False,park_only
tag_ratio_가족,True,False,park_only
tag_ratio_공포,True,False,park_only
tag_ratio_기타,True,False,park_only
tag_ratio_다큐_교양,True,False,park_only
tag_ratio_드라마,True,False,park_only
tag_ratio_로맨스,True,False,park_only
tag_ratio_모험_어드벤처,True,False,park_only
tag_ratio_스릴러_범죄,True,False,park_only
tag_ratio_애니메이션_키즈,True,False,park_only
tag_ratio_액션,True,False,park_only
tag_ratio_전쟁_재난,True,False,park_only
tag_ratio_코미디,True,False,park_only
thriller_crime_ratio,True,True,both
top_decile_lift,True,False,park_only
total_sessions,True,False,park_only
total_watch_count,True,True,both
total_watch_time,True,False,park_only
total_watch_time(min),True,False,park_only
total_watch_time_min,True,True,both
unique_contents,True,False,park_only
unique_days,True,False,park_only
unique_movie,True,True,both
usage_w1_3_only,True,False,park_only
usage_w1_4_only,True,False,park_only
w1_1_avg_ott_release_month_weighted,True,False,park_only
w1_1_avg_watch_time_per_session,True,False,park_only
w1_1_content_has_watch_obs,True,False,park_only
w1_1_genre_covered_watch_ratio,True,False,park_only
w1_1_genre_covered_watch_time,True,False,park_only
w1_1_genre_entropy,True,False,park_only
w1_1_genre_missing_watch_ratio,True,False,park_only
w1_1_genre_missing_watch_time,True,False,park_only
w1_1_genre_ratio_action_adventure,True,False,park_only
w1_1_genre_ratio_animation_family,True,False,park_only
w1_1_genre_ratio_comedy,True,False,park_only
w1_1_genre_ratio_documentary,True,False,park_only
w1_1_genre_ratio_drama,True,False,park_only
w1_1_genre_ratio_historical_war,True,False,park_only
w1_1_genre_ratio_horror,True,False,park_only
w1_1_genre_ratio_other,True,False,park_only
w1_1_genre_ratio_romance,True,False,park_only
w1_1_genre_ratio_sf_fantasy,True,False,park_only
w1_1_genre_ratio_thriller_crime,True,False,park_only
w1_1_genre_session_count_action_adventure,True,False,park_only
w1_1_genre_session_count_animation_family,True,False,park_only
w1_1_genre_session_count_comedy,True,False,park_only
w1_1_genre_session_count_documentary,True,False,park_only
w1_1_genre_session_count_drama,True,False,park_only
w1_1_genre_session_count_historical_war,True,False,park_only
w1_1_genre_session_count_horror,True,False,park_only
w1_1_genre_session_count_other,True,False,park_only
w1_1_genre_session_count_romance,True,False,park_only
w1_1_genre_session_count_sf_fantasy,True,False,park_only
w1_1_genre_session_count_thriller_crime,True,False,park_only
w1_1_genre_unique_count,True,False,park_only
w1_1_genre_watch_time_action_adventure,True,False,park_only
w1_1_genre_watch_time_animation_family,True,False,park_only
w1_1_genre_watch_time_comedy,True,False,park_only
w1_1_genre_watch_time_documentary,True,False,park_only
w1_1_genre_watch_time_drama,True,False,park_only
w1_1_genre_watch_time_historical_war,True,False,park_only
w1_1_genre_watch_time_horror,True,False,park_only
w1_1_genre_watch_time_other,True,False,park_only
w1_1_genre_watch_time_romance,True,False,park_only
w1_1_genre_watch_time_sf_fantasy,True,False,park_only
w1_1_genre_watch_time_thriller_crime,True,False,park_only
w1_1_has_watch_obs,True,False,park_only
w1_1_max_daily_watch_time,True,False,park_only
w1_1_max_day_share,True,False,park_only
w1_1_old_content_watch_ratio,True,False,park_only
w1_1_one_minute_watch_count,True,False,park_only
w1_1_recent_content_watch_ratio,True,False,park_only
w1_1_release_month_covered_watch_ratio,True,False,park_only
w1_1_short_watch_count_le5,True,False,park_only
w1_1_short_watch_time_le5,True,False,park_only
w1_1_top_genre,True,False,park_only
w1_1_top_genre_watch_ratio,True,False,park_only
w1_1_top_genre_watch_time,True,False,park_only
w1_1_total_sessions,True,False,park_only
w1_1_total_watch_time,True,False,park_only
w1_1_unique_contents,True,False,park_only
w1_1_unique_watch_days,True,False,park_only
w1_1_week1_ratio,True,False,park_only
w1_1_week1_sessions,True,False,park_only
w1_1_week1_watch_time,True,False,park_only
w1_2_avg_ott_release_month_weighted,True,False,park_only
w1_2_avg_watch_time_per_session,True,False,park_only
w1_2_content_has_watch_obs,True,False,park_only
w1_2_genre_covered_watch_ratio,True,False,park_only
w1_2_genre_covered_watch_time,True,False,park_only
w1_2_genre_entropy,True,False,park_only
w1_2_genre_missing_watch_ratio,True,False,park_only
w1_2_genre_missing_watch_time,True,False,park_only
w1_2_genre_ratio_action_adventure,True,False,park_only
w1_2_genre_ratio_animation_family,True,False,park_only
w1_2_genre_ratio_comedy,True,False,park_only
w1_2_genre_ratio_documentary,True,False,park_only
w1_2_genre_ratio_drama,True,False,park_only
w1_2_genre_ratio_historical_war,True,False,park_only
w1_2_genre_ratio_horror,True,False,park_only
w1_2_genre_ratio_other,True,False,park_only
w1_2_genre_ratio_romance,True,False,park_only
w1_2_genre_ratio_sf_fantasy,True,False,park_only
w1_2_genre_ratio_thriller_crime,True,False,park_only
w1_2_genre_session_count_action_adventure,True,False,park_only
w1_2_genre_session_count_animation_family,True,False,park_only
w1_2_genre_session_count_comedy,True,False,park_only
w1_2_genre_session_count_documentary,True,False,park_only
w1_2_genre_session_count_drama,True,False,park_only
w1_2_genre_session_count_historical_war,True,False,park_only
w1_2_genre_session_count_horror,True,False,park_only
w1_2_genre_session_count_other,True,False,park_only
w1_2_genre_session_count_romance,True,False,park_only
w1_2_genre_session_count_sf_fantasy,True,False,park_only
w1_2_genre_session_count_thriller_crime,True,False,park_only
w1_2_genre_unique_count,True,False,park_only
w1_2_genre_watch_time_action_adventure,True,False,park_only
w1_2_genre_watch_time_animation_family,True,False,park_only
w1_2_genre_watch_time_comedy,True,False,park_only
w1_2_genre_watch_time_documentary,True,False,park_only
w1_2_genre_watch_time_drama,True,False,park_only
w1_2_genre_watch_time_historical_war,True,False,park_only
w1_2_genre_watch_time_horror,True,False,park_only
w1_2_genre_watch_time_other,True,False,park_only
w1_2_genre_watch_time_romance,True,False,park_only
w1_2_genre_watch_time_sf_fantasy,True,False,park_only
w1_2_genre_watch_time_thriller_crime,True,False,park_only
w1_2_has_watch_obs,True,False,park_only
w1_2_max_daily_watch_time,True,False,park_only
w1_2_max_day_share,True,False,park_only
w1_2_old_content_watch_ratio,True,False,park_only
w1_2_one_minute_watch_count,True,False,park_only
w1_2_recent_content_watch_ratio,True,False,park_only
w1_2_release_month_covered_watch_ratio,True,False,park_only
w1_2_short_watch_count_le5,True,False,park_only
w1_2_short_watch_time_le5,True,False,park_only
w1_2_top_genre,True,False,park_only
w1_2_top_genre_watch_ratio,True,False,park_only
w1_2_top_genre_watch_time,True,False,park_only
w1_2_total_sessions,True,False,park_only
w1_2_total_watch_time,True,False,park_only
w1_2_unique_contents,True,False,park_only
w1_2_unique_watch_days,True,False,park_only
w1_2_w2_minus_w1_watch_time,True,False,park_only
w1_2_week1_ratio,True,False,park_only
w1_2_week1_sessions,True,False,park_only
w1_2_week1_watch_time,True,False,park_only
w1_2_week2_ratio,True,False,park_only
w1_2_week2_sessions,True,False,park_only
w1_2_week2_watch_time,True,False,park_only
w1_3_active_span_days,True,False,park_only
w1_3_avg_ott_release_month_weighted,True,False,park_only
