side,relative_path,file_name,extension,size_bytes,modified_time,sha256,file_role,purpose,row_count,column_count,feature_like_column_count,has_USER_KEY,has_is_repurchase,has_is_promotion,has_repurchase_score,has_churn_risk,columns_preview
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\12_hotfix_summary.md,12_hotfix_summary.md,.md,3360,2026-05-21T17:37:37,f1fec7b5e549800b4001c045ceec94259c9484e59ac2fa2dcb750a0aac58afd9,md,model_result,,,,,,,,,
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\12_is_churn_prevented_policy_correction.csv,12_is_churn_prevented_policy_correction.csv,,,,66d0725d919afcd28c6925ccc551ef90da79600d2311c120a7235c1ba371a132,,model_result,1,9,9,False,False,False,False,False,feature_name; previous_status; corrected_status; user_confirmed_meaning; allowed_as_model_feature; interpretation_caveat; forbidden_wording; safe_wording; notes
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\12_metric_interpretation_correction.csv,12_metric_interpretation_correction.csv,,,,b75c090c058ccd2e1c8bb4cc8d04662b472e75fd4e06a6cc420a29db11d52603,,model_result,4,11,11,False,False,False,False,False,model_family; scope; roc_auc; pr_auc; primary_metric; secondary_metric; suspicious_high_auc_flag_before; suspicious_high_auc_flag_after; correction_reason; interpretation_status; notes
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\12_oof_readiness_user_confirmed_update.csv,12_oof_readiness_user_confirmed_update.csv,,,,f6a49e78fa6d22e41e1fb734589bb28b31ed0e35181f5ed8e0fa26d11aff987b,,model_result,10,6,6,False,False,False,False,False,decision_item; previous_status; updated_status; evidence; user_approval_required; notes
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\12_split_policy_usernum_correction.csv,12_split_policy_usernum_correction.csv,,,,a82319ba766abccbb929090440198d450087598f486894f697b8d6f52902353f,,model_result,6,7,7,False,False,False,False,False,split_policy_item; previous_caveat; corrected_policy; evidence_available; status_after_user_confirmation; required_followup; notes
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\README.md,README.md,.md,3802,2026-05-21T17:37:37,4fea68385e768a1a83c7189c031afd28917413c76c15537d92054f272c5e5c09,md,model_result,,,,,,,,,
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_gb_lr_high_risk_overlap.csv,15_gb_lr_high_risk_overlap.csv,,,,f3906ad29e1cbb45f0f0d0e79574b59dddb5574cb25d676225aabd5cd82525c3,,model_result,6,12,12,False,False,False,False,False,promo_scope; threshold; threshold_type; gb_high_risk_count; lr_high_risk_count; both_high_risk_count; gb_only_high_risk_count; lr_only_high_risk_count; neither_high_risk_count; jaccard_overlap; interpretation; notes
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_model_config_extraction.csv,15_model_config_extraction.csv,,,,55da1d0984a02fa084cbd95f608f4bd68aa8c81103b71bc960f839deace6e1ed,,model_result,4,9,9,False,False,False,False,False,model_family; scope; source_final_result; params_found; params_parse_status; params_used; fallback_used; status; notes
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_metric_summary.csv,15_oof_metric_summary.csv,,,,b7ab83f13f520042506d38cb96983bd7c05d4a7f54ca9523ba8d8528b142a5bf,,model_result,4,14,14,False,False,False,False,False,promo_scope; model_family; rows; positives; positive_rate; roc_auc; pr_auc; f1_threshold_0_5; precision_threshold_0_5; recall_threshold_0_5; brier_score; primary_metric; metric_status; notes
PUBLIC,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\gradient_boosting_promo0\final_result.csv,final_result.csv,,,,5a92d7f0bca048d633bd5b945ee044c946186082031825de68da32cfeb65a14e,,model_result,1,32,32,False,False,False,False,False,model; promo; data_file; n_rows; n_features; n_trials; best_trial; gap_penalty; best_objective_value; best_valid_auc; best_train_auc; best_gap; overfit; test_roc_auc; test_pr_auc; test_f1; test_precision; test_recall; final_train_auc; final_gap_proxy; selection_note; cv_method; group_leakage_caveat; raw_retention_removed; log_retention_used; param_n_estimators; param_learning_rate; param_max_depth; param_min_samples_leaf; param_min_samples_split; param_subsample; param_max_features
PUBLIC,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\gradient_boosting_promo1\final_result.csv,final_result.csv,,,,cb67141fe1c0ef0482cb0b6f40764c862b044f8de8ff069dc8994da7b41c5210,,model_result,1,32,32,False,False,False,False,False,model; promo; data_file; n_rows; n_features; n_trials; best_trial; gap_penalty; best_objective_value; best_valid_auc; best_train_auc; best_gap; overfit; test_roc_auc; test_pr_auc; test_f1; test_precision; test_recall; final_train_auc; final_gap_proxy; selection_note; cv_method; group_leakage_caveat; raw_retention_removed; log_retention_used; param_n_estimators; param_learning_rate; param_max_depth; param_min_samples_leaf; param_min_samples_split; param_subsample; param_max_features
PUBLIC,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo0\final_result.csv,final_result.csv,,,,0e16f6e79fd3b3adc3587e425323e315ad522041c85bfbd0d1c9a1cd24f34999,,model_result,1,27,27,False,False,False,False,False,model; promo; data_file; n_rows; n_features; n_trials; best_trial; gap_penalty; best_objective_value; best_valid_auc; best_train_auc; best_gap; overfit; test_roc_auc; test_pr_auc; test_f1; test_precision; test_recall; final_train_auc; final_gap_proxy; selection_note; cv_method; group_leakage_caveat; raw_retention_removed; log_retention_used; param_C; param_class_weight
PUBLIC,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo1\final_result.csv,final_result.csv,,,,ee1b84fb352cfcd91c5beb75c39fed692e9f29ebca3e983a31b51a07675d9bcf,,model_result,1,27,27,False,False,False,False,False,model; promo; data_file; n_rows; n_features; n_trials; best_trial; gap_penalty; best_objective_value; best_valid_auc; best_train_auc; best_gap; overfit; test_roc_auc; test_pr_auc; test_f1; test_precision; test_recall; final_train_auc; final_gap_proxy; selection_note; cv_method; group_leakage_caveat; raw_retention_removed; log_retention_used; param_C; param_class_weight
