side,purpose,relative_path,file_name,row_count,column_count,feature_like_column_count,has_USER_KEY,has_is_repurchase,has_is_promotion,has_repurchase_score,has_churn_risk,columns_preview,sha256,extension,size_bytes,modified_time,file_role
PUBLIC,segmentation,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_demographic_hotfix_summary.csv,17_demographic_hotfix_summary.csv,11,5,5,False,False,False,False,False,check_item; status; evidence; interpretation; notes,5162a517df757e9ea34628b205289c0eb2cf35fe596870e815a573ced39900c1,,,,
PUBLIC,segmentation,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_demographic_source_column_audit.csv,17_demographic_source_column_audit.csv,27,10,10,False,False,False,False,False,source_file; column_name; exists; dtype; non_null_count; unique_count; sample_values; use_for_profile; use_for_rule; notes,153ce3e0caec0b12afdf757916a045b691b8c425983edcb1a4f07ccc21d3d0f1,,,,
PUBLIC,segmentation,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_segment_action_personalization_matrix_demographic_hotfix.csv,17_segment_action_personalization_matrix_demographic_hotfix.csv,60,12,12,False,False,False,False,False,promo_scope; revised_segment_family; demographic_modifier; observed_demographic_pattern; observed_behavior_difference; recommended_message_direction; recommended_channel_or_touchpoint; recommended_content_strategy; evidence_file; evidence_strength; risk_of_overinterpretation; final_status,c09b1702674735706afbdc0b3e16b0a5b0d887ad80e862d376dd61e5908f7a3b,,,,
PUBLIC,segmentation,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_other_needs_review_decomposition.csv,17_other_needs_review_decomposition.csv,20,12,12,False,False,False,False,False,promo_scope; subgroup_item; subgroup_value; row_count; share_within_other; actual_repurchase_rate; mean_gb_churn_risk; gb_top10_share; gb_top20_share; top_flags_present; possible_future_rule; caveat,1acc47fce156dda5a7836123ac0b2d9adeaaaefd73500ff40e4d2e2b86dba3ad,,,,
PUBLIC,segmentation,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,17_representative_segment_assignment_hotfix.csv,23097,13,12,False,True,False,False,False,row_id; promo_scope; is_repurchase; representative_segment_id; provisional_label; assignment_priority_order; gb_churn_risk_score_oof; lr_churn_risk_score_oof; gb_risk_percentile; lr_risk_percentile; key_flags_used_for_assignment; hotfix_assignment_changed; previous_representative_segment_id,6dc256ba9e91973ecb5136b85b1b02ca8826ffad1397bf51821df11925df59a7,,,,
PUBLIC,segmentation,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_rules_hotfix.csv,17_representative_segment_rules_hotfix.csv,14,12,12,False,False,False,False,False,segment_id; promo_scope; priority_order; rule_expression; required_flags; risk_condition; behavior_condition; provisional_label; business_hypothesis; caveat; user_approval_required; hotfix_change_reason,a63d37facd71272c594cc4b07d4a774d4b0c86225eb7d63d4e05433000830d21,,,,
PUBLIC,segmentation,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_action_personalization_matrix_hotfix.csv,17_segment_action_personalization_matrix_hotfix.csv,14,13,13,False,False,False,False,False,promo_scope; representative_segment_id; provisional_label; demographic_modifier; observed_demographic_pattern; observed_behavior_difference; recommended_message_direction; recommended_channel_or_touchpoint; recommended_content_strategy; evidence_file; evidence_strength; risk_of_overinterpretation; final_status,66bd02e66be82f1e3fcd5419619f4cff4de56d35a44ac92e8e3b7b000fd18303,,,,
PUBLIC,segmentation,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_summary_hotfix.csv,17_segment_summary_hotfix.csv,14,19,19,False,False,False,False,False,promo_scope; representative_segment_id; provisional_label; row_count; row_share_within_scope; actual_repurchase_rate; actual_churn_rate; mean_gb_churn_risk; median_gb_churn_risk; mean_lr_churn_risk; median_lr_churn_risk; gb_top20_share; lr_top20_share; gb_lr_both_top20_share; dominant_flags; primary_behavior_interpretation; other_needs_review_flag; user_approval_required; caveat,2cb97fc1908754a863f48af4e88197f88d3cc5a103f0fb382f0946efc28f2114,,,,
PUBLIC,segmentation,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_other_needs_review_decomposition_quality_hotfix.csv,17_other_needs_review_decomposition_quality_hotfix.csv,10,16,16,False,False,False,False,False,promo_scope; other_subgroup; row_count; share_within_other; share_within_scope; actual_repurchase_rate; actual_churn_rate; mean_gb_churn_risk; median_gb_churn_risk; gb_top10_share; gb_top20_share; gb_top30_share; dominant_flags; possible_future_rule; representative_promotion_recommendation; caveat,c8f3d905702dd49fb0aa0a5a9af1b31ed59df2542642a7ec17841648d75af285,,,,
PUBLIC,segmentation,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,17_revised_representative_segment_proposal.csv,10,15,15,False,False,False,False,False,proposed_segment_family; promo_scope; proposed_rule_summary; estimated_row_count; estimated_share; source_segments_merged; retained_subsignals; actual_churn_rate; mean_gb_churn_risk; min_n_status; actionability_status; representative_status; business_rationale; caveat; user_approval_required,058b9e501299c6192288f43aba8083d75aa1b0eee83b5755d4994cb21f95df38,,,,
PUBLIC,segmentation,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,17_revised_segment_assignment_simulation.csv,23097,11,10,False,True,False,False,False,row_id; promo_scope; is_repurchase; previous_segment_id; revised_segment_family; revised_assignment_reason; gb_churn_risk_score_oof; lr_churn_risk_score_oof; key_flags; retained_subsignals; user_approval_required,852b8ef893f22cb78709cd46de7d467de6b1c77b50ab559c39886504b51b1e4b,,,,
