side,purpose,relative_path,file_name,row_count,column_count,feature_like_column_count,has_USER_KEY,has_is_repurchase,has_is_promotion,has_repurchase_score,has_churn_risk,columns_preview,sha256,extension,size_bytes,modified_time,file_role
park,AARRR_storyline,park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_AARRR_summary_by_feature_set.csv,07x_AARRR_summary_by_feature_set.csv,8,4,4,False,False,False,False,False,feature_set_name; AARRR_stage; feature_count; feature_list,786e86d742dbe4d6de2087b0cca687b006ea30830c8e6817cc43f04307e55895,,,,
park,AARRR_storyline,park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_caveat_handoff.csv,07x_caveat_handoff.csv,8,5,5,False,False,False,False,False,caveat_item; affected_features; feature_set_name; caveat_reason; handoff_action,0c4b80b6af997cc05bd622138b7cdb1afe7da170a5a6e4b130f83739af305bb2,,,,
park,AARRR_storyline,park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_conservative_AARRR_mapping.csv,07x_conservative_AARRR_mapping.csv,24,16,16,False,False,False,False,False,feature_set_name; original_feature_name; safe_model_feature_name; role; use_as_feature; AARRR_stage; feature_family; timing_family; source_table_or_source; caveat_flag; caveat_reason; downstream_allowed_scope; notes; mapping_basis; mapping_confidence; needs_user_review,493c063e0970ba737ede3d59acf896c1978f92c2b9046456df3994621751d352,,,,
park,AARRR_storyline,park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_downstream_EDA_handoff.csv,07x_downstream_EDA_handoff.csv,6,7,7,False,False,False,False,False,downstream_step; feature_set_name; comparison_design; recommended_feature_group; candidate_features; excluded_or_guardrail_features; notes,7bab3ba8b4b4a41fc13427bde783f9acc52d0229500d73dd4330d8ba6ebaa584,,,,
park,AARRR_storyline,park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_expanded_AARRR_mapping.csv,07x_expanded_AARRR_mapping.csv,82,16,16,False,False,False,False,False,feature_set_name; original_feature_name; safe_model_feature_name; role; use_as_feature; AARRR_stage; feature_family; timing_family; source_table_or_source; caveat_flag; caveat_reason; downstream_allowed_scope; notes; mapping_basis; mapping_confidence; needs_user_review,bc043c95d1abdc1e8809a69d6de142337870c4a93b81fceaf6935930d92faa7d,,,,
park,AARRR_storyline,park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_feature_mapping_master.csv,07x_feature_mapping_master.csv,106,16,16,False,False,False,False,False,feature_set_name; original_feature_name; safe_model_feature_name; role; use_as_feature; AARRR_stage; feature_family; timing_family; source_table_or_source; caveat_flag; caveat_reason; downstream_allowed_scope; notes; mapping_basis; mapping_confidence; needs_user_review,bf645d4750d45e8787e8ab79112ae890c580f9758802e329b66fe26a2caa06b7,,,,
park,AARRR_storyline,park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_final_checks.csv,07x_final_checks.csv,26,3,3,False,False,False,False,False,check; status; detail,3a479589d7f35b2b7a8d200dbc1a3febfd3e6bca6ca995edf8b955f8b1cff62b,,,,
park,AARRR_storyline,park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_preflight_input_validation.csv,07x_preflight_input_validation.csv,14,4,4,False,False,False,False,False,check; status; detail; stop_reason,d087a0918cafb48a632031a058d74572961db2b7978542ffbdaf51dc9542d6d5,,,,
park,AARRR_storyline,park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_review_zip_inventory.csv,07x_review_zip_inventory.csv,13,4,4,False,False,False,False,False,required_item; exists; size; include_in_zip,df9bf0a155dadb9794d788fc1409c87d84194341791a107f80a88157ac435f7e,,,,
park,AARRR_storyline,park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_scope_policy_handoff.csv,07x_scope_policy_handoff.csv,8,7,7,False,False,False,False,False,scope; feature_set_name; allowed_feature_count; allowed_features; excluded_features; policy; policy_basis,f2535b9cc78645b748d1c5835ce2c37681ec9589640d29e1482362644f76f82f,,,,
