variable_name,in_master,in_v3_definition,exact_match,possible_semantic_master_match,name_risk_flags,recommended_safe_column_name
USER_KEY,True,False,False,,,USER_KEY
USER_NUM,True,False,False,,,USER_NUM
action_adventure_ratio,True,True,True,,,action_adventure_ratio
active_ratio,True,True,True,,,active_ratio
age,True,False,False,,,age
age_group,True,True,True,,,age_group
avg_daily_watch_time,True,True,True,,,avg_daily_watch_time
avg_gap_between_watch_days,True,True,True,,,avg_gap_between_watch_days
avg_gap_w1_watch_days,True,True,True,,,avg_gap_w1_watch_days
avg_gap_w2_watch_days,True,True,True,,,avg_gap_w2_watch_days
avg_gap_w3_watch_days,True,True,True,,,avg_gap_w3_watch_days
avg_release_year,True,True,True,,,avg_release_year
avg_rewatch_ratio,True,True,True,,,avg_rewatch_ratio
avg_watch_time,True,True,True,,,avg_watch_time
billing_method,True,False,False,,,billing_method
comedy_ratio,True,True,True,,,comedy_ratio
day_count_over_3times,True,True,True,,,day_count_over_3times
diff_between_w2_w1,True,True,True,,,diff_between_w2_w1
diff_between_w3_w1,True,True,True,,,diff_between_w3_w1
diff_between_w3_w2,True,True,True,,,diff_between_w3_w2
documentary_ratio,True,True,True,,,documentary_ratio
drama_ratio,True,True,True,,,drama_ratio
end_date,True,False,False,,,end_date
family_animation_ratio,True,True,True,,,family_animation_ratio
gender,True,False,False,,,gender
genre_diversity_count,True,True,True,,,genre_diversity_count
historical_war_ratio,True,True,True,,,historical_war_ratio
horror_ratio,True,True,True,,,horror_ratio
is_churn_prevented,True,True,True,,,is_churn_prevented
is_cold_start_3d,True,True,True,,,is_cold_start_3d
is_cold_start_7d,True,True,True,,,is_cold_start_7d
is_female,True,True,True,,,is_female
is_male,True,True,True,,,is_male
is_only_w1,True,True,True,,,is_only_w1
is_only_w2,True,True,True,,,is_only_w2
is_only_w3,True,True,True,,,is_only_w3
is_premium,True,True,True,,,is_premium
is_promotion,True,True,True,,,is_promotion
is_repurchase,True,True,True,,,is_repurchase
is_standard,True,True,True,,,is_standard
is_user_verified,True,True,True,,,is_user_verified
is_w1_over_50%,True,True,True,,contains_percent,is_w1_over_50pct
is_w2_over_50%,True,True,True,,contains_percent,is_w2_over_50pct
is_w3_over_50%,True,True,True,,contains_percent,is_w3_over_50pct
max_daily_sessions,True,True,True,,,max_daily_sessions
max_daily_watch_time,True,True,True,,,max_daily_watch_time
max_day_share,True,True,True,,,max_day_share
max_inactive_gap_days,True,True,True,,,max_inactive_gap_days
max_screen,True,False,False,,,max_screen
max_watch_time,True,True,True,,,max_watch_time
median_watch_time,True,True,True,,,median_watch_time
movie_per_active_day,True,True,True,,,movie_per_active_day
new_movie_in_180d_ratio,True,True,True,,,new_movie_in_180d_ratio
new_movie_in_365d_ratio,True,True,True,,,new_movie_in_365d_ratio
new_movie_in_90d_ratio,True,True,True,,,new_movie_in_90d_ratio
old_movie_ratio(5y),True,True,True,,contains_parentheses,old_movie_ratio_5y
other_ratio,True,True,True,,,other_ratio
payment_device,True,False,False,,,payment_device
payment_is_android,True,True,True,,,payment_is_android
payment_is_ios,True,True,True,,,payment_is_ios
payment_is_mobile,True,True,True,,,payment_is_mobile
payment_is_pc,True,True,True,,,payment_is_pc
price,True,False,False,,,price
product_code,True,False,False,,,product_code
recency,True,True,True,,,recency
reg_date,True,False,False,,,reg_date
reg_hour,True,False,False,,,reg_hour
reg_hour_afternoon,True,True,True,,,reg_hour_afternoon
reg_hour_evening,True,True,True,,,reg_hour_evening
reg_hour_morning,True,True,True,,,reg_hour_morning
reg_hour_night,True,True,True,,,reg_hour_night
reg_is_weekend,True,True,True,,,reg_is_weekend
retention_w2_ratio,True,True,True,,,retention_w2_ratio
retention_w3_ratio,True,True,True,,,retention_w3_ratio
romance_ratio,True,True,True,,,romance_ratio
sf_fantasy_ratio,True,True,True,,,sf_fantasy_ratio
std_watch_time,True,True,True,,,std_watch_time
thriller_crime_ratio,True,True,True,,,thriller_crime_ratio
total_watch_count,True,True,True,,,total_watch_count
total_watch_time,True,True,True,,,total_watch_time
unique_movie,True,True,True,,,unique_movie
w3_to_w1_ratio_capped,True,True,True,,,w3_to_w1_ratio_capped
watch_days,True,True,True,,,watch_days
watch_per_day,True,True,True,,,watch_per_day
watch_ratio_under_1m,True,True,True,,,watch_ratio_under_1m
watch_ratio_under_5m,True,True,True,,,watch_ratio_under_5m
watch_session_w1,True,True,True,,,watch_session_w1
watch_session_w2,True,True,True,,,watch_session_w2
watch_session_w3,True,True,True,,,watch_session_w3
watch_time_w1,True,True,True,,,watch_time_w1
watch_time_w2,True,True,True,,,watch_time_w2
watch_time_w3,True,True,True,,,watch_time_w3
weekend_watch_ratio,True,True,True,,,weekend_watch_ratio
