membership_row_id,w1_3_has_watch_obs,w1_3_no_watch_obs_flag,w1_3_total_watch_time,w1_3_total_sessions,w1_3_unique_contents,w1_3_unique_watch_days,w1_3_avg_watch_time_per_session,w1_3_sessions_per_active_day,w1_3_active_span_days,w1_3_first_watch_rel_day,w1_3_last_watch_rel_day,w1_3_week1_watch_time,w1_3_week2_watch_time,w1_3_week3_watch_time,w1_3_week1_sessions,w1_3_week2_sessions,w1_3_week3_sessions,w1_3_week1_ratio,w1_3_week2_ratio,w1_3_week3_ratio,w1_3_w2_minus_w1_watch_time,w1_3_w3_minus_w1_watch_time,w1_3_max_daily_watch_time,w1_3_max_day_share,w1_3_one_minute_watch_count,w1_3_short_watch_count_le5,w1_3_short_watch_time_le5
1,1,0,518.0,13,10,9,39.846154,1.444444,17,0,16,191.0,313.0,14.0,3,8,2,0.368726,0.604247,0.027027,122.0,-177.0,201.0,0.388031,4,5,6.0
2,1,0,4.0,3,3,2,1.333333,1.5,2,6,7,3.0,1.0,0.0,2,1,0,0.75,0.25,0.0,-2.0,-3.0,3.0,0.75,2,3,4.0
3,1,0,129.0,2,2,1,64.5,2.0,1,10,10,0.0,129.0,0.0,0,2,0,0.0,1.0,0.0,129.0,0.0,129.0,1.0,1,1,1.0
4,1,0,205.0,3,3,3,68.333333,1.0,14,4,17,67.0,0.0,138.0,1,0,2,0.326829,0.0,0.673171,-67.0,71.0,106.0,0.517073,0,0,0.0
5,0,1,0.0,0,0,0,0,0,0,,,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0
6,1,0,492.0,8,6,5,61.5,1.6,12,7,18,0.0,214.0,278.0,0,5,3,0.0,0.434959,0.565041,214.0,278.0,235.0,0.477642,1,1,1.0
7,1,0,99.0,2,1,1,49.5,2.0,1,4,4,99.0,0.0,0.0,2,0,0,1.0,0.0,0.0,-99.0,-99.0,99.0,1.0,0,0,0.0
8,0,1,0.0,0,0,0,0,0,0,,,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0
9,1,0,276.0,22,20,8,12.545455,2.75,17,0,16,26.0,80.0,170.0,3,8,11,0.094203,0.289855,0.615942,54.0,144.0,106.0,0.384058,8,14,26.0
10,1,0,170.0,4,1,2,42.5,2.0,2,12,13,0.0,170.0,0.0,0,4,0,0.0,1.0,0.0,170.0,0.0,100.0,0.588235,0,0,0.0
11,1,0,954.0,18,14,5,53.0,3.6,8,7,14,0.0,902.0,52.0,0,16,2,0.0,0.945493,0.054507,902.0,52.0,795.0,0.833333,2,5,12.0
12,1,0,187.0,5,5,4,37.4,1.25,8,3,10,22.0,165.0,0.0,3,2,0,0.117647,0.882353,0.0,143.0,-22.0,139.0,0.743316,1,2,6.0
13,1,0,502.0,5,4,3,100.4,1.666667,9,5,13,392.0,110.0,0.0,4,1,0,0.780876,0.219124,0.0,-282.0,-392.0,355.0,0.707171,0,1,2.0
14,1,0,275.0,4,3,2,68.75,2.0,2,12,13,0.0,275.0,0.0,0,4,0,0.0,1.0,0.0,275.0,0.0,152.0,0.552727,0,0,0.0
15,1,0,771.0,14,9,4,55.071429,3.5,4,6,9,333.0,438.0,0.0,6,8,0,0.431907,0.568093,0.0,105.0,-333.0,333.0,0.431907,0,1,5.0
16,1,0,19.0,3,3,2,6.333333,1.5,9,5,13,1.0,18.0,0.0,1,2,0,0.052632,0.947368,0.0,17.0,-1.0,18.0,0.947368,1,2,3.0
17,1,0,326.0,5,4,4,65.2,1.25,15,5,19,50.0,38.0,238.0,1,1,3,0.153374,0.116564,0.730061,-12.0,188.0,136.0,0.417178,0,0,0.0
18,1,0,1018.0,24,16,10,42.416667,2.4,14,7,20,0.0,979.0,39.0,0,19,5,0.0,0.96169,0.03831,979.0,39.0,249.0,0.244597,3,8,18.0
19,1,0,333.0,8,5,8,41.625,1.0,20,0,19,119.0,145.0,69.0,3,3,2,0.357357,0.435435,0.207207,26.0,-50.0,81.0,0.243243,0,1,2.0
20,1,0,100.0,9,8,3,11.111111,3.0,19,0,18,94.0,0.0,6.0,8,0,1,0.94,0.0,0.06,-94.0,-88.0,71.0,0.71,0,0,0.0
21,0,1,0.0,0,0,0,0,0,0,,,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0
22,1,0,125.0,3,2,2,41.666667,1.5,8,7,14,0.0,97.0,28.0,0,1,2,0.0,0.776,0.224,97.0,28.0,97.0,0.776,1,1,1.0
23,1,0,4.0,1,1,1,4.0,1.0,1,8,8,0.0,4.0,0.0,0,1,0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,0,1,4.0
24,1,0,120.0,6,6,3,20.0,2.0,10,9,18,0.0,98.0,22.0,0,2,4,0.0,0.816667,0.183333,98.0,22.0,97.0,0.808333,2,4,10.0
25,1,0,207.0,7,5,5,29.571429,1.4,16,5,20,40.0,70.0,97.0,2,3,2,0.193237,0.338164,0.468599,30.0,57.0,56.0,0.270531,2,2,2.0
26,1,0,12.0,1,1,1,12.0,1.0,1,15,15,0.0,0.0,12.0,0,0,1,0.0,0.0,1.0,0.0,12.0,12.0,1.0,0,0,0.0
27,1,0,40.0,2,1,2,20.0,1.0,2,8,9,0.0,40.0,0.0,0,2,0,0.0,1.0,0.0,40.0,0.0,39.0,0.975,1,1,1.0
28,1,0,475.0,9,7,6,52.777778,1.5,17,1,17,228.0,1.0,246.0,5,1,3,0.48,0.002105,0.517895,-227.0,18.0,180.0,0.378947,3,4,5.0
29,1,0,241.0,3,3,3,80.333333,1.0,13,7,19,0.0,87.0,154.0,0,1,2,0.0,0.360996,0.639004,87.0,154.0,115.0,0.477178,0,0,0.0
30,1,0,156.0,2,1,1,78.0,2.0,1,0,0,156.0,0.0,0.0,2,0,0,1.0,0.0,0.0,-156.0,-156.0,156.0,1.0,0,1,5.0
31,0,1,0.0,0,0,0,0,0,0,,,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0
