membership_row_id,has_usage_feature,total_watch_time,total_sessions,unique_contents,unique_days,first_watch_rel_day,last_watch_rel_day,avg_session_time,median_session_time,min_session_time,max_session_time,std_session_time,active_span_days,days_since_first_watch_from_reg,days_since_last_watch_to_obs_end,watch_days_ratio,sessions_per_active_day,contents_per_active_day,avg_watch_time_per_content,max_daily_watch_time,avg_daily_watch_time,median_daily_watch_time,std_daily_watch_time,max_daily_sessions,avg_gap_between_watch_days,max_gap_between_watch_days,max_inactive_gap_days,start_inactive_days,end_inactive_days,week1_watch_time,week2_watch_time,week3_watch_time,week1_sessions,week2_sessions,week3_sessions,week1_unique_contents,week2_unique_contents,week3_unique_contents,week1_active_days,week2_active_days,week3_active_days,week1_ratio,week2_ratio,week3_ratio,front_loaded_ratio,late_ratio,w2_minus_w1_watch_time,w3_minus_w2_watch_time,w3_minus_w1_watch_time,w3_to_w1_ratio,w3_to_w1_ratio_capped,daily_watch_slope,week_count_with_watch,front_loaded_flag,late_binge_flag,only_week1_flag,only_week3_flag,no_week1_flag,no_week3_flag,steady_3week_watch_flag,usage_trend_label,max_day_share,one_day_binge_flag
0,1,518,13,10,9,0,16,39.84615384615385,13.0,1,200,57.93652583337238,17,0,4,0.42857142857142855,1.4444444444444444,1.1111111111111112,51.8,201,57.55555555555556,48.0,63.16072971220153,2,2.0,5.0,4.0,0.0,4.0,191,313,14,3,8,2,2,8,2,3,5,1,0.3687258687258687,0.6042471042471043,0.02702702702702703,0.3687258687258687,0.02702702702702703,122,-299,-177,0.07329842931937172,0.07329842931937172,-12.642857142857142,3,0,0,0,0,0,0,1,front_decreasing,0.38803088803088803,0
1,1,4,3,3,2,6,7,1.3333333333333333,1.0,1,2,0.5773502691896257,2,6,13,0.09523809523809523,1.5,1.5,1.3333333333333333,3,2.0,2.0,1.4142135623730951,2,1.0,1.0,13.0,6.0,13.0,3,1,0,2,1,0,2,1,0,1,1,0,0.75,0.25,0.0,0.75,0.0,-2,-1,-3,0.0,0.0,-0.21428571428571427,2,1,0,0,0,0,1,0,mixed_or_low_activity,0.75,0
4,1,129,2,2,1,10,10,64.5,64.5,1,128,89.80256121069154,1,10,10,0.047619047619047616,2.0,2.0,64.5,129,129.0,129.0,0.0,2,0.0,0.0,10.0,10.0,10.0,0,129,0,0,2,0,0,2,0,0,1,0,0.0,1.0,0.0,0.0,0.0,129,-129,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,mixed_or_low_activity,1.0,1
7,1,99,2,1,1,4,4,49.5,49.5,15,84,48.79036790187178,1,4,16,0.047619047619047616,2.0,1.0,99.0,99,99.0,99.0,0.0,2,0.0,0.0,16.0,4.0,16.0,99,0,0,2,0,0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,-99,0,-99,0.0,0.0,-7.071428571428571,1,1,0,1,0,0,1,0,only_week1,1.0,1
9,1,276,22,20,8,0,16,12.545454545454545,2.0,1,106,24.84950372739535,17,0,4,0.38095238095238093,2.75,2.5,13.8,106,34.5,19.5,37.282703764614496,10,2.2857142857142856,5.0,4.0,0.0,4.0,26,80,170,3,8,11,3,8,9,2,4,2,0.09420289855072464,0.2898550724637681,0.6159420289855072,0.09420289855072464,0.6159420289855072,54,90,144,6.538461538461538,6.538461538461538,10.285714285714286,3,0,1,0,0,0,0,1,late_increasing,0.38405797101449274,0
10,1,196,3,3,2,4,5,65.33333333333333,68.0,36,92,28.095076674273972,2,4,15,0.09523809523809523,1.5,1.5,65.33333333333333,128,98.0,98.0,42.42640687119285,2,1.0,1.0,15.0,4.0,15.0,196,0,0,3,0,0,3,0,0,2,0,0,1.0,0.0,0.0,1.0,0.0,-196,0,-196,0.0,0.0,-14.0,1,1,0,1,0,0,1,0,only_week1,0.6530612244897959,0
11,1,954,18,14,5,7,14,53.0,26.5,1,146,54.638921701529604,8,7,6,0.23809523809523808,3.6,2.8,68.14285714285714,795,190.8,52.0,340.05176076591636,11,1.75,4.0,7.0,7.0,6.0,0,902,52,0,16,2,0,14,1,0,4,1,0.0,0.9454926624737946,0.05450733752620545,0.0,0.05450733752620545,902,-850,52,,999.0,3.7142857142857144,2,0,0,0,0,1,0,0,late_increasing,0.8333333333333334,1
12,1,187,5,5,4,3,10,37.4,16.0,1,139,57.63072097414711,8,3,10,0.19047619047619047,1.25,1.25,37.4,139,46.75,21.0,62.039637866985224,2,2.3333333333333335,4.0,10.0,3.0,10.0,22,165,0,3,2,0,3,2,0,2,2,0,0.11764705882352941,0.8823529411764706,0.0,0.11764705882352941,0.0,143,-165,-22,0.0,0.0,-1.5714285714285714,2,0,0,0,0,0,1,0,mixed_or_low_activity,0.7433155080213903,0
13,1,502,5,4,3,5,13,100.4,110.0,2,200,81.36522598751877,9,5,7,0.14285714285714285,1.6666666666666667,1.3333333333333333,125.5,355,167.33333333333334,110.0,166.5723066218792,3,4.0,7.0,7.0,5.0,7.0,392,110,0,4,1,0,3,1,0,2,1,0,0.7808764940239044,0.21912350597609562,0.0,0.7808764940239044,0.0,-282,-110,-392,0.0,0.0,-28.0,2,1,0,0,0,0,1,0,front_decreasing,0.7071713147410359,0
14,1,275,4,3,2,12,13,68.75,61.5,19,133,57.23853597009623,2,12,7,0.09523809523809523,2.0,1.5,91.66666666666667,152,137.5,137.5,20.506096654409877,2,1.0,1.0,12.0,12.0,7.0,0,275,0,0,4,0,0,3,0,0,2,0,0.0,1.0,0.0,0.0,0.0,275,-275,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,mixed_or_low_activity,0.5527272727272727,0
