membership_row_id,is_repurchase,target_repurchase,repurchase_score,churn_risk_score,risk_band,hierarchical_segment,hierarchical_rank,seg_top_decile_high_churn_risk,seg_low_or_no_early_engagement,seg_late_heavy_week3_intensive,seg_delayed_start,seg_early_routine_stable,seg_week2_surge_users,seg_genre_affinity_thriller_crime,seg_genre_affinity_animation_family,seg_genre_affinity_drama,seg_genre_affinity_action_adventure,seg_high_price_or_promotion_sensitive
1,Y,1,0.8395806616795892,0.16041933832041078,risk_30_60,genre_affinity_thriller_crime,5,0,0,0,0,0,1,1,1,1,1,1
2,N,0,0.13529036578931697,0.864709634210683,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,0,0,0,0,1,1,1
3,N,0,0.4010593183367304,0.5989406816632696,risk_10_30,low_or_no_early_engagement,2,0,1,0,1,0,1,1,0,0,0,1
4,Y,1,0.8984577916107955,0.10154220838920447,bottom_40_lowest_risk,genre_affinity_thriller_crime,5,0,0,0,0,0,0,1,0,0,0,1
5,Y,1,0.7564528015385467,0.24354719846145334,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
6,Y,1,0.8833886190816382,0.11661138091836176,risk_30_60,late_heavy_week3_intensive,3,0,0,1,0,0,1,1,0,0,0,1
7,N,0,0.16657721499494024,0.8334227850050597,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,1,0,1,0,0,0,1
8,N,0,0.7282407154620013,0.2717592845379987,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,0
9,Y,1,0.9761379605814932,0.023862039418506842,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,0,0,1,1
10,Y,1,0.8632271127765494,0.1367728872234506,risk_30_60,delayed_start,4,0,0,0,1,0,1,0,0,0,0,0
11,Y,1,0.9820244982415508,0.017975501758449197,bottom_40_lowest_risk,genre_affinity_drama,7,0,0,0,0,0,1,0,0,1,0,1
12,Y,1,0.9457429727886365,0.054257027211363495,bottom_40_lowest_risk,genre_affinity_drama,7,0,0,0,0,0,1,0,0,1,0,1
13,Y,1,0.45648317129596994,0.5435168287040301,risk_10_30,genre_affinity_thriller_crime,5,0,0,0,0,0,0,1,0,0,0,1
14,Y,1,0.686993523583991,0.313006476416009,risk_30_60,delayed_start,4,0,0,0,1,0,1,0,0,0,0,1
15,N,0,0.20903517113706363,0.7909648288629364,top_10_highest_risk,top_decile_high_churn_risk,1,1,0,0,0,0,1,1,1,0,1,1
16,Y,1,0.9102682086330923,0.08973179136690768,bottom_40_lowest_risk,low_or_no_early_engagement,2,0,1,0,0,0,0,0,1,1,0,1
