check_name,status,value,notes,actual_output_folder,actual_figure_folder
repo_root_checked,PASS,C:/Code/ott-churn-prediction,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
repo_root_matches_expected,PASS,C:/Code/ott-churn-prediction,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
source_file_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
source_file_inside_park_ingyeom,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
required_06_files_exist,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
required_05b_files_exist,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
required_07_files_exist,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
required_08_files_exist,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
required_08b_files_exist,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
required_09_files_exist,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
required_09b_files_exist,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
09b_core_usage_window_validation_passed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
notebook_inside_park_ingyeom,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
output_folder_inside_park_ingyeom,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
figure_folder_inside_park_ingyeom,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
zip_inside_park_ingyeom,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_files_written_outside_park_ingyeom,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_existing_notebook_modified,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_source_csv_modified,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_09_outputs_overwritten,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_09b_outputs_overwritten,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_files_deleted,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_modeling_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_predictions_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_shap_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_optuna_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_statistical_tests_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_p_values_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_modeling_feature_engineering_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_py_script_created,PASS,True,"No .py script was created for Step 10; existing unrelated .py files, if any, are not counted.",C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_repurchase_score_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
no_churn_risk_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
