dataset_scope,model_name,feature,feature_family,mean_abs_shap,mean_signed_shap,feature_value_shap_corr,direction_label,interpretation_limit
overall_with_promotion,LightGBM,is_promotion,acquisition_split_key,0.376165123357192,0.000734391438191825,-0.9799982237044705,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,is_churn_prevented,other_feature_family,0.12140002824589044,-0.004410340793858765,-0.8937679571392746,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,is_user_verified,auth_proxy_caveat,0.011216658676533736,0.00017899466057422206,-0.919574497257526,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,is_standard,membership_context,0.008466575284543507,1.1666259023968344e-05,0.8503669555509278,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,is_premium,membership_context,0.0026950061693250082,-2.411537812637609e-05,0.6269986601305201,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,age_group,demographic_proxy_caveat,0.067686771297565,0.008684580845134817,0.6037317133711475,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,is_female,demographic_proxy_caveat,0.01355817195161949,-4.57636773556952e-05,0.9159638293095268,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,is_male,demographic_proxy_caveat,0.02017173702387421,-0.00018755991777015627,-0.8555324580353529,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,reg_is_weekend,registration_context,0.014082154329894096,0.00013427471077132744,0.8368124260027087,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,reg_hour_morning,registration_context,0.006198769934264009,-0.000202650283936733,0.8611220303864008,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,reg_hour_afternoon,registration_context,0.007015363427627588,0.00010893959348646034,-0.897075954272802,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,reg_hour_evening,registration_context,0.020225673909940227,0.00025391372392774694,-0.9189489161955151,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,reg_hour_night,registration_context,0.005777343277792443,-2.476614918798824e-05,0.13488380256045723,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,total_watch_count,usage_retention_behavior,0.02211670067611156,-0.004245227966618061,-0.13061082907898297,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,unique_movie,content_preference_context,0.0380545354604317,0.0019495330229244011,0.5395060301000987,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,watch_days,usage_retention_behavior,0.021131885950575958,-0.0013229003266252396,0.7342902189689904,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,active_ratio,other_feature_family,0.0042756991874794694,-0.00023791650560889063,0.7580760958504269,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,total_watch_time_min,usage_retention_behavior,0.038468860534686435,-0.011537798904013722,0.5289709919476407,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,watch_per_day,usage_retention_behavior,0.029462989696556384,0.0016932910483602726,-0.44030485119500096,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,avg_watch_time_min,usage_retention_behavior,0.041778541255011584,-0.009310541337900588,0.6895508316101487,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,median_watch_time_min,usage_retention_behavior,0.15378159873185204,-0.006016561214016985,0.6978148043308351,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,std_watch_time_min,usage_retention_behavior,0.04633747432201314,-0.004386086652525142,0.5296607061780615,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,avg_daily_watch_time_min,usage_retention_behavior,0.026346831721980664,-0.0010191559308622233,-0.5176147634422485,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,max_watch_time_min,usage_retention_behavior,0.16648984537569386,0.005225410507855325,0.734435121776322,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,max_daily_watch_time_min,usage_retention_behavior,0.025440810838934277,-0.00807236582951837,0.48909654549377024,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,max_daily_sessions,usage_retention_behavior,0.007764774338956882,0.0012609260373995365,0.5835523073372556,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,recency,usage_retention_behavior,0.03666579987302464,-0.004348875421750265,-0.032501214954950314,direction_not_stable_or_nonmonotonic,model explanation only; not causal effect
overall_with_promotion,LightGBM,avg_gap_between_watch_days,usage_retention_behavior,0.026099600226943617,-0.0017026552768242644,0.6425433571175749,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,avg_gap_w1_watch_days,usage_retention_behavior,0.019578093142761155,0.003146461915833648,0.7233793520836137,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,avg_gap_w2_watch_days,usage_retention_behavior,0.003985439094658351,6.424561565486976e-05,-0.7042501016998399,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,avg_gap_w3_watch_days,usage_retention_behavior,0.045830190154945286,-0.0004197574945213584,0.8161800655793519,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,max_inactive_gap_days,usage_retention_behavior,0.02555029911191525,0.004530264731084506,0.5894643083639378,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,avg_rewatch_ratio,usage_retention_behavior,0.02905522554923389,-0.0008550987874587739,-0.6875074720599628,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,weekend_watch_ratio,usage_retention_behavior,0.04808473592117932,-0.0024892364980358237,-0.7663732862820961,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,watch_ratio_under_1m,usage_retention_behavior,0.04328191001345196,0.0002901405529748799,-0.85798367754168,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,watch_ratio_under_5m,usage_retention_behavior,0.02406955072563883,-0.003337057427989521,0.3356841655980119,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,movie_per_active_day,content_preference_context,0.026167056305091824,-0.00014851246446753217,-0.2966463712764445,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,max_day_share,other_feature_family,0.09184604201005908,-0.0025015699641297916,-0.849032646809721,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,day_count_over_3times,other_feature_family,0.013233683717968415,-0.0022495118816036564,-0.5653361430589795,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,watch_time_min_w1,usage_retention_behavior,0.05788691930275988,0.007422474116872989,-0.470359870496991,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,watch_time_min_w2,usage_retention_behavior,0.02702078123154912,0.0016577740430425607,0.39775966650228806,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,watch_time_min_w3,usage_retention_behavior,0.41385484780619847,-0.012115009104757475,0.7505835881085464,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,watch_session_w1,usage_retention_behavior,0.02150763634434482,0.006579633789629112,-0.7067487169955258,higher_feature_value_tends_to_lower_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,watch_session_w2,usage_retention_behavior,0.008968042752351808,0.000470381143811258,0.53277904511323,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,watch_session_w3,usage_retention_behavior,0.04312526008373982,0.0011670120431333277,0.783960998650075,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
overall_with_promotion,LightGBM,retention_w2_ratio,usage_retention_behavior,0.37075507620274206,0.009970092483548854,0.5520170480476856,higher_feature_value_tends_to_raise_repurchase_score,model explanation only; not causal effect
