feature_set,column,dtype,nunique,missing_count
A_bare_membership_no_promo,productcode,object,60,0
A_bare_membership_no_promo,pgamount,float64,38,0
A_bare_membership_no_promo,chargetypeid,int64,10,0
A_bare_membership_no_promo,concurrentwatchcount,float64,4,84
A_bare_membership_no_promo,devicetypeid,object,10,0
A_bare_membership_no_promo,isauth,object,2,775
A_bare_membership_no_promo,gender,object,3,207
A_bare_membership_no_promo,agegroup,float64,21,207
A_bare_membership_no_promo,registerhour,int64,24,0
A_bare_membership_no_promo,register_weekday,int32,7,0
A_bare_membership_no_promo,register_dayofmonth,int32,15,0
B_membership_plus_promo,productcode,object,60,0
B_membership_plus_promo,pgamount,float64,38,0
B_membership_plus_promo,chargetypeid,int64,10,0
B_membership_plus_promo,concurrentwatchcount,float64,4,84
B_membership_plus_promo,devicetypeid,object,10,0
B_membership_plus_promo,isauth,object,2,775
B_membership_plus_promo,gender,object,3,207
B_membership_plus_promo,agegroup,float64,21,207
B_membership_plus_promo,registerhour,int64,24,0
B_membership_plus_promo,register_weekday,int32,7,0
B_membership_plus_promo,register_dayofmonth,int32,15,0
B_membership_plus_promo,promo_100_bin,int32,2,0
C_membership_plus_promo_coin,productcode,object,60,0
C_membership_plus_promo_coin,pgamount,float64,38,0
C_membership_plus_promo_coin,chargetypeid,int64,10,0
C_membership_plus_promo_coin,concurrentwatchcount,float64,4,84
C_membership_plus_promo_coin,devicetypeid,object,10,0
C_membership_plus_promo_coin,isauth,object,2,775
C_membership_plus_promo_coin,gender,object,3,207
C_membership_plus_promo_coin,agegroup,float64,21,207
C_membership_plus_promo_coin,registerhour,int64,24,0
C_membership_plus_promo_coin,register_weekday,int32,7,0
C_membership_plus_promo_coin,register_dayofmonth,int32,15,0
C_membership_plus_promo_coin,promo_100_bin,int32,2,0
C_membership_plus_promo_coin,coinReceived_bin,int32,2,0
D_membership_plus_promo_coin_duration,productcode,object,60,0
D_membership_plus_promo_coin_duration,pgamount,float64,38,0
D_membership_plus_promo_coin_duration,chargetypeid,int64,10,0
D_membership_plus_promo_coin_duration,concurrentwatchcount,float64,4,84
D_membership_plus_promo_coin_duration,devicetypeid,object,10,0
D_membership_plus_promo_coin_duration,isauth,object,2,775
D_membership_plus_promo_coin_duration,gender,object,3,207
D_membership_plus_promo_coin_duration,agegroup,float64,21,207
D_membership_plus_promo_coin_duration,registerhour,int64,24,0
D_membership_plus_promo_coin_duration,register_weekday,int32,7,0
D_membership_plus_promo_coin_duration,register_dayofmonth,int32,15,0
D_membership_plus_promo_coin_duration,promo_100_bin,int32,2,0
D_membership_plus_promo_coin_duration,coinReceived_bin,int32,2,0
D_membership_plus_promo_coin_duration,subscription_days,int64,21,0
