check_name,status,value,notes,actual_model_output_folder,actual_figure_output_folder
repo_root_checked,PASS,C:/Code/ott-churn-prediction,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
repo_root_matches_expected,PASS,C:/Code/ott-churn-prediction,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
all_required_input_files_exist,PASS,21,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
detected_09b_output_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\09b_raw_view_window_validation_260514\run_20260514_130402,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
detected_10_output_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
primary_modeling_table_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
primary_main_cohort_row_count_is_23079,PASS,23079,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
conservative_feature_count_is_22,PASS,22,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
target_column_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
split_column_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
group_key_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
no_review_columns_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
no_forbidden_columns_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
no_USER_KEY_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
no_source_row_number_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
no_is_repurchase_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
is_promotion_not_used_in_groupwise_models,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
is_promotion_only_used_in_overall_with_promotion_scope,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
StratifiedGroupKFold_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
no_group_overlap_in_cv,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
all_fold_validation_sets_have_both_classes,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
no_shap_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
no_optuna_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
no_hyperparameter_tuning_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
no_final_threshold_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
no_final_segmentation_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
cv_fold_metrics_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
cv_summary_metrics_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
