file_path,file_role,sha256_before,mtime_before,size_before,sha256_after,mtime_after,size_after,status
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_summary.csv,17x_segment_summary,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,2026-05-18T00:53:12,2467,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,2026-05-18T00:53:12,2467,PASS
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,17x_representative_segment_assignment,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62,2026-05-18T00:53:11,6879330,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62,2026-05-18T00:53:11,6879330,PASS
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,17x_representative_segment_rules,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,2026-05-18T00:53:11,1474,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,2026-05-18T00:53:11,1474,PASS
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_feature_profile.csv,17x_segment_feature_profile,3acbdd194ce2d6caba2acd32785411fba5e899d20883b5020a8a61b4e59bb2cb,2026-05-18T00:53:12,13221,3acbdd194ce2d6caba2acd32785411fba5e899d20883b5020a8a61b4e59bb2cb,2026-05-18T00:53:12,13221,PASS
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_SHAP_evidence_link.csv,17x_segment_SHAP_evidence_link,1babc89f3be5e647e74cc8b29370f341e1b9ada0e6445427cda8400e0f6def45,2026-05-18T00:53:12,23563,1babc89f3be5e647e74cc8b29370f341e1b9ada0e6445427cda8400e0f6def45,2026-05-18T00:53:12,23563,PASS
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_proxy_artifact_audit.csv,17x_proxy_artifact_audit,0936870f0c79256c85fd2de44897711eb1390b6ac62a7741b652e74f16c0f262,2026-05-18T00:53:12,4687,0936870f0c79256c85fd2de44897711eb1390b6ac62a7741b652e74f16c0f262,2026-05-18T00:53:12,4687,PASS
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_age40_unverified_ios_audit.csv,17x_age40_unverified_ios_audit,82f4444da8980bb8a68ad22541c8df3a27897119671a60732b5a8cbce81c89dc,2026-05-18T00:53:12,743,82f4444da8980bb8a68ad22541c8df3a27897119671a60732b5a8cbce81c89dc,2026-05-18T00:53:12,743,PASS
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_business_action_candidates.csv,17x_business_action_candidates,6d90043e8f97bb2b5a492e959fe454edc4429cec182d0b20efdf614148669277,2026-05-18T00:53:12,1019,6d90043e8f97bb2b5a492e959fe454edc4429cec182d0b20efdf614148669277,2026-05-18T00:53:12,1019,PASS
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_dashboard_handoff_datamart.csv,17x_dashboard_handoff_datamart,05857033718afb17c49b1e2d1138e2dad5f4e1e91980c8ba70d5ef9f5febfaa3,2026-05-18T00:53:13,11788930,05857033718afb17c49b1e2d1138e2dad5f4e1e91980c8ba70d5ef9f5febfaa3,2026-05-18T00:53:13,11788930,PASS
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_safe_unsafe_wording.csv,17x_safe_unsafe_wording,92c0409d55711d9fc377fefcdf6724ceac82c8c912f5bff02e6c18f6275e60ba,2026-05-18T00:53:13,811,92c0409d55711d9fc377fefcdf6724ceac82c8c912f5bff02e6c18f6275e60ba,2026-05-18T00:53:13,811,PASS
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_open_risks.csv,17x_open_risks,0d133e7fe69382450f5695c2c933109a2a7dd431fb1ae2e7174ca6525110f69b,2026-05-18T00:53:13,573,0d133e7fe69382450f5695c2c933109a2a7dd431fb1ae2e7174ca6525110f69b,2026-05-18T00:53:13,573,PASS
C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_final_checks.csv,17x_final_checks,f449d40bc4b458986eabe65db9ad04b79d8d35c4520903948e598fa071735a77,2026-05-18T00:53:15,1898,f449d40bc4b458986eabe65db9ad04b79d8d35c4520903948e598fa071735a77,2026-05-18T00:53:15,1898,PASS
