dataset,column,inferred_dtype,row_count,missing_count,missing_rate,unique_count_including_missing,unique_count_excluding_missing,min_value,max_value
Membership,USER_KEY,string_or_mixed,24074,0,0.0,23679,23679,0000555c21e7942b8281c8068c2b5be0a628b8a1a3cbea1c4d42a1ebb82206c2d0cf7ba1b15f367ffc97b7cf749ae6b0b3c46732f9fc0f5186ab6aa3e8346fdd,ffff0d42a9cb0c7ba43546929d3c0dc0b141a2ec00fd5932cae23b84f62b186a5662b8470fe5b73092903af68206de5fa4749b306270dee722b53978a1f19a5e
Membership,product_code,string_or_mixed,24074,0,0.0,60,60,pk_1070,pk_931
Membership,price,float_like,24074,0,0.0,38,38,10.99,9810
Membership,billing_method,integer_like,24074,0,0.0,10,10,121,190
Membership,max_screen,integer_like,24074,84,0.003489,5,4,1,4
Membership,is_promotion,string_or_mixed,24074,11896,0.494143,2,1,O,O
Membership,is_churn_prevented,string_or_mixed,24074,19767,0.821093,2,1,O,O
Membership,payment_device,string_or_mixed,24074,0,0.0,10,10,android,sstv
Membership,is_user_verified,string_or_mixed,24074,775,0.032192,3,2,N,Y
Membership,gender,string_or_mixed,24074,207,0.008598,4,3,F,N
Membership,age,integer_like,24074,207,0.008598,22,21,0,950
Membership,reg_date,date_yy_mm_dd,24074,0,0.0,15,15,21-03-01,21-03-15
Membership,reg_hour,integer_like,24074,0,0.0,24,24,0,9
Membership,end_date,date_yy_mm_dd,24074,0,0.0,38,38,21-03-01,21-04-16
Membership,is_repurchase,string_or_mixed,24074,0,0.0,2,2,N,Y
User_Mapping,USER_KEY,string_or_mixed,26366,0,0.0,26315,26315,0000555c21e7942b8281c8068c2b5be0a628b8a1a3cbea1c4d42a1ebb82206c2d0cf7ba1b15f367ffc97b7cf749ae6b0b3c46732f9fc0f5186ab6aa3e8346fdd,ffff0d42a9cb0c7ba43546929d3c0dc0b141a2ec00fd5932cae23b84f62b186a5662b8470fe5b73092903af68206de5fa4749b306270dee722b53978a1f19a5e
User_Mapping,USER_NUM,integer_like,26366,0,0.0,26366,26366,0,9999
View_History,USER_NUM,integer_like,175301,0,0.0,23720,23720,0,9998
View_History,MOVIE_NUM,integer_like,175301,0,0.0,5411,5411,1000,9992
View_History,watch_time(min),integer_like,175301,0,0.0,200,200,1,99
View_History,watch_day,integer_like,175301,0,0.0,43,43,20210301,20210412
View_History,watch_seq,integer_like,175301,0,0.0,37,37,1,9
Movie_Master,MOVIE_NUM,integer_like,14502,0,0.0,14018,14018,0,9999
Movie_Master,movie_title,string_or_mixed,14502,0,0.0,14018,14018,#살아있다,힛쳐(2007)
Movie_Master,ott_release_month,integer_like,14502,0,0.0,120,120,200212,202103
Movie_Master,genre,string_or_mixed,14502,0,0.0,11,11,Action/Adventure,Thriller/Crime
