dataset,column_name,inferred_dtype,row_count,missing_count,missing_rate,unique_count,unique_count_excluding_missing,min_value,max_value,top_values
Membership,USER_KEY,string_or_mixed,24074,0,0.0,23679,23679,0000555c21e7942b8281c8068c2b5be0a628b8a1a3cbea1c4d42a1ebb82206c2d0cf7ba1b15f367ffc97b7cf749ae6b0b3c46732f9fc0f5186ab6aa3e8346fdd,ffff0d42a9cb0c7ba43546929d3c0dc0b141a2ec00fd5932cae23b84f62b186a5662b8470fe5b73092903af68206de5fa4749b306270dee722b53978a1f19a5e,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8:21|a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5:14|6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e:10|e7607ee4e1a48b7147ad4807c099fbca1627cce1c30ab25a639cc2f2a05d8df6df46ac106d95d84d0e827213b85ee7c53b4f3283a2f362e025ec51451ced55b0:6|a6e6e6128f41e37c3fab8276d6861b58a12e2f99976df1f55bc736bdb52db94c58487e29a9cef71c7045834409303e02f24127af76d1d08091312406fcfa3bd5:6|48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91:4|06413c96660e23ddd8e6cc93b3e03e299201a9a1aa05ba70ea10b8a8c6f7a17686772ce450d9427ac59dd24d830052c31a8122bb355ce6d58ae7d6d16a9c8d65:4|a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee26f98deca7a33e5a3f56218df401f2763754e1ede70abac7e3dc74b49244a80854017dd:4|51114f7359992ecf5c70f08e63cbc1b450779dcdb874723aa7cd7568142ffa41f53e4b1eb65a6efd481423c33a894fecad9d1928c401acb0dc10c73caa195a0e:4|8e7c2a309dab310d431faf504e9fe0de8cda99bac1293e5ef39931f7c06fdb7538d8f079ea8ff88d9bcfb64b039baf17ed7729e3743979e9065718ecbf0c8b89:4
Membership,product_code,string_or_mixed,24074,0,0.0,60,60,pk_1070,pk_931,pk_1487:8818|pk_1488:3330|pk_2025:3041|pk_1489:2873|pk_1508:2870|pk_2026:833|pk_1506:773|pk_2027:738|pk_1507:291|pk_2005:161
Membership,price,float_like,24074,0,0.0,38,38,10.99,9810,100:12178|7900:4432|9.99:2870|10900:2053|13900:808|13.49:773|16.49:304|3950:169|10.99:108|6700:92
Membership,billing_method,integer_like,24074,0,0.0,10,10,121,190,134:6044|151:4653|140:4117|131:2470|132:2395|180:2253|190:1857|170:282|121:2|160:1
Membership,max_screen,integer_like,24074,84,0.003489,5,4,1,4,1:15124|2:4952|4:3905|:84|3:9
Membership,is_promotion,string_or_mixed,24074,11896,0.494143,2,1,O,O,O:12178|:11896
Membership,is_churn_prevented,string_or_mixed,24074,19767,0.821093,2,1,O,O,:19767|O:4307
Membership,payment_device,string_or_mixed,24074,0,0.0,10,10,android,sstv,android:11168|pc:4685|ios:4117|mobile:3690|lgtv:187|sstv:128|ott:87|smarttv:9|lgchplus:2|ott_cjhello:1
Membership,is_user_verified,string_or_mixed,24074,775,0.032192,3,2,N,Y,Y:17822|N:5477|:775
Membership,gender,string_or_mixed,24074,207,0.008598,4,3,F,N,F:12607|M:7443|N:3817|:207
Membership,age,integer_like,24074,207,0.008598,22,21,0,950,40:6775|25:4068|30:3603|20:3227|35:2389|45:1346|50:893|55:481|15:443|60:333
