membership_row_id,source_file,source_row_number,reason_code,reason_detail,rule_name,all_reason_codes,is_repurchase_raw,reg_date_raw,end_date_raw,duration_days_stage02,duration_days_recomputed,age_raw,age_num,max_screen_raw,max_screen_num,price_raw,price_num,reg_hour_raw,reg_hour_num,nonstandard_duration_removed_flag,max_screen_invalid_removed_flag
4,_data/01_raw/Membership.csv,5,INVALID_AGE,"age is missing, unparsable, <10, >100, or 950.",R_AGE_01_PLAUSIBLE_10_100_EXCLUDE_950,INVALID_AGE,Y,21-03-01,21-04-01,31,31,,,1,1.0,100,100.0,11,11,0,0
139,_data/01_raw/Membership.csv,140,INVALID_AGE,"age is missing, unparsable, <10, >100, or 950.",R_AGE_01_PLAUSIBLE_10_100_EXCLUDE_950,INVALID_AGE,N,21-03-10,21-04-10,31,31,,,1,1.0,100,100.0,10,10,0,0
158,_data/01_raw/Membership.csv,159,INVALID_MAX_SCREEN,"max_screen is missing, unparsable, or not in 1/2/4.",R_MAX_SCREEN_01_KEEP_1_2_4,INVALID_MAX_SCREEN,N,21-03-02,21-04-03,32,32,40,40.0,,,10.99,10.99,7,7,0,1
164,_data/01_raw/Membership.csv,165,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,"duration_days_recomputed is missing, zero, or not in 31/32; excluded from standard monthly-subscription official population.",R_DURATION_01_KEEP_31_32_ONLY,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,Y,21-03-03,21-03-03,0,0,25,25.0,1,1.0,7900,7900.0,12,12,1,0
223,_data/01_raw/Membership.csv,224,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,"duration_days_recomputed is missing, zero, or not in 31/32; excluded from standard monthly-subscription official population.",R_DURATION_01_KEEP_31_32_ONLY,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,N,21-03-06,21-03-06,0,0,25,25.0,1,1.0,9.99,9.99,23,23,1,0
331,_data/01_raw/Membership.csv,332,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,"duration_days_recomputed is missing, zero, or not in 31/32; excluded from standard monthly-subscription official population.",R_DURATION_01_KEEP_31_32_ONLY,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,Y,21-03-07,21-03-07,0,0,35,35.0,1,1.0,100,100.0,7,7,1,0
344,_data/01_raw/Membership.csv,345,INVALID_AGE,"age is missing, unparsable, <10, >100, or 950.",R_AGE_01_PLAUSIBLE_10_100_EXCLUDE_950,INVALID_AGE,N,21-03-01,21-04-01,31,31,,,1,1.0,100,100.0,0,0,0,0
347,_data/01_raw/Membership.csv,348,INVALID_AGE,"age is missing, unparsable, <10, >100, or 950.",R_AGE_01_PLAUSIBLE_10_100_EXCLUDE_950,INVALID_AGE,Y,21-03-15,21-04-15,31,31,,,1,1.0,100,100.0,15,15,0,0
349,_data/01_raw/Membership.csv,350,INVALID_AGE,"age is missing, unparsable, <10, >100, or 950.",R_AGE_01_PLAUSIBLE_10_100_EXCLUDE_950,INVALID_AGE,Y,21-03-06,21-04-06,31,31,,,2,2.0,100,100.0,23,23,0,0
350,_data/01_raw/Membership.csv,351,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,"duration_days_recomputed is missing, zero, or not in 31/32; excluded from standard monthly-subscription official population.",R_DURATION_01_KEEP_31_32_ONLY,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,N,21-03-06,21-03-06,0,0,50,50.0,1,1.0,100,100.0,17,17,1,0
369,_data/01_raw/Membership.csv,370,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,"duration_days_recomputed is missing, zero, or not in 31/32; excluded from standard monthly-subscription official population.",R_DURATION_01_KEEP_31_32_ONLY,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,Y,21-03-01,21-03-03,2,2,40,40.0,2,2.0,10900,10900.0,18,18,1,0
430,_data/01_raw/Membership.csv,431,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,"duration_days_recomputed is missing, zero, or not in 31/32; excluded from standard monthly-subscription official population.",R_DURATION_01_KEEP_31_32_ONLY,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,Y,21-03-13,21-03-13,0,0,40,40.0,2,2.0,10900,10900.0,10,10,1,0
514,_data/01_raw/Membership.csv,515,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,"duration_days_recomputed is missing, zero, or not in 31/32; excluded from standard monthly-subscription official population.",R_DURATION_01_KEEP_31_32_ONLY,NONSTANDARD_DURATION_FOR_MONTHLY_SCOPE,Y,21-03-10,21-03-10,0,0,25,25.0,1,1.0,7900,7900.0,7,7,1,0
