window,feature,count,min,max,mean,zero_count
w1_3,w1_3_has_watch_obs,23933,0.0,1.0,0.937409,1498
w1_3,w1_3_no_watch_obs_flag,23933,0.0,1.0,0.062591,22435
w1_3,w1_3_total_watch_time,23933,0.0,6474.0,297.255839,1498
w1_3,w1_3_total_sessions,23933,0.0,104.0,6.66682,1498
w1_3,w1_3_unique_contents,23933,0.0,67.0,4.642878,1498
w1_3,w1_3_unique_watch_days,23933,0.0,20.0,3.54874,1498
w1_3,w1_3_avg_watch_time_per_session,23933,0.0,200.0,42.385678,1498
w1_3,w1_3_sessions_per_active_day,23933,0.0,18.0,1.749354,1498
w1_3,w1_3_active_span_days,23933,0.0,21.0,9.730874,1498
w1_3,w1_3_first_watch_rel_day,22435,0.0,20.0,5.290573,4447
w1_3,w1_3_last_watch_rel_day,22435,0.0,20.0,14.671183,276
w1_3,w1_3_week1_watch_time,23933,0.0,4766.0,100.228304,8712
w1_3,w1_3_week2_watch_time,23933,0.0,2957.0,98.124138,8894
w1_3,w1_3_week3_watch_time,23933,0.0,2691.0,98.903397,8693
w1_3,w1_3_week1_sessions,23933,0.0,70.0,2.245101,8712
w1_3,w1_3_week2_sessions,23933,0.0,60.0,2.214766,8894
w1_3,w1_3_week3_sessions,23933,0.0,41.0,2.206953,8693
w1_3,w1_3_week1_ratio,23933,0.0,1.0,0.320817,8712
w1_3,w1_3_week2_ratio,23933,0.0,1.0,0.300231,8894
w1_3,w1_3_week3_ratio,23933,0.0,1.0,0.316361,8693
w1_3,w1_3_w2_minus_w1_watch_time,23933,-3444.0,2957.0,-2.104166,3998
w1_3,w1_3_w3_minus_w1_watch_time,23933,-4380.0,2691.0,-1.324907,3533
w1_3,w1_3_max_daily_watch_time,23933,0.0,1248.0,129.321732,1498
w1_3,w1_3_max_day_share,23933,0.0,1.0,0.57744,1498
w1_3,w1_3_one_minute_watch_count,23933,0.0,41.0,1.46555,10567
w1_3,w1_3_short_watch_count_le5,23933,0.0,51.0,2.155267,7664
w1_3,w1_3_short_watch_time_le5,23933,0.0,79.0,3.632349,7664
w1_4,w1_4_has_watch_obs,23933,0.0,1.0,0.992312,184
w1_4,w1_4_no_watch_obs_flag,23933,0.0,1.0,0.007688,23749
w1_4,w1_4_total_watch_time,23933,0.0,6474.0,327.416914,184
w1_4,w1_4_total_sessions,23933,0.0,104.0,7.353445,184
w1_4,w1_4_unique_contents,23933,0.0,67.0,5.034513,184
w1_4,w1_4_unique_watch_days,23933,0.0,21.0,3.869929,184
w1_4,w1_4_avg_watch_time_per_session,23933,0.0,200.0,44.769497,184
w1_4,w1_4_sessions_per_active_day,23933,0.0,18.0,1.87731,184
w1_4,w1_4_active_span_days,23933,0.0,28.0,10.98805,184
w1_4,w1_4_first_watch_rel_day,23749,0.0,27.0,6.307592,4447
w1_4,w1_4_last_watch_rel_day,23749,0.0,27.0,16.380774,234
w1_4,w1_4_week1_watch_time,23933,0.0,4766.0,100.228304,8712
w1_4,w1_4_week2_watch_time,23933,0.0,2957.0,98.124138,8894
w1_4,w1_4_week3_watch_time,23933,0.0,2691.0,98.903397,8693
w1_4,w1_4_week1_sessions,23933,0.0,70.0,2.245101,8712
w1_4,w1_4_week2_sessions,23933,0.0,60.0,2.214766,8894
w1_4,w1_4_week3_sessions,23933,0.0,41.0,2.206953,8693
w1_4,w1_4_week1_ratio,23933,0.0,1.0,0.305677,8712
w1_4,w1_4_week2_ratio,23933,0.0,1.0,0.285741,8894
w1_4,w1_4_week3_ratio,23933,0.0,1.0,0.2948,8693
w1_4,w1_4_w2_minus_w1_watch_time,23933,-3444.0,2957.0,-2.104166,3998
w1_4,w1_4_w3_minus_w1_watch_time,23933,-4380.0,2691.0,-1.324907,3533
w1_4,w1_4_max_daily_watch_time,23933,0.0,1248.0,139.158192,184
w1_4,w1_4_max_day_share,23933,0.0,1.0,0.607611,184
w1_4,w1_4_one_minute_watch_count,23933,0.0,41.0,1.621819,9593
w1_4,w1_4_short_watch_count_le5,23933,0.0,57.0,2.38729,6540
w1_4,w1_4_short_watch_time_le5,23933,0.0,109.0,4.022939,6540
w1_4,w1_4_week4_watch_time,23933,0.0,3455.0,30.161075,17979
w1_4,w1_4_week4_sessions,23933,0.0,44.0,0.686625,17979
w1_4,w1_4_week4_ratio,23933,0.0,1.0,0.106094,17979
w1_4,w1_4_w4_minus_w1_watch_time,23933,-4766.0,3188.0,-70.067229,6041
w1_4,w1_4_w4_minus_w3_watch_time,23933,-2297.0,2261.0,-68.742322,6478
