feature,count,mean,std,min,25%,50%,75%,max,missing_count,zero_count,zero_rate
total_watch_time,14922.0,254.68094089264173,313.5877521999911,0.0,11.0,155.0,370.0,4419.0,0,2620,0.1755796810079078
total_sessions,14922.0,5.700710360541482,5.8711414353528575,0.0,1.0,4.0,8.0,56.0,0,2620,0.1755796810079078
unique_contents,14922.0,4.091944779520172,4.210402382449645,0.0,1.0,3.0,6.0,47.0,0,2620,0.1755796810079078
unique_days,14922.0,3.121632488942501,2.678444676017447,0.0,1.0,3.0,5.0,17.0,0,2620,0.1755796810079078
avg_session_time,14922.0,37.23733839266279,32.85448206006853,0.0,4.0,33.763888888888886,58.25,200.0,0,2620,0.1755796810079078
max_session_time,14922.0,79.33876156011259,59.6879058675219,0.0,7.0,93.0,122.0,200.0,0,2620,0.1755796810079078
active_span_days,14922.0,8.571840235893312,7.274872116391053,0.0,1.0,8.0,15.0,21.0,0,2620,0.1755796810079078
watch_days_ratio,14922.0,0.1486491661401191,0.12754498457225358,0.0,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.8095238095238095,0,2620,0.1755796810079078
sessions_per_active_day,14922.0,1.4962306705447508,1.149459670754204,0.0,1.0,1.4,2.0,18.0,0,2620,0.1755796810079078
contents_per_active_day,14922.0,1.131992073990022,0.9370692545021083,0.0,0.6666666666666666,1.0,1.5,15.0,0,2620,0.1755796810079078
max_daily_watch_time,14922.0,109.98753518295135,103.4304566917263,0.0,9.0,102.0,159.0,912.0,0,2620,0.1755796810079078
max_day_share,14922.0,0.5070114719386768,0.3414676710760374,0.0,0.2698516173092444,0.48775489804078365,0.8223318713450292,1.0,0,2620,0.1755796810079078
days_since_last_watch_to_obs_end,14922.0,4.38634231336282,5.215776568933788,0.0,0.0,2.0,7.0,20.0,0,4878,0.32689987937273823
avg_gap_between_watch_days,14922.0,2.8897018720902916,3.3029828996358988,0.0,0.0,2.3095238095238093,4.0,20.0,0,4930,0.33038466693472723
max_inactive_gap_days,14922.0,8.596032703390966,5.580304226843573,0.0,5.0,9.0,13.0,20.0,0,2620,0.1755796810079078
week1_watch_time,14922.0,86.36851628468034,147.8937367529369,0.0,0.0,4.0,122.0,2910.0,0,6549,0.4388821873743466
week2_watch_time,14922.0,84.30022785149444,144.36704207524468,0.0,0.0,3.0,120.0,2957.0,0,6677,0.4474601259884734
week3_watch_time,14922.0,84.01219675646696,142.3638610099715,0.0,0.0,4.0,123.0,2460.0,0,6556,0.43935129339230666
week1_ratio,14922.0,0.2834251540541038,0.3495511663417507,0.0,0.0,0.08928571428571429,0.5046730938659154,1.0,0,6549,0.4388821873743466
week2_ratio,14922.0,0.26356106128379264,0.3343205290586455,0.0,0.0,0.06178206375727022,0.4718742964736702,1.0,0,6677,0.4474601259884734
week3_ratio,14922.0,0.2774341036541958,0.34886844206351664,0.0,0.0,0.07393565244121113,0.4939016830424945,1.0,0,6556,0.43935129339230666
w3_minus_w1_watch_time,14922.0,-2.356319528213376,182.52157320882012,-2576.0,-57.0,0.0,50.0,2460.0,0,3716,0.24902828039136846
daily_watch_slope,14922.0,-0.16830853772952686,13.03725522920089,-184.0,-4.071428571428571,0.0,3.5714285714285716,175.71428571428572,0,3716,0.24902828039136846
