window,column,role,source_family,included_in_any_feature_set
w1_3,membership_row_id,metadata,metadata_or_target,N
w1_3,USER_KEY,metadata,metadata_or_target,N
w1_3,is_repurchase,target,metadata_or_target,N
w1_3,price,candidate_feature,membership,Y
w1_3,product_code,candidate_feature,membership,Y
w1_3,max_screen,candidate_feature,membership,Y
w1_3,is_promotion,candidate_feature,membership,Y
w1_3,is_user_verified,candidate_feature,membership,Y
w1_3,gender,candidate_feature,membership,Y
w1_3,age,candidate_feature,membership,Y
w1_3,payment_device,candidate_feature,membership,Y
w1_3,billing_method,candidate_feature,membership,Y
w1_3,is_churn_prevented,candidate_feature,membership,Y
w1_3,w1_3_has_watch_obs,candidate_feature,usage,Y
w1_3,w1_3_no_watch_obs_flag,candidate_feature,usage,Y
w1_3,w1_3_total_watch_time,candidate_feature,usage,Y
w1_3,w1_3_total_sessions,candidate_feature,usage,Y
w1_3,w1_3_unique_contents,candidate_feature,content,Y
w1_3,w1_3_unique_watch_days,candidate_feature,usage,Y
w1_3,w1_3_avg_watch_time_per_session,candidate_feature,usage,Y
w1_3,w1_3_sessions_per_active_day,candidate_feature,usage,Y
w1_3,w1_3_active_span_days,candidate_feature,usage,Y
w1_3,w1_3_first_watch_rel_day,candidate_feature,usage,Y
w1_3,w1_3_last_watch_rel_day,candidate_feature,usage,Y
w1_3,w1_3_week1_watch_time,candidate_feature,usage,Y
w1_3,w1_3_week2_watch_time,candidate_feature,usage,Y
w1_3,w1_3_week3_watch_time,candidate_feature,usage,Y
w1_3,w1_3_week1_sessions,candidate_feature,usage,Y
w1_3,w1_3_week2_sessions,candidate_feature,usage,Y
w1_3,w1_3_week3_sessions,candidate_feature,usage,Y
w1_3,w1_3_week1_ratio,candidate_feature,usage,Y
w1_3,w1_3_week2_ratio,candidate_feature,usage,Y
w1_3,w1_3_week3_ratio,candidate_feature,usage,Y
w1_3,w1_3_w2_minus_w1_watch_time,candidate_feature,usage,Y
w1_3,w1_3_w3_minus_w1_watch_time,candidate_feature,usage,Y
w1_3,w1_3_max_daily_watch_time,candidate_feature,usage,Y
w1_3,w1_3_max_day_share,candidate_feature,usage,Y
w1_3,w1_3_one_minute_watch_count,candidate_feature,usage,Y
w1_3,w1_3_short_watch_count_le5,candidate_feature,usage,Y
w1_3,w1_3_short_watch_time_le5,candidate_feature,usage,Y
w1_3,w1_3_content_has_watch_obs,candidate_feature,content,Y
w1_3,w1_3_genre_covered_watch_time,candidate_feature,content,Y
w1_3,w1_3_genre_missing_watch_time,candidate_feature,content,Y
w1_3,w1_3_genre_covered_watch_ratio,candidate_feature,content,Y
w1_3,w1_3_genre_missing_watch_ratio,candidate_feature,content,Y
w1_3,w1_3_genre_unique_count,candidate_feature,content,Y
w1_3,w1_3_top_genre,candidate_feature,content,Y
w1_3,w1_3_top_genre_watch_time,candidate_feature,content,Y
w1_3,w1_3_top_genre_watch_ratio,candidate_feature,content,Y
w1_3,w1_3_genre_entropy,candidate_feature,content,Y
w1_3,w1_3_genre_ratio_drama,candidate_feature,content,Y
w1_3,w1_3_genre_watch_time_drama,candidate_feature,content,Y
w1_3,w1_3_genre_session_count_drama,candidate_feature,content,Y
w1_3,w1_3_genre_ratio_thriller_crime,candidate_feature,content,Y
w1_3,w1_3_genre_watch_time_thriller_crime,candidate_feature,content,Y
w1_3,w1_3_genre_session_count_thriller_crime,candidate_feature,content,Y
