cluster_id,cluster_size,cluster_representative,feature,is_representative
1,8,has_content_feature,has_content_feature,True
1,8,has_content_feature,has_usage_feature,False
1,8,has_content_feature,has_watch_obs,False
1,8,has_content_feature,metadata_covered_watch_ratio,False
1,8,has_content_feature,no_content_feature_flag,False
1,8,has_content_feature,no_usage_feature_flag,False
1,8,has_content_feature,no_watch_obs_flag,False
1,8,has_content_feature,usable_metadata_watch_ratio,False
2,4,total_sessions,total_sessions,True
2,4,total_sessions,total_watch_time,False
2,4,total_sessions,unique_contents,False
2,4,total_sessions,unique_days,False
3,3,front_loaded_ratio,front_loaded_ratio,True
3,3,front_loaded_ratio,week1_ratio,False
3,3,front_loaded_ratio,week1_watch_time,False
4,3,late_ratio,late_ratio,True
4,3,late_ratio,week3_ratio,False
4,3,late_ratio,week3_watch_time,False
5,2,alloc_dur_코미디,alloc_dur_코미디,True
5,2,alloc_dur_코미디,tag_dur_코미디,False
6,2,daily_watch_slope,daily_watch_slope,True
6,2,daily_watch_slope,w3_minus_w1_watch_time,False
7,2,has_prior_churn_prevention_benefit,has_prior_churn_prevention_benefit,True
7,2,has_prior_churn_prevention_benefit,is_churn_prevented,False
8,2,is_100won,is_100won,True
8,2,is_100won,is_promotion,False
9,2,max_screen,max_screen,True
9,2,max_screen,screen_1_flag,False
10,2,promo_x_4screen,promo_x_4screen,True
10,2,promo_x_4screen,screen_4_flag,False
11,2,week2_ratio,week2_ratio,True
11,2,week2_ratio,week2_watch_time,False
