feature,exists_in_modeling,from_06_candidate_features,force_audit_feature
age,True,True,False
age_band,True,True,False
alloc_dur_코미디,True,True,False
alloc_ratio_액션,True,True,False
billing_method,True,True,False
country_entropy_norm,True,True,False
daily_watch_slope,True,True,False
days_since_last_watch_to_obs_end,True,True,False
discount_sensitive_risk,True,True,False
family_2screen_lifestyle,True,True,False
front_loaded_ratio,True,False,True
gender,True,True,False
has_content_feature,True,False,True
has_prior_churn_prevention_benefit,True,True,False
has_usage_feature,True,False,True
has_watch_obs,True,False,True
is_100won,True,True,True
is_churn_prevented,True,True,False
is_promotion,True,True,True
is_user_verified,True,True,False
late_ratio,True,False,True
max_screen,True,True,True
metadata_covered_watch_ratio,True,False,True
metadata_missing_watch_ratio,True,False,True
no_content_feature_flag,True,False,True
no_usage_feature_flag,True,False,True
no_watch_obs_flag,True,False,True
only_week1_flag,True,True,False
payment_device,True,True,False
premium_action_trial_risk,True,True,False
price,True,True,True
promo2_family_lifestyle_candidate,True,True,False
promo_x_1screen,True,True,True
promo_x_2screen,True,True,True
promo_x_4screen,True,True,True
rating_dur_국민학생관람불가,True,True,False
rating_ratio_12세,True,True,False
screen_1_flag,True,True,True
screen_2_flag,True,True,True
screen_4_flag,True,True,True
stable_2screen_active,True,True,False
tag_dur_코미디,True,True,False
total_sessions,True,True,False
total_watch_time,True,True,True
unique_contents,True,True,False
unique_days,True,True,False
usable_metadata_watch_ratio,True,False,True
w3_minus_w1_watch_time,True,True,False
week1_ratio,True,True,True
week1_watch_time,True,False,True
week2_ratio,True,False,True
week2_watch_time,True,False,True
week3_ratio,True,True,True
week3_watch_time,True,False,True
