window,feature_set,feature_family,model_name,model_group,contains_is_churn_prevented,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,balanced_accuracy_at_0_5_repurchase,precision_at_0_5_churn_risk,recall_at_0_5_churn_risk,f1_at_0_5_churn_risk,n_train,n_test,post_transform_feature_count
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content,LGBMClassifier,optional_booster,N,0.9037410062390436,0.9563479282288644,0.7669299908741294,0.788715413182983,0.7558139534883721,0.6637490882567469,0.7067961165048544,19156.0,4777.0,171.0
w1_4,membership_plus_usage_content_w1_4_with_churn_prevented,membership_plus_usage_content,LGBMClassifier,optional_booster,Y,0.9037410062390436,0.9563479282288644,0.7669299908741294,0.788715413182983,0.7558139534883721,0.6637490882567469,0.7067961165048544,19156.0,4777.0,172.0
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content,LGBMClassifier,optional_booster,N,0.8709384862941915,0.9426614976876069,0.70651480619259,0.7416602528767828,0.7208448117539027,0.5725747629467542,0.6382113821138211,19156.0,4777.0,166.0
w1_3,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content,LGBMClassifier,optional_booster,Y,0.8709384862941915,0.9426614976876069,0.70651480619259,0.7416602528767828,0.7208448117539027,0.5725747629467542,0.6382113821138211,19156.0,4777.0,167.0
w1_4,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage,LGBMClassifier,optional_booster,N,0.8600526037845431,0.931123567953031,0.692515458078892,0.7407083565150614,0.717948717948718,0.5718453683442742,0.6366220056841251,19156.0,4777.0,117.0
w1_4,membership_plus_usage_w1_4_with_churn_prevented,membership_plus_usage,LGBMClassifier,optional_booster,Y,0.8600526037845431,0.931123567953031,0.692515458078892,0.7407083565150614,0.717948717948718,0.5718453683442742,0.6366220056841251,19156.0,4777.0,118.0
w1_4,usage_w1_4_only,usage_only,LGBMClassifier,optional_booster,N,0.8508420160415416,0.9268730547842746,0.6811696612533868,0.7299945434602257,0.7152380952380952,0.5477753464624362,0.6204047914085089,19156.0,4777.0,32.0
w1_3,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage,HistGradientBoostingClassifier,required_sklearn,Y,0.8240664241633056,0.9162140263186189,0.6289201802198912,0.6894855176838574,0.6646279306829765,0.47556528081692195,0.5544217687074829,19156.0,4777.0,113.0
w1_3,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage,HistGradientBoostingClassifier,required_sklearn,N,0.8240664241633056,0.9162140263186189,0.6289201802198912,0.6894855176838574,0.6646279306829765,0.47556528081692195,0.5544217687074829,19156.0,4777.0,112.0
w1_3,usage_w1_3_only,usage_only,LGBMClassifier,optional_booster,N,0.813669445904233,0.9094552707831076,0.6167851427838504,0.683721458635017,0.6580578512396694,0.4646243617797228,0.5446772124839675,19156.0,4777.0,27.0
w1_4,content_w1_4_only,content_only,ExtraTreesClassifier,required_sklearn,N,0.8023637224908378,0.898790580541827,0.6341910634149747,0.7285893988083842,0.5610055180870631,0.6673960612691466,0.6095936042638241,19156.0,4777.0,54.0
w1_3,content_w1_3_only,content_only,ExtraTreesClassifier,required_sklearn,N,0.7737487970128657,0.8849226308766498,0.5877849046868492,0.6974770570491085,0.4980863860032805,0.6644784828592268,0.569375,19156.0,4777.0,54.0
w1_3,membership_only_without_churn_prevented,membership_only,LogisticRegression,required_sklearn,N,0.5736623232781384,0.7588930249904073,0.33519169042805236,0.557107357205909,0.3317307692307692,0.6039387308533917,0.42823894491854153,19156.0,4777.0,85.0
w1_4,membership_only_without_churn_prevented,membership_only,LogisticRegression,required_sklearn,N,0.5736623232781384,0.7588930249904073,0.33519169042805236,0.557107357205909,0.3317307692307692,0.6039387308533917,0.42823894491854153,19156.0,4777.0,85.0
w1_4,membership_only_with_churn_prevented,membership_only,LogisticRegression,required_sklearn,Y,0.5735914396570517,0.759429626303594,0.33583714346668264,0.5568137576756682,0.33146517213771015,0.6039387308533917,0.42801757560093046,19156.0,4777.0,86.0
w1_3,membership_only_with_churn_prevented,membership_only,LogisticRegression,required_sklearn,Y,0.5735914396570517,0.759429626303594,0.33583714346668264,0.5568137576756682,0.33146517213771015,0.6039387308533917,0.42801757560093046,19156.0,4777.0,86.0
