window,feature_set,feature_family,model_name,model_group,contains_is_churn_prevented,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,balanced_accuracy_at_0_5_repurchase,precision_at_0_5_churn_risk,recall_at_0_5_churn_risk,f1_at_0_5_churn_risk,n_train,n_test,post_transform_feature_count
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content,LGBMClassifier,optional_booster,N,0.9037410062390436,0.9563479282288644,0.7669299908741294,0.788715413182983,0.7558139534883721,0.6637490882567469,0.7067961165048544,19156.0,4777.0,171.0
w1_4,membership_plus_usage_content_w1_4_with_churn_prevented,membership_plus_usage_content,LGBMClassifier,optional_booster,Y,0.9037410062390436,0.9563479282288644,0.7669299908741294,0.788715413182983,0.7558139534883721,0.6637490882567469,0.7067961165048544,19156.0,4777.0,172.0
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content,HistGradientBoostingClassifier,required_sklearn,N,0.9030621510159486,0.9554138008773119,0.7662355446915633,0.7850592317243394,0.7483443708609272,0.6593727206418672,0.7010469174098488,19156.0,4777.0,171.0
w1_4,membership_plus_usage_content_w1_4_with_churn_prevented,membership_plus_usage_content,HistGradientBoostingClassifier,required_sklearn,Y,0.9030621510159486,0.9554138008773119,0.7662355446915633,0.7850592317243394,0.7483443708609272,0.6593727206418672,0.7010469174098488,19156.0,4777.0,172.0
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content,XGBClassifier,optional_booster,N,0.8935651377647804,0.9505630514258286,0.7413454945612542,0.7728682125720561,0.7352941176470589,0.6382202771699489,0.6833268254588052,19156.0,4777.0,171.0
w1_4,membership_plus_usage_content_w1_4_with_churn_prevented,membership_plus_usage_content,XGBClassifier,optional_booster,Y,0.8931508647587624,0.950811964519392,0.7403466613517666,0.7690974609101457,0.7460732984293194,0.6236323851203501,0.6793802145411204,19156.0,4777.0,172.0
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content,ExtraTreesClassifier,required_sklearn,N,0.8889831862337583,0.9500252342489715,0.7346706766710209,0.8062361953612559,0.6702944942381562,0.7636761487964989,0.713944766450733,19156.0,4777.0,171.0
w1_4,membership_plus_usage_content_w1_4_with_churn_prevented,membership_plus_usage_content,ExtraTreesClassifier,required_sklearn,Y,0.8883415930954643,0.9492410658894683,0.7328319603667921,0.8057957960658948,0.6690095846645367,0.7636761487964989,0.7132152588555858,19156.0,4777.0,172.0
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content,LogisticRegression,required_sklearn,N,0.8767387366782693,0.9440021010019072,0.7171940355721662,0.7962670886276546,0.6031659388646288,0.8059810357403355,0.6899781454886045,19156.0,4777.0,171.0
w1_4,membership_plus_usage_content_w1_4_with_churn_prevented,membership_plus_usage_content,LogisticRegression,required_sklearn,Y,0.8765597073512954,0.9439757528171382,0.7165292321514559,0.7970721852242556,0.6043715846994535,0.8067104303428154,0.6910340518587941,19156.0,4777.0,172.0
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content,LGBMClassifier,optional_booster,N,0.8709384862941915,0.9426614976876069,0.70651480619259,0.7416602528767828,0.7208448117539027,0.5725747629467542,0.6382113821138211,19156.0,4777.0,166.0
w1_3,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content,LGBMClassifier,optional_booster,Y,0.8709384862941915,0.9426614976876069,0.70651480619259,0.7416602528767828,0.7208448117539027,0.5725747629467542,0.6382113821138211,19156.0,4777.0,167.0
w1_3,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content,HistGradientBoostingClassifier,required_sklearn,Y,0.8704640371627193,0.9429893996359336,0.7046106053253485,0.7400500596835806,0.716376944190302,0.5711159737417943,0.635551948051948,19156.0,4777.0,167.0
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content,HistGradientBoostingClassifier,required_sklearn,N,0.8704640371627193,0.9429893996359336,0.7046106053253485,0.7400500596835806,0.716376944190302,0.5711159737417943,0.635551948051948,19156.0,4777.0,166.0
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content,XGBClassifier,optional_booster,N,0.8618984689566145,0.9377246594493879,0.6849704435575364,0.7272237648154263,0.7137367915465899,0.5419401896425966,0.6160862354892206,19156.0,4777.0,166.0
w1_4,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage,LGBMClassifier,optional_booster,N,0.8600526037845431,0.931123567953031,0.692515458078892,0.7407083565150614,0.717948717948718,0.5718453683442742,0.6366220056841251,19156.0,4777.0,117.0
w1_4,membership_plus_usage_w1_4_with_churn_prevented,membership_plus_usage,LGBMClassifier,optional_booster,Y,0.8600526037845431,0.931123567953031,0.692515458078892,0.7407083565150614,0.717948717948718,0.5718453683442742,0.6366220056841251,19156.0,4777.0,118.0
w1_3,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content,XGBClassifier,optional_booster,Y,0.8595539557129415,0.9363521622251828,0.6785323347214409,0.7186981355680305,0.7124378109452736,0.5222465353756383,0.6026936026936027,19156.0,4777.0,167.0
w1_4,membership_plus_usage_w1_4_with_churn_prevented,membership_plus_usage,HistGradientBoostingClassifier,required_sklearn,Y,0.8585621203925111,0.9301854076993323,0.6879351326934339,0.7352378969964619,0.7140204271123491,0.5609044493070752,0.6282679738562091,19156.0,4777.0,118.0
w1_4,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage,HistGradientBoostingClassifier,required_sklearn,N,0.8585621203925111,0.9301854076993323,0.6879351326934339,0.7352378969964619,0.7140204271123491,0.5609044493070752,0.6282679738562091,19156.0,4777.0,117.0
w1_4,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage,XGBClassifier,optional_booster,N,0.8536196474835458,0.9287739929927922,0.682767014221597,0.7213267186708314,0.7162698412698413,0.5266229029905178,0.6069777217318201,19156.0,4777.0,117.0
w1_3,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content,ExtraTreesClassifier,required_sklearn,Y,0.8535472648130706,0.9347880552479311,0.6694308347926858,0.7700411125002302,0.5955581531268265,0.7432530999270606,0.6612589227774173,19156.0,4777.0,167.0
w1_4,membership_plus_usage_w1_4_with_churn_prevented,membership_plus_usage,XGBClassifier,optional_booster,Y,0.8531970226309344,0.9283976072065832,0.6819380954746576,0.7240974973156309,0.7177974434611603,0.5324580598103574,0.6113902847571189,19156.0,4777.0,118.0
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content,ExtraTreesClassifier,required_sklearn,N,0.8520987548039181,0.9334022315381291,0.6699312773904674,0.7679997284579108,0.5944835680751174,0.7388767323121809,0.6588617886178861,19156.0,4777.0,166.0
w1_4,usage_w1_4_only,usage_only,LGBMClassifier,optional_booster,N,0.8508420160415416,0.9268730547842746,0.6811696612533868,0.7299945434602257,0.7152380952380952,0.5477753464624362,0.6204047914085089,19156.0,4777.0,32.0
w1_4,usage_w1_4_only,usage_only,HistGradientBoostingClassifier,required_sklearn,N,0.8498337982527937,0.9257338627452841,0.6814753770679075,0.7291183490926254,0.7140133460438512,0.5463165572574763,0.6190082644628099,19156.0,4777.0,32.0
