window,feature_family,best_model_name,best_feature_set,best_roc_auc_repurchase,delta_from_previous_family,previous_family,largest_auc_jump_flag
w1_3,membership_only,LogisticRegression,membership_only_without_churn_prevented,0.5736623232781384,,,N
w1_3,usage_only,LGBMClassifier,usage_w1_3_only,0.813669445904233,0.24000712262609458,membership_only,N
w1_3,content_only,ExtraTreesClassifier,content_w1_3_only,0.7737487970128657,-0.03992064889136726,usage_only,N
w1_3,membership_plus_usage,HistGradientBoostingClassifier,membership_plus_usage_w1_3_with_churn_prevented,0.8240664241633056,0.05031762715043986,content_only,N
w1_3,membership_plus_usage_content,LGBMClassifier,membership_plus_usage_content_w1_3_with_churn_prevented,0.8709384862941915,0.046872062130885905,membership_plus_usage,N
w1_4,membership_only,LogisticRegression,membership_only_without_churn_prevented,0.5736623232781384,,,N
w1_4,usage_only,LGBMClassifier,usage_w1_4_only,0.8508420160415416,0.27717969276340326,membership_only,Y
w1_4,content_only,ExtraTreesClassifier,content_w1_4_only,0.8023637224908378,-0.04847829355070388,usage_only,N
w1_4,membership_plus_usage,LGBMClassifier,membership_plus_usage_w1_4_with_churn_prevented,0.8600526037845431,0.05768888129370531,content_only,N
w1_4,membership_plus_usage_content,LGBMClassifier,membership_plus_usage_content_w1_4_with_churn_prevented,0.9037410062390436,0.04368840245450056,membership_plus_usage,N
