feature_set_name,window,model,train_test_USER_KEY_overlap
full_exploratory_w1_1,w1_1,LogisticRegression,0
full_exploratory_w1_1,w1_1,HistGradientBoostingClassifier,0
full_exploratory_w1_1,w1_1,ExtraTreesClassifier,0
full_exploratory_w1_2,w1_2,LogisticRegression,0
full_exploratory_w1_2,w1_2,HistGradientBoostingClassifier,0
full_exploratory_w1_2,w1_2,ExtraTreesClassifier,0
full_exploratory_w1_3,w1_3,LogisticRegression,0
full_exploratory_w1_3,w1_3,HistGradientBoostingClassifier,0
full_exploratory_w1_3,w1_3,ExtraTreesClassifier,0
full_exploratory_w1_4_late_period,w1_4,LogisticRegression,0
full_exploratory_w1_4_late_period,w1_4,HistGradientBoostingClassifier,0
full_exploratory_w1_4_late_period,w1_4,ExtraTreesClassifier,0
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,LogisticRegression,0
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,0
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,ExtraTreesClassifier,0
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,LogisticRegression,0
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,0
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,ExtraTreesClassifier,0
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,LogisticRegression,0
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,0
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,ExtraTreesClassifier,0
pruned_w1_2_early_reference_without_product_code_without_watch_presence,w1_2,LogisticRegression,0
pruned_w1_2_early_reference_without_product_code_without_watch_presence,w1_2,HistGradientBoostingClassifier,0
pruned_w1_2_early_reference_without_product_code_without_watch_presence,w1_2,ExtraTreesClassifier,0
pruned_w1_4_late_period_comparison_without_product_code_without_watch_presence,w1_4,LogisticRegression,0
pruned_w1_4_late_period_comparison_without_product_code_without_watch_presence,w1_4,HistGradientBoostingClassifier,0
pruned_w1_4_late_period_comparison_without_product_code_without_watch_presence,w1_4,ExtraTreesClassifier,0
