feature_set_name,window,model,n_train,n_test,train_repurchase_rate,test_repurchase_rate
full_exploratory_w1_1,w1_1,LogisticRegression,18490,4625,0.719902650081125,0.7091891891891892
full_exploratory_w1_1,w1_1,HistGradientBoostingClassifier,18490,4625,0.719902650081125,0.7091891891891892
full_exploratory_w1_1,w1_1,ExtraTreesClassifier,18490,4625,0.719902650081125,0.7091891891891892
full_exploratory_w1_2,w1_2,LogisticRegression,18490,4625,0.719902650081125,0.7091891891891892
full_exploratory_w1_2,w1_2,HistGradientBoostingClassifier,18490,4625,0.719902650081125,0.7091891891891892
full_exploratory_w1_2,w1_2,ExtraTreesClassifier,18490,4625,0.719902650081125,0.7091891891891892
full_exploratory_w1_3,w1_3,LogisticRegression,18490,4625,0.719902650081125,0.7091891891891892
full_exploratory_w1_3,w1_3,HistGradientBoostingClassifier,18490,4625,0.719902650081125,0.7091891891891892
full_exploratory_w1_3,w1_3,ExtraTreesClassifier,18490,4625,0.719902650081125,0.7091891891891892
full_exploratory_w1_4_late_period,w1_4,LogisticRegression,18490,4625,0.719902650081125,0.7091891891891892
full_exploratory_w1_4_late_period,w1_4,HistGradientBoostingClassifier,18490,4625,0.719902650081125,0.7091891891891892
full_exploratory_w1_4_late_period,w1_4,ExtraTreesClassifier,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,LogisticRegression,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,ExtraTreesClassifier,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,LogisticRegression,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,ExtraTreesClassifier,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,LogisticRegression,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,ExtraTreesClassifier,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_2_early_reference_without_product_code_without_watch_presence,w1_2,LogisticRegression,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_2_early_reference_without_product_code_without_watch_presence,w1_2,HistGradientBoostingClassifier,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_2_early_reference_without_product_code_without_watch_presence,w1_2,ExtraTreesClassifier,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_4_late_period_comparison_without_product_code_without_watch_presence,w1_4,LogisticRegression,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_4_late_period_comparison_without_product_code_without_watch_presence,w1_4,HistGradientBoostingClassifier,18490,4625,0.719902650081125,0.7091891891891892
pruned_w1_4_late_period_comparison_without_product_code_without_watch_presence,w1_4,ExtraTreesClassifier,18490,4625,0.719902650081125,0.7091891891891892
