feature_name,family,type,missing_rate,unique_count,included_in_primary_model,top_shap_rank,mean_abs_shap,interpretation_note
price,membership,numeric,0.0,38,Y,4,0.1917705478724465,Group with related structural features if highly correlated or derived.
product_code,membership,categorical,0.0,60,Y,32,0.0263251135982198,Group with related structural features if highly correlated or derived.
max_screen,membership,numeric,0.003091965069151381,4,Y,22,0.065080936548259,Group with related structural features if highly correlated or derived.
is_promotion,membership,categorical,0.4917060126185602,1,Y,91,0.0,Group with related structural features if highly correlated or derived.
is_user_verified,membership,categorical,0.0320895834203819,2,Y,34,0.0253574520503835,Group with related structural features if highly correlated or derived.
gender,membership,categorical,0.008482012284293653,3,Y,65,0.0039770598753019,Group with related structural features if highly correlated or derived.
age,membership,numeric,0.008482012284293653,21,Y,50,0.0077498121325049,Group with related structural features if highly correlated or derived.
payment_device,membership,categorical,0.0,10,Y,53,0.0071394568770738,Group with related structural features if highly correlated or derived.
billing_method,membership,numeric,0.0,10,Y,73,0.0012436690402955,Group with related structural features if highly correlated or derived.
w1_3_has_watch_obs,usage,boolean,0.0,2,Y,144,0.0,Group with related structural features if highly correlated or derived.
w1_3_no_watch_obs_flag,usage,boolean,0.0,2,Y,143,0.0,Group with related structural features if highly correlated or derived.
w1_3_total_watch_time,usage,numeric,0.0,1553,Y,29,0.0300907716019506,Group with related structural features if highly correlated or derived.
w1_3_total_sessions,usage,numeric,0.0,61,Y,77,0.00089627647196,Group with related structural features if highly correlated or derived.
w1_3_unique_contents,usage,numeric,0.0,42,Y,62,0.0043108254555931,Group with related structural features if highly correlated or derived.
w1_3_unique_watch_days,usage,numeric,0.0,20,Y,63,0.0042940900260431,Group with related structural features if highly correlated or derived.
w1_3_avg_watch_time_per_session,usage,numeric,0.0,5346,Y,18,0.082452738365414,Group with related structural features if highly correlated or derived.
w1_3_sessions_per_active_day,usage,numeric,0.0,241,Y,58,0.0049271126538452,Group with related structural features if highly correlated or derived.
w1_3_active_span_days,usage,numeric,0.0,22,Y,26,0.0488356005395315,Group with related structural features if highly correlated or derived.
w1_3_first_watch_rel_day,usage,numeric,0.06259140099444283,21,Y,5,0.1738880203905324,Group with related structural features if highly correlated or derived.
w1_3_last_watch_rel_day,usage,numeric,0.06259140099444283,21,Y,13,0.0924686080166058,Group with related structural features if highly correlated or derived.
w1_3_week1_watch_time,usage,numeric,0.0,863,Y,38,0.0157627700382605,Group with related structural features if highly correlated or derived.
w1_3_week2_watch_time,usage,numeric,0.0,859,Y,28,0.0442396255948881,Group with related structural features if highly correlated or derived.
w1_3_week3_watch_time,usage,numeric,0.0,845,Y,1,0.6197008105835925,Group with related structural features if highly correlated or derived.
w1_3_week1_sessions,usage,numeric,0.0,37,Y,52,0.0072694340720925,Group with related structural features if highly correlated or derived.
w1_3_week2_sessions,usage,numeric,0.0,36,Y,54,0.0064420320232905,Group with related structural features if highly correlated or derived.
w1_3_week3_sessions,usage,numeric,0.0,37,Y,20,0.0752554623068768,Group with related structural features if highly correlated or derived.
w1_3_week1_ratio,usage,numeric,0.0,10087,Y,3,0.2271942557578525,Group with related structural features if highly correlated or derived.
w1_3_week2_ratio,usage,numeric,0.0,10324,Y,19,0.0778312643183661,Group with related structural features if highly correlated or derived.
w1_3_week3_ratio,usage,numeric,0.0,10129,Y,11,0.1088529268431624,Group with related structural features if highly correlated or derived.
w1_3_w2_minus_w1_watch_time,usage,numeric,0.0,1390,Y,2,0.2647630997593521,Group with related structural features if highly correlated or derived.
w1_3_w3_minus_w1_watch_time,usage,numeric,0.0,1493,Y,12,0.102541538997512,Group with related structural features if highly correlated or derived.
w1_3_max_daily_watch_time,usage,numeric,0.0,643,Y,17,0.0832244467348795,Group with related structural features if highly correlated or derived.
w1_3_max_day_share,usage,numeric,0.0,12202,Y,24,0.0551020486274181,Group with related structural features if highly correlated or derived.
w1_3_one_minute_watch_count,usage,numeric,0.0,33,Y,69,0.0025466494955258,Group with related structural features if highly correlated or derived.
w1_3_short_watch_count_le5,usage,numeric,0.0,38,Y,44,0.0112212321906517,Group with related structural features if highly correlated or derived.
w1_3_short_watch_time_le5,usage,numeric,0.0,56,Y,39,0.0146095798262026,Group with related structural features if highly correlated or derived.
w1_3_content_has_watch_obs,content,boolean,0.0,2,Y,125,0.0,Group with related structural features if highly correlated or derived.
w1_3_genre_covered_watch_time,genre,numeric,0.0,1553,Y,141,0.0,Group with related structural features if highly correlated or derived.
w1_3_genre_missing_watch_time,genre,boolean,0.0,1,Y,140,0.0,Group with related structural features if highly correlated or derived.
w1_3_genre_covered_watch_ratio,genre,boolean,0.0,2,Y,139,0.0,Group with related structural features if highly correlated or derived.
w1_3_genre_missing_watch_ratio,genre,boolean,0.0,1,Y,142,0.0,Group with related structural features if highly correlated or derived.
w1_3_genre_unique_count,genre,numeric,0.0,12,Y,16,0.0846906631770076,Group with related structural features if highly correlated or derived.
w1_3_top_genre,genre,categorical,0.06259140099444283,11,Y,30,0.0298433802035382,Group with related structural features if highly correlated or derived.
w1_3_top_genre_watch_time,genre,numeric,0.0,942,Y,40,0.0135417820129679,Group with related structural features if highly correlated or derived.
w1_3_top_genre_watch_ratio,genre,numeric,0.0,11728,Y,36,0.0213460286562899,Group with related structural features if highly correlated or derived.
w1_3_genre_entropy,genre,numeric,0.0,15132,Y,49,0.008633633758064,Group with related structural features if highly correlated or derived.
w1_3_genre_ratio_drama,genre,numeric,0.0,8211,Y,8,0.1136789472675908,Group with related structural features if highly correlated or derived.
w1_3_genre_watch_time_drama,genre,numeric,0.0,636,Y,23,0.0560247373929157,Group with related structural features if highly correlated or derived.
w1_3_genre_session_count_drama,genre,numeric,0.0,22,Y,9,0.1099604910201125,Group with related structural features if highly correlated or derived.
w1_3_genre_ratio_thriller_crime,genre,numeric,0.0,6744,Y,6,0.1649266467667552,Group with related structural features if highly correlated or derived.
w1_3_genre_watch_time_thriller_crime,genre,numeric,0.0,544,Y,57,0.0050276160445191,Group with related structural features if highly correlated or derived.
w1_3_genre_session_count_thriller_crime,genre,numeric,0.0,21,Y,27,0.0469996792481793,Group with related structural features if highly correlated or derived.
w1_3_genre_ratio_sf_fantasy,genre,numeric,0.0,5349,Y,37,0.0174709212744376,Group with related structural features if highly correlated or derived.
w1_3_genre_watch_time_sf_fantasy,genre,numeric,0.0,684,Y,68,0.0025685462079548,Group with related structural features if highly correlated or derived.
w1_3_genre_session_count_sf_fantasy,genre,numeric,0.0,27,Y,45,0.0109358081452046,Group with related structural features if highly correlated or derived.
w1_3_genre_ratio_action_adventure,genre,numeric,0.0,6179,Y,10,0.109490557171211,Group with related structural features if highly correlated or derived.
w1_3_genre_watch_time_action_adventure,genre,numeric,0.0,519,Y,61,0.0044223513087343,Group with related structural features if highly correlated or derived.
w1_3_genre_session_count_action_adventure,genre,numeric,0.0,21,Y,25,0.0498434435720556,Group with related structural features if highly correlated or derived.
w1_3_genre_ratio_animation_family,genre,numeric,0.0,4160,Y,7,0.1270533185837299,Group with related structural features if highly correlated or derived.
w1_3_genre_watch_time_animation_family,genre,numeric,0.0,603,Y,21,0.0652122147130651,Group with related structural features if highly correlated or derived.
w1_3_genre_session_count_animation_family,genre,numeric,0.0,34,Y,46,0.0103953987490964,Group with related structural features if highly correlated or derived.
w1_3_genre_ratio_romance,genre,numeric,0.0,5518,Y,14,0.0920390116800067,Group with related structural features if highly correlated or derived.
w1_3_genre_watch_time_romance,genre,numeric,0.0,500,Y,15,0.0863500757975354,Group with related structural features if highly correlated or derived.
w1_3_genre_session_count_romance,genre,numeric,0.0,23,Y,35,0.021600980576815,Group with related structural features if highly correlated or derived.
w1_3_genre_ratio_comedy,genre,numeric,0.0,5567,Y,67,0.002640948744161,Group with related structural features if highly correlated or derived.
w1_3_genre_watch_time_comedy,genre,numeric,0.0,450,Y,56,0.0053866731150454,Group with related structural features if highly correlated or derived.
w1_3_genre_session_count_comedy,genre,numeric,0.0,15,Y,60,0.0046292079948573,Group with related structural features if highly correlated or derived.
w1_3_genre_ratio_historical_war,genre,numeric,0.0,4318,Y,66,0.0030414259697851,Group with related structural features if highly correlated or derived.
w1_3_genre_watch_time_historical_war,genre,numeric,0.0,531,Y,59,0.0046428992088896,Group with related structural features if highly correlated or derived.
w1_3_genre_session_count_historical_war,genre,numeric,0.0,20,Y,72,0.0018132758725042,Group with related structural features if highly correlated or derived.
w1_3_genre_ratio_horror,genre,numeric,0.0,2382,Y,31,0.0272724867946542,Group with related structural features if highly correlated or derived.
w1_3_genre_watch_time_horror,genre,numeric,0.0,326,Y,42,0.0123706001816714,Group with related structural features if highly correlated or derived.
w1_3_genre_session_count_horror,genre,numeric,0.0,17,Y,41,0.0131037494537157,Group with related structural features if highly correlated or derived.
w1_3_genre_ratio_other,genre,numeric,0.0,1956,Y,43,0.0118295733397473,Group with related structural features if highly correlated or derived.
w1_3_genre_watch_time_other,genre,numeric,0.0,285,Y,64,0.0042327329331892,Group with related structural features if highly correlated or derived.
w1_3_genre_session_count_other,genre,numeric,0.0,20,Y,82,0.0003136785346156,Group with related structural features if highly correlated or derived.
w1_3_release_month_covered_watch_ratio,release_month,boolean,0.0,2,Y,135,0.0,Group with related structural features if highly correlated or derived.
w1_3_avg_ott_release_month_weighted,release_month,numeric,0.06259140099444283,18115,Y,33,0.0255028862033178,Group with related structural features if highly correlated or derived.
w1_3_recent_content_watch_ratio,release_month,numeric,0.0,6962,Y,55,0.0060937218915885,Group with related structural features if highly correlated or derived.
w1_3_old_content_watch_ratio,release_month,numeric,0.0,8295,Y,48,0.0089711822606283,Group with related structural features if highly correlated or derived.
