window,feature_set,include_is_churn_prevented,model,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,accuracy,balanced_accuracy,precision_churn_at_0_5,recall_churn_at_0_5,f1_churn_at_0_5,n_train,n_test,train_positive_rate,test_positive_rate,feature_count,post_transform_feature_count,train_test_USER_KEY_overlap
w1_1,membership_only_without_churn_prevented,N,LogisticRegression,0.573793704249548,0.7587431825446153,0.3356819783096503,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,9,85,0
w1_1,membership_only_without_churn_prevented,N,HistGradientBoostingClassifier,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,9,85,0
w1_1,membership_only_with_churn_prevented,Y,LogisticRegression,0.5734523492887867,0.7587639739532402,0.33537043714257675,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,10,86,0
w1_1,membership_only_with_churn_prevented,Y,HistGradientBoostingClassifier,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,10,86,0
w1_1,membership_plus_usage_only_without_churn_prevented,N,LogisticRegression,0.5928723199673807,0.7818150752848391,0.35346270538686836,0.7125811178563952,0.49992429800587884,0.25,0.0007293946024799417,0.0014545454545454545,19156,4777,0.721445,0.713,28,104,0
w1_1,membership_plus_usage_only_without_churn_prevented,N,HistGradientBoostingClassifier,0.5974773996889686,0.7789830743270094,0.35393485416469556,0.7090223989951853,0.5017866527212244,0.3442622950819672,0.015317286652078774,0.029329608938547486,19156,4777,0.721445,0.713,28,104,0
w1_1,membership_plus_usage_only_with_churn_prevented,Y,LogisticRegression,0.59268911471711,0.7818261492810796,0.35336843376397276,0.7127904542599958,0.5002889953071188,0.4,0.0014587892049598833,0.0029069767441860465,19156,4777,0.721445,0.713,29,105,0
w1_1,membership_plus_usage_only_with_churn_prevented,Y,HistGradientBoostingClassifier,0.5974773996889686,0.7789830743270094,0.35393485416469556,0.7090223989951853,0.5017866527212244,0.3442622950819672,0.015317286652078774,0.029329608938547486,19156,4777,0.721445,0.713,29,105,0
w1_1,membership_plus_usage_content_without_churn_prevented,N,LogisticRegression,0.6204855592289404,0.7929325245936697,0.38435438713455355,0.7153024911032029,0.5203539855226094,0.5341614906832298,0.06272793581327499,0.1122715404699739,19156,4777,0.721445,0.713,72,159,0
w1_1,membership_plus_usage_content_without_churn_prevented,N,HistGradientBoostingClassifier,0.6261327995004311,0.7946024516551551,0.40111202508679394,0.7184425371572116,0.5253886499689696,0.5755813953488372,0.07221006564551423,0.12832145171743356,19156,4777,0.721445,0.713,72,159,0
w1_1,membership_plus_usage_content_with_churn_prevented,Y,LogisticRegression,0.6205902785362254,0.7931833781233215,0.3840017957192735,0.7148838182960017,0.5196245909201294,0.5283018867924528,0.061269146608315096,0.10980392156862745,19156,4777,0.721445,0.713,73,160,0
w1_1,membership_plus_usage_content_with_churn_prevented,Y,HistGradientBoostingClassifier,0.6261327995004311,0.7946024516551551,0.40111202508679394,0.7184425371572116,0.5253886499689696,0.5755813953488372,0.07221006564551423,0.12832145171743356,19156,4777,0.721445,0.713,73,160,0
w1_1,usage_only,N,LogisticRegression,0.5588671341130961,0.7492262257595786,0.3279822896503116,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,19,19,0
w1_1,usage_only,N,HistGradientBoostingClassifier,0.5745779212296659,0.760178712021327,0.3447260194208874,0.7140464726815994,0.5068351298369506,0.5490196078431373,0.020423048869438368,0.03938115330520394,19156,4777,0.721445,0.713,19,19,0
