feature_a,feature_b,corr,abs_corr,threshold,feature_set_name,method
w1_3_week1_watch_time,w1_3_week1_sessions,0.9091318093175785,0.9091318093175785,0.8,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,spearman
w1_3_week2_watch_time,w1_3_week2_sessions,0.9116551164522333,0.9116551164522333,0.8,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,spearman
w1_3_week3_watch_time,w1_3_week3_sessions,0.9076505546274519,0.9076505546274519,0.8,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,spearman
w1_3_unique_contents,w1_3_unique_watch_days,0.8227736517847679,0.8227736517847679,0.8,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,spearman
w1_3_unique_contents,w1_3_genre_entropy,0.8389781961226164,0.8389781961226164,0.8,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,spearman
w1_3_week1_watch_time,w1_3_week1_sessions,0.9091318093175785,0.9091318093175785,0.8,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,spearman
w1_3_week2_watch_time,w1_3_week2_sessions,0.9116551164522333,0.9116551164522333,0.8,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,spearman
w1_3_week3_watch_time,w1_3_week3_sessions,0.9076505546274519,0.9076505546274519,0.8,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,spearman
w1_3_unique_contents,w1_3_unique_watch_days,0.8227736517847679,0.8227736517847679,0.8,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,spearman
w1_3_week1_watch_time,w1_3_week1_sessions,0.9091318093175785,0.9091318093175785,0.8,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,spearman
w1_3_week2_watch_time,w1_3_week2_sessions,0.9116551164522333,0.9116551164522333,0.8,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,spearman
w1_3_week3_watch_time,w1_3_week3_sessions,0.9076505546274519,0.9076505546274519,0.8,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,spearman
w1_3_unique_contents,w1_3_unique_watch_days,0.8227736517847679,0.8227736517847679,0.8,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,spearman
w1_3_unique_contents,w1_3_genre_entropy,0.8389781961226164,0.8389781961226164,0.8,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,spearman
w1_3_week1_watch_time,w1_3_week1_sessions,0.9091318093175785,0.9091318093175785,0.8,pruned_w1_3_timing_sensitive_all_weeks_reference,spearman
w1_3_week2_watch_time,w1_3_week2_sessions,0.9116551164522333,0.9116551164522333,0.8,pruned_w1_3_timing_sensitive_all_weeks_reference,spearman
w1_3_week3_watch_time,w1_3_week3_sessions,0.9076505546274519,0.9076505546274519,0.8,pruned_w1_3_timing_sensitive_all_weeks_reference,spearman
w1_3_unique_contents,w1_3_unique_watch_days,0.8227736517847679,0.8227736517847679,0.8,pruned_w1_3_timing_sensitive_all_weeks_reference,spearman
w1_3_unique_contents,w1_3_genre_entropy,0.8389781961226164,0.8389781961226164,0.8,pruned_w1_3_timing_sensitive_all_weeks_reference,spearman
w1_3_week1_watch_time,w1_3_week1_sessions,0.9091318093175785,0.9091318093175785,0.8,pruned_w1_3_early_safer_week1_2_reference,spearman
w1_3_week2_watch_time,w1_3_week2_sessions,0.9116551164522333,0.9116551164522333,0.8,pruned_w1_3_early_safer_week1_2_reference,spearman
w1_3_unique_contents,w1_3_unique_watch_days,0.8227736517847679,0.8227736517847679,0.8,pruned_w1_3_early_safer_week1_2_reference,spearman
w1_4_week1_watch_time,w1_4_week1_sessions,0.9091318093175785,0.9091318093175785,0.8,pruned_w1_4_late_period_comparison,spearman
w1_4_week2_watch_time,w1_4_week2_sessions,0.9116551164522333,0.9116551164522333,0.8,pruned_w1_4_late_period_comparison,spearman
w1_4_week3_watch_time,w1_4_week3_sessions,0.9076505546274519,0.9076505546274519,0.8,pruned_w1_4_late_period_comparison,spearman
w1_4_week4_watch_time,w1_4_week4_sessions,0.9887994894848898,0.9887994894848898,0.8,pruned_w1_4_late_period_comparison,spearman
w1_4_unique_contents,w1_4_unique_watch_days,0.8009339677669562,0.8009339677669562,0.8,pruned_w1_4_late_period_comparison,spearman
w1_4_unique_contents,w1_4_genre_entropy,0.8247153868422917,0.8247153868422917,0.8,pruned_w1_4_late_period_comparison,spearman
