model_role,window,model_name,transformed_feature,original_feature,feature_family,mean_abs_shap,mean_shap,shap_output_basis,score_direction_note
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_week3_watch_time,w1_3_week3_watch_time,usage,0.6197008105835925,-0.14727503693252725,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_w2_minus_w1_watch_time,w1_3_w2_minus_w1_watch_time,usage,0.26476309975935214,-0.056077312314578624,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_week1_ratio,w1_3_week1_ratio,usage,0.22719425575785251,-0.010085925449658792,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__price,price,membership,0.19177054787244655,-0.0032476060192167485,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_first_watch_rel_day,w1_3_first_watch_rel_day,usage,0.17388802039053242,-0.033503122365044435,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_ratio_thriller_crime,w1_3_genre_ratio_thriller_crime,genre,0.16492664676675522,-0.035036409197673035,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_ratio_animation_family,w1_3_genre_ratio_animation_family,genre,0.1270533185837299,-0.022324524830606565,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_ratio_drama,w1_3_genre_ratio_drama,genre,0.11367894726759088,-0.019438322517167636,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_session_count_drama,w1_3_genre_session_count_drama,genre,0.1099604910201125,-0.012172942477405522,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_ratio_action_adventure,w1_3_genre_ratio_action_adventure,genre,0.10949055717121109,-0.003745431759112838,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_week3_ratio,w1_3_week3_ratio,usage,0.10885292684316245,0.00048780073798329273,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_w3_minus_w1_watch_time,w1_3_w3_minus_w1_watch_time,usage,0.10254153899751207,-0.016628159370443367,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_last_watch_rel_day,w1_3_last_watch_rel_day,usage,0.09246860801660584,0.0014502760415537874,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_ratio_romance,w1_3_genre_ratio_romance,genre,0.09203901168000672,-0.00953739205499872,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_watch_time_romance,w1_3_genre_watch_time_romance,genre,0.08635007579753541,-0.0008614966760553552,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_unique_count,w1_3_genre_unique_count,genre,0.08469066317700769,-0.002524195583228229,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_max_daily_watch_time,w1_3_max_daily_watch_time,usage,0.08322444673487951,-0.007624545419307748,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_avg_watch_time_per_session,w1_3_avg_watch_time_per_session,usage,0.08245273836541406,-0.010142255145114278,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_week2_ratio,w1_3_week2_ratio,usage,0.07783126431836616,0.0076111866504527574,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_week3_sessions,w1_3_week3_sessions,usage,0.07525546230687682,-0.006432924429835936,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_watch_time_animation_family,w1_3_genre_watch_time_animation_family,genre,0.06521221471306515,-0.00550066465868832,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__max_screen,max_screen,membership,0.06508093654825903,-0.002198476024517586,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_watch_time_drama,w1_3_genre_watch_time_drama,genre,0.056024737392915795,-0.0071863106761805556,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_max_day_share,w1_3_max_day_share,usage,0.05510204862741818,-0.01644683832923823,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_session_count_action_adventure,w1_3_genre_session_count_action_adventure,genre,0.04984344357205565,-0.00264786019015139,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_active_span_days,w1_3_active_span_days,usage,0.04883560053953155,5.897985316771532e-05,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_session_count_thriller_crime,w1_3_genre_session_count_thriller_crime,genre,0.04699967924817934,-0.002113838197043006,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_week2_watch_time,w1_3_week2_watch_time,usage,0.04423962559488817,-0.008695412639038261,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_total_watch_time,w1_3_total_watch_time,usage,0.030090771601950637,0.0017479832539497183,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,cat__w1_3_top_genre_Drama,w1_3_top_genre,genre,0.029843380203538248,-0.008570327257779092,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,num__w1_3_genre_ratio_horror,w1_3_genre_ratio_horror,genre,0.027272486794654247,-0.00338925179997109,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
primary_conservative,w1_3,HistGradientBoostingClassifier,cat__product_code_pk_1487,product_code,membership,0.02632511359821987,0.00038710191335904746,model_margin_for_repurchase_class,positive SHAP pushes toward higher repurchase margin; negative SHAP implies higher churn risk
