membership_row_id,case_type,rank,feature,feature_family,shap_value_toward_repurchase_margin,abs_shap,direction_for_churn_risk,base_value
3488,high_risk_true_N,1,w1_3_week3_watch_time,usage,-0.6753527283707975,0.6753527283707975,higher_churn_risk,1.4577133930084667
3488,high_risk_true_N,2,w1_3_genre_ratio_horror,genre,-0.3597413553888363,0.3597413553888363,higher_churn_risk,1.4577133930084667
3488,high_risk_true_N,3,w1_3_first_watch_rel_day,usage,-0.32065940472120724,0.32065940472120724,higher_churn_risk,1.4577133930084667
3488,high_risk_true_N,4,w1_3_w2_minus_w1_watch_time,usage,-0.2970478019119739,0.2970478019119739,higher_churn_risk,1.4577133930084667
3488,high_risk_true_N,5,price,membership,-0.18604831269817224,0.18604831269817224,higher_churn_risk,1.4577133930084667
3488,high_risk_true_N,6,w1_3_genre_watch_time_horror,genre,-0.18273188765981696,0.18273188765981696,higher_churn_risk,1.4577133930084667
3488,high_risk_true_N,7,w1_3_week1_ratio,usage,0.15924338740294777,0.15924338740294777,lower_churn_risk,1.4577133930084667
3488,high_risk_true_N,8,w1_3_genre_ratio_animation_family,genre,-0.14392104336352568,0.14392104336352568,higher_churn_risk,1.4577133930084667
3488,high_risk_true_N,9,w1_3_max_daily_watch_time,usage,-0.14033308161477767,0.14033308161477767,higher_churn_risk,1.4577133930084667
3488,high_risk_true_N,10,w1_3_genre_session_count_drama,genre,-0.12641662676628973,0.12641662676628973,higher_churn_risk,1.4577133930084667
11369,high_risk_true_N,1,w1_3_genre_ratio_thriller_crime,genre,-0.6382109559390339,0.6382109559390339,higher_churn_risk,1.4577133930084667
11369,high_risk_true_N,2,w1_3_week3_watch_time,usage,-0.6343317800677232,0.6343317800677232,higher_churn_risk,1.4577133930084667
11369,high_risk_true_N,3,w1_3_w2_minus_w1_watch_time,usage,-0.25429621595668034,0.25429621595668034,higher_churn_risk,1.4577133930084667
11369,high_risk_true_N,4,w1_3_week1_ratio,usage,-0.20798719910332106,0.20798719910332106,higher_churn_risk,1.4577133930084667
11369,high_risk_true_N,5,w1_3_first_watch_rel_day,usage,-0.16630373209853125,0.16630373209853125,higher_churn_risk,1.4577133930084667
11369,high_risk_true_N,6,price,membership,-0.1537585211206098,0.1537585211206098,higher_churn_risk,1.4577133930084667
