final_segment_key,final_segment_name_ko,scenario,n,observed_churn_rate,baseline_churners,reachable_rate_assumption,treatment_rate_assumption,response_rate_assumption,incremental_retention_lift_assumption,cost_per_contact_assumption,gross_margin_per_retained_user_assumption,contact_fatigue_penalty_rate_assumption,max_contact_capacity_assumption,capacity_cap_applied,reachable_users,treated_users,expected_responders,treated_expected_churners,incremental_retained_users,post_action_churners,post_action_churn_rate,churn_rate_reduction_pp,campaign_cost,gross_retention_value,net_value,roi,financial_status,assumption_source
top_decile_high_churn_risk,최상위 이탈위험군,low,478.0,0.7845188284518828,375.0,0.85,0.85,0.12,0.01,,,0.02,,N,406.3,345.355,41.4426,270.9375,3.4535500000000003,371.54645,0.7772938284518829,0.007224999999999926,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
top_decile_high_churn_risk,최상위 이탈위험군,base,478.0,0.7845188284518828,375.0,0.85,0.85,0.12,0.03,,,0.02,,N,406.3,345.355,41.4426,270.9375,10.36065,364.63935,0.7628438284518828,0.021675,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
top_decile_high_churn_risk,최상위 이탈위험군,high,478.0,0.7845188284518828,375.0,0.85,0.85,0.12,0.05,,,0.02,,N,406.3,345.355,41.4426,270.9375,17.267750000000003,357.73225,0.7483938284518828,0.03612499999999996,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
risk_10_30_low_engagement,초기 저관여 고위험군,low,478.0,0.5669456066945606,271.0,0.85,0.8,0.15,0.01,,,0.02,,N,406.3,325.04,48.756,184.28,3.2504000000000004,267.7496,0.5601456066945606,0.006800000000000028,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
risk_10_30_low_engagement,초기 저관여 고위험군,base,478.0,0.5669456066945606,271.0,0.85,0.8,0.15,0.03,,,0.02,,N,406.3,325.04,48.756,184.28,9.7512,261.2488,0.5465456066945608,0.020399999999999863,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
risk_10_30_low_engagement,초기 저관여 고위험군,high,478.0,0.5669456066945606,271.0,0.85,0.8,0.15,0.05,,,0.02,,N,406.3,325.04,48.756,184.28,16.252000000000002,254.748,0.5329456066945607,0.03399999999999992,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
risk_10_30_other_review,상위위험 관찰/추천 후보군,low,478.0,0.6150627615062761,294.0,0.8,0.7,0.1,0.01,,,0.02,,N,382.40000000000003,267.68,26.768,164.64000000000001,2.6768,291.3232,0.6094627615062761,0.005600000000000049,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
risk_10_30_other_review,상위위험 관찰/추천 후보군,base,478.0,0.6150627615062761,294.0,0.8,0.7,0.1,0.03,,,0.02,,N,382.40000000000003,267.68,26.768,164.64000000000001,8.0304,285.9696,0.5982627615062762,0.016799999999999926,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
risk_10_30_other_review,상위위험 관찰/추천 후보군,high,478.0,0.6150627615062761,294.0,0.8,0.7,0.1,0.05,,,0.02,,N,382.40000000000003,267.68,26.768,164.64000000000001,13.384,280.616,0.5870627615062761,0.028000000000000025,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,low,1174.0,0.06984667802385,81.9999999999999,0.75,0.5,0.08,0.005,,,0.01,,N,880.5,440.25,35.22,30.749999999999964,2.20125,79.7987499999999,0.06797167802385,0.0018750000000000017,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,base,1174.0,0.06984667802385,81.9999999999999,0.75,0.5,0.08,0.015,,,0.01,,N,880.5,440.25,35.22,30.749999999999964,6.60375,75.3962499999999,0.06422167802385,0.005625000000000005,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,high,1174.0,0.06984667802385,81.9999999999999,0.75,0.5,0.08,0.025,,,0.01,,N,880.5,440.25,35.22,30.749999999999964,11.006250000000001,70.99374999999989,0.06047167802384999,0.009375000000000008,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,low,1496.0,0.1443850267379679,216.0,0.75,0.5,0.08,0.005,,,0.01,,N,1122.0,561.0,44.88,81.0,2.805,213.195,0.14251002673796792,0.0018749999999999878,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,base,1496.0,0.1443850267379679,216.0,0.75,0.5,0.08,0.015,,,0.01,,N,1122.0,561.0,44.88,81.0,8.415,207.585,0.13876002673796792,0.005624999999999991,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,high,1496.0,0.1443850267379679,216.0,0.75,0.5,0.08,0.025,,,0.01,,N,1122.0,561.0,44.88,81.0,14.025,201.975,0.13501002673796791,0.009374999999999994,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
low_risk_or_general_maintenance,저위험/일반 유지군,low,673.0,0.1976225854383358,133.0,0.7,0.2,0.05,0.0,,,0.005,,N,471.09999999999997,94.22,4.711,18.619999999999997,0.0,133.0,0.1976225854383358,0.0,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
low_risk_or_general_maintenance,저위험/일반 유지군,base,673.0,0.1976225854383358,133.0,0.7,0.2,0.05,0.0,,,0.005,,N,471.09999999999997,94.22,4.711,18.619999999999997,0.0,133.0,0.1976225854383358,0.0,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
low_risk_or_general_maintenance,저위험/일반 유지군,high,673.0,0.1976225854383358,133.0,0.7,0.2,0.05,0.005,,,0.005,,N,471.09999999999997,94.22,4.711,18.619999999999997,0.4711,132.5289,0.1969225854383358,0.0007000000000000062,,,,,assumption_required_no_profit_claim,editable_placeholder_assumption_not_fact
